A社は，B社と著作物の権利に関する特段の取決めをせず，A社の要求仕様に基づいて，販売管理システムのプログラム作成をB社に委託した。この場合のプログラム著作権の原始的帰属はどれか。,4,A社とB社が話し合って決定する。,A社とB社の共有となる。,A社に帰属する。,B社に帰属する。,平成30年春期 午前問79
SOAの説明はどれか。,4,売上・利益の増加や，顧客満足度の向上のために，営業活動にITを活用して営業の効率と品質を高める概念のこと,経営資源をコアビジネスに集中させるために，社内業務のうちコアビジネス以外の業務を外部に委託すること,コスト，品質，サービス，スピードを革新的に改善させるために，ビジネスプロセスをデザインし直す概念のこと,ソフトウェアの機能をサービスという部品とみなし，そのサービスを組み合わせることでシステムを構築する概念のこと,平成30年春期 午前問62
蓄積されたデータに対してパターン認識機能や機械学習機能を適用することによって，コールセンタにおける顧客応対業務の質的向上が可能となる事例はどれか。,2,応対マニュアルや顧客の基本情報を電子化したものを，オペレータの要求時に応対用の画面にポップアップ画面として表示する。,顧客の問合せの内容に応じて，関連資料や過去の応対に関する全履歴から，最適な回答をリアルタイムで導き出す。,電話応対中のオペレータが回答に窮したときに，その電話や応対画面をベテランのオペレータや専門要員に転送する。,ベテランのオペレータが講師となり，応対マニュアルを教材にして，新人オペレータに対するロールプレイング研修を繰り返して実施する。,平成30年春期 午前問61
情報セキュリティ監査において，可用性を確認するチェック項目はどれか。,2,外部記憶媒体の無断持出しが禁止されていること,中断時間を定めたSLAの水準が保たれるように管理されていること,データ入力時のエラーチェックが適切に行われていること,データベースが暗号化されていること,平成30年春期 午前問60
システム監査実施体制のうち，システム監査人の独立性の観点から避けるべきものはどれか。,1,監査チームメンバに任命された総務部のAさんが，ほかのメンバと一緒に，総務部の入退室管理の状況を監査する。,監査部のBさんが，個人情報を取り扱う業務を委託している外部企業の個人情報管理状況を監査する。,情報システム部の開発管理者から5年前に監査部に異動したCさんが，マーケティング部におけるインターネットの利用状況を監査する。,法務部のDさんが，監査部からの依頼によって，外部委託契約の妥当性の監査において，監査人に協力する。,平成30年春期 午前問59
システム監査人の行為のうち，適切なものはどれか。,2,調査が不十分な事項について，過去の経験に基づいて監査意見をまとめた。,調査によって発見した問題点について，改善指摘を行った。,調査の過程で発見した問題点について，その都度，改善を命令した。,調査の途中で当初計画していた期限がきたので，監査報告書の作成に移った。,平成30年春期 午前問58
サーバに接続されたディスクのデータのバックアップに関する記述として，最も適切なものはどれか。,4,一定の期間を過ぎて利用頻度が低くなったデータは，現在のディスクから消去するとともに，バックアップしておいたデータも消去する。,システムの本稼働開始日に全てのデータをバックアップし，それ以降は作業時間を短縮するために，更新頻度が高いデータだけをバックアップする。,重要データは，バックアップの媒体を取り違えないように，同一の媒体に上書きでバックアップする。,複数のファイルに分散して格納されているデータは，それぞれのファイルへの一連の更新処理が終了した時点でバックアップする。,平成30年春期 午前問57
サービスデスク組織の構造とその特徴のうち，ローカルサービスデスクのものはどれか。,2,サービスデスクを1拠点又は少数の場所に集中することによって，サービス要員を効率的に配置したり，大量のコールに対応したりすることができる。,サービスデスクを利用者の近くに配置することによって，言語や文化の異なる利用者への対応，専用要員によるVIP対応などができる。,サービス要員が複数の地域や部門に分散していても，通信技術を利用によって単一のサービスデスクであるかのようにサービスが提供できる。,分散拠点のサービス要員を含めた全員を中央で統括して管理することによって，統制の取れたサービスが提供できる。,平成30年春期 午前問56
ITサービスマネジメントにおける問題管理で実施する活動のうち，事前予防的な活動はどれか。,1,インシデントの発生傾向を分析して，将来のインシデントを予防する方策を提案する。,検出して記録した問題を分類して，対応の優先度を設定する。,重大な問題に対する解決策の有効性を評価する。,問題解決後の一定期間，インシデントの再発の有無を監視する。,平成30年春期 午前問55
エクストリームプログラミング(XP:eXtreme Programming)のプラクティスのうち，プログラム開発において，相互に役割を交替し，チェックし合うことによって，コミュニケーションを円滑にし，プログラムの品質向上を図るものはどれか。,4,計画ゲーム,コーディング標準,テスト駆動開発,ペアプログラミング,平成30年春期 午前問50
ブラックボックステストのテストデータの作成方法のうち，最も適切なものはどれか。,2,稼動中のシステムから実データを無作為に抽出し，テストデータを作成する。,機能仕様から同値クラスや限界値を識別し，テストデータを作成する。,業務で発生するデータの発生頻度を分析し，テストデータを作成する。,プログラムの流れ図を基に，分岐条件に基づいたテストデータを作成する。,平成30年春期 午前問48
開発プロセスにおいて，ソフトウェア方式設計で行うべき作業はどれか。,2,顧客に意見を求めて仕様を決定する。,ソフトウェア品目に対する要件を，最上位レベルの構造を表現する方式であって，かつ，ソフトウェアコンポーネントを識別する方式に変換する。,プログラムを，コード化した1行ごとの処理まで明確になるように詳細化する。,要求内容を図表などの形式でまとめ，段階的に詳細化して分析する。,平成30年春期 午前問47
オブジェクト指向において，あるクラスの属性や機能がサブクラスで利用できることを何というか。,3,オーバーライド,カプセル化,継承,多相性,平成30年春期 午前問46
生体認証システムを導入するときに考慮すべき点として，最も適切なものはどれか。,2,本人のディジタル証明書を，信頼できる第三者機関に発行してもらう。,本人を誤って拒否する確率と他人を誤って許可する確率の双方を勘案して装置を調整する。,マルウェア定義ファイルの更新が頻繁な製品を利用することによって，本人を誤って拒否する確率の低下を防ぐ。,容易に推測できないような知識量と本人が覚えられる知識量とのバランスが，認証に必要な知識量の設定として重要となる。,平成30年春期 午前問45
利用者情報を格納しているデータベースから利用者情報を検索して表示する機能だけをもつアプリケーションがある。このアプリケーションがデータベースにアクセスするときに用いるアカウントに与えるデータベースへのアクセス権限として，情報セキュリティ管理上，適切なものはどれか。ここで，権限の名称と権限の範囲は次のとおりとする。     〔権限の名称と権限の範囲〕     参照権限：　レコードの参照が可能     更新権限：　レコードの登録，変更，削除が可能     管理者権限：テーブルの参照，登録，変更，削除が可能,4,管理者権限,更新権限,更新権限と参照権限,参照権限,平成30年春期 午前問43
セキュリティバイデザインの説明はどれか。,4,開発済みのシステムに対して，第三者の情報セキュリティ専門家が，脆弱性診断を行い，システムの品質及びセキュリティを高めることである。,開発済みのシステムに対して，リスクアセスメントを行い，リスクアセスメント結果に基づいてシステムを改修することである。,システムの運用において，第三者による監査結果を基にシステムを改修することである。,システムの企画・設計段階からセキュリティを確保する方策のことである。,平成30年春期 午前問42
SQLインジェクション攻撃を防ぐ方法はどれか。,1,入力中の文字が，データベースへの問合せや操作において，特別な意味をもつ文字として解釈されないようにする。,入力にHTMLタグが含まれていたら，HTMLタグとして解釈されない他の文字列に置き換える。,入力に上位ディレクトリを指定する文字(../)を含むときは受け付けない。,入力の全体の長さが制限を超えているときは受け付けない。,平成30年春期 午前問41
SPF(Sender Policy Framework)の仕組みはどれか。,2,電子メールを受信するサーバが，電子メールに付与されているディジタル署名を使って，送信元ドメインの詐称がないことを確認する。,電子メールを受信するサーバが，電子メールの送信元のドメイン情報と，電子メールを送信したサーバのIPアドレスから，ドメインの詐称がないことを確認する。,電子メールを送信するサーバが，送信する電子メールの送信者の上司からの承認が得られるまで，一時的に電子メールの送信を保留する。,電子メールを送信するサーバが，電子メールの宛先のドメインや送信者のメールアドレスを問わず，全ての電子メールをアーカイブする。,平成30年春期 午前問40
JIS Q 27000:2014(情報セキュリティマネジメントシステム－用語)において，"エンティティは，それが主張するとおりのものであるという特性"と定義されているものはどれか。,1,真正性,信頼性,責任追跡性,否認防止,平成30年春期 午前問39
AさんがBさんの公開鍵で暗号化した電子メールを，BさんとCさんに送信した結果のうち，適切なものはどれか。ここで，Aさん，Bさん，Cさんのそれぞれの公開鍵は3人全員がもち，それぞれの秘密鍵は本人だけがもっているものとする。,2,暗号化された電子メールを，Bさんだけが，Aさんの公開鍵で復号できる。,暗号化された電子メールを，Bさんだけが，自身の秘密鍵で復号できる。,暗号化された電子メールを，Bさんも，Cさんも，Bさんの公開鍵で復号できる。,暗号化された電子メールを，Bさんも，Cさんも，自身の秘密鍵で復号できる。,平成30年春期 午前問38
攻撃者がシステムに侵入するときにポートスキャンを行う目的はどれか。,3,後処理の段階において，システムログに攻撃の痕跡が残っていないかどうかを調査する。,権限取得の段階において，権限を奪取できそうなアカウントがあるかどうかを調査する。,事前調査の段階において，攻撃できそうなサービスがあるかどうかを調査する。,不正実行の段階において，攻撃者にとって有益な利用者情報があるかどうかを調査する。,平成30年春期 午前問37
ドライブバイダウンロード攻撃に該当するものはどれか。,4,PC内のマルウェアを遠隔操作して，PCのハードディスクドライブを丸ごと暗号化する。,外部ネットワークからファイアウォールの設定の誤りを突いて侵入し，内部ネットワークにあるサーバのシステムドライブにルートキットを仕掛ける。,公開Webサイトにおいて，スクリプトをWebページ中の入力フィールドに入力し，Webサーバがアクセスするデータベース内のデータを不正にダウンロードする。,利用者が公開Webサイトを閲覧したときに，その利用者の意図にかかわらず，PCにマルウェアをダウンロードさせて感染させる。,平成30年春期 午前問36
Webサーバにおいて，クライアントからの要求に応じてアプリケーションプログラムを実行して，その結果をWebブラウザに返すなどのインタラクティブなページを実現するために，Webサーバと外部プログラムを連携させる仕組みはどれか。,1,CGI,HTML,MIME,URL,平成30年春期 午前問35
電子メールのヘッダフィールドのうち，SMTPでメッセージが転送される過程で削除されるものはどれか。,1,Bcc,Date,Received,X-Mailer,平成30年春期 午前問34
LANに接続されているプリンタのMACアドレスを，同一LAN上のPCから調べるときに使用するコマンドはどれか。ここで，PCはこのプリンタを直前に使用しており，プリンタのIPアドレスは分かっているものとする。,1,arp,ipconfig,netstat,ping,平成30年春期 午前問33
次のネットワークアドレスとサブネットマスクをもつネットワークがある。このネットワークをあるPCが利用する場合，そのPCに割り振ってはいけないIPアドレスはどれか。     ネットワークアドレス: 200.170.70.16     サブネットマスク　　: 255.255.255.240,4,200.170.70.17,200.170.70.20,200.170.70.30,200.170.70.31,平成30年春期 午前問32
10Mバイトのデータを100000ビット／秒の回線を使って転送するとき，転送時間は何秒か。ここで，回線の伝送効率を50%とし，1Mバイト＝10^6バイトとする。,4,200,400,800,1600,平成30年春期 午前問31
RDBMSのロックの粒度に関する次の記述において，a，bの組合せとして適切なものはどれか。     　並行に処理される2つのトランザクションがそれぞれ一つの表内の複数の行を更新する。行単位のロックを使用する場合と表単位のロックを使用する場合とを比べると，ロックの競合がより起こりやすいのは "a" 単位のロックを使用する場合である。また，トランザクション実行中にロックを管理するためのRDBMSのメモリ使用領域がより多く必要になるのは "b" 単位のロックを使用する場合である。,3,a = 行   b = 行,a = 行   b = 表,a = 表   b = 行,a = 表   b = 表,平成30年春期 午前問30
データベースの更新前や更新後の値を書き出して，データベースの更新記録として保存するファイルはどれか。,4,ダンプファイル,チェックポイントファイル,バックアップファイル,ログファイル,平成30年春期 午前問29
DBMSが提供する機能のうち，データ機密保護を実現する手段はどれか。,2,一連の処理を論理的単位としてまとめたトランザクションを管理する。,データに対するユーザのアクセス権限を管理する。,データを更新するときに参照制約をチェックする。,データを更新する前に専有ロックをかける。,平成30年春期 午前問27
AR(Augmented Reality)の説明として，最も適切なものはどれか。,2,過去に録画された映像を視聴することによって，その時代のその場所にいたかのような感覚が得られる。,実際に目の前にある現実の映像の一部にコンピュータを使って仮想の情報を付加することによって，拡張された現実の環境が体感できる。,人にとって自然な3次元の仮想空間を構成し，自分の動作に合わせて仮想空間も変化することによって，その場所にいるかのような感覚が得られる。,ヘッドマウントディスプレイなどの機器を利用し人の五感に働きかけることによって，実際には存在しない場所や世界を，あたかも現実のように体感できる。,平成30年春期 午前問26
H.264/MPEG-4 AVCに関する記述はどれか。,4,インターネットで動画や音声データのストリーミング配信を制御するための通信方式,テレビ会議やテレビ電話で双方向のビデオ配信を制御するための通信方式,テレビの電子番組案内で使用される番組内容のメタデータを記述する方式,ワンセグやインターネットで用いられる動画データの圧縮符号化方式,平成30年春期 午前問25
フラッシュメモリに関する記述として，適切なものはどれか。,4,高速に書換えができ，CPUのキャッシュメモリに用いられる。,紫外線で全データ一括消去できる。,周期的にデータの再書込みが必要である。,ブロック単位で電気的に内容の消去ができる。,平成30年春期 午前問22
アクチュエータの説明として，適切なものはどれか。,3,与えられた目標量と，センサから得られた制御量を比較し，制御量を目標量に一致させるように操作量を出力する。,位置，角度，速度，加速度，力，温度などを検出し，電気的な情報に変換する。,エネルギー発生源からのパワーを，制御信号に基づき，回転，並進などの動きに変換する。,マイクロフォン，センサなどが出力する微小な電気信号を増幅する。,平成30年春期 午前問21
数のサーバで構成された大規模な分散ファイルシステム機能を提供し，MapReduceによる大規模データの分散処理を実現するOSSはどれか。,1,Apache Hadoop,Apache Kafka,Apache Spark,Apache Storm,平成30年春期 午前問20
ソフトウェアの統合開発環境として提供されているOSSはどれか。,2,Apache Tomcat,Eclipse,GCC,Linux,平成30年春期 午前問19
コンパイラによる最適化の主な目的はどれか。,1,プログラムの実行時間を短縮する。,プログラムのデバッグを容易にする。,プログラムの保守性を改善する。,目的プログラムを生成する時間を短縮する。,平成30年春期 午前問18
ファイルシステムの絶対パス名を説明したものはどれか。,4,あるディレクトリから対象ファイルに至る幾つかのパス名のうち，最短のパス名,カレントディレクトリから対象ファイルに至るパス名,ホームディレクトリから対象ファイルに至るパス名,ルートディレクトリから対象ファイルに至るパス名,平成30年春期 午前問17
システムのスケールアウトに関する記述として，適切なものはどれか。,1,既存のシステムにサーバを追加導入することによって，システム全体の処理能力を向上させる。,既存のシステムのサーバの一部又は全部を，クラウドサービスなどに再配置することによって，システム運用コストを下げる。,既存のシステムのサーバを，より高性能なものと入れ替えることによって，個々のサーバの処理能力を向上させる。,一つのサーバをあたかも複数のサーバであるかのように見せることによって，システム運用コストを下げる。,平成30年春期 午前問15
コンピュータを2台用意しておき，現用系が故障したときは，現用系と同一のオンライン処理プログラムをあらかじめ起動して待機している待機系のコンピュータに速やかに切り替えて，処理を続行するシステムはどれか。,2,コールドスタンバイシステム,ホットスタンバイシステム,マルチプロセッサシステム,マルチユーザシステム,平成30年春期 午前問14
フォールトトレラントシステムを実現する上で不可欠なものはどれか。,1,システム構成に冗長性をもたせ，部品が故障してもその影響を最小限に抑えることで，システム全体には影響を与えずに処理を続けられるようにする。,システムに障害が発生したときの原因究明や復旧のために，システム稼働中のデータベースの変更情報などの履歴を自動的に記録する。,障害が発生した場合，速やかに予備の環境に障害前の状態を復旧できるように，定期的にデータをバックアップする。,操作ミスが発生しにくい容易な操作にするか，操作ミスが発生しても致命的な誤りとならないように設計する。,平成30年春期 午前問13
SDメモリカードの上位規格の一つであるSDXCの特徴として，適切なものはどれか。,4,GPS，カメラ，無線LANアダプタなどの周辺機能をハードウェアとしてカードに搭載している。,SDメモリカードの4分の1以下の小型サイズで，最大32Gバイトの容量をもつ。,著作権保護技術としてAACSを採用し，従来のSDメモリカードよりもセキュリティが強化された。,ファイルシステムにexFATを採用し，最大2Tバイトの容量に対応できる。,平成30年春期 午前問12
キャッシュメモリに関する記述のうち，適切なものはどれか。,3,キャッシュメモリにヒットしない場合に割込みが生じ，プログラムによって主記憶からキャッシュメモリにデータが転送される。,キャッシュメモリは，実記憶と仮想記憶とのメモリ容量の差を埋めるために採用される。,データ書込み命令を実行したときに，キャッシュメモリと主記憶の両方を書き換える方式と，キャッシュメモリだけを書き換えておき，主記憶の書換えはキャッシュメモリから当該データが追い出されるときに行う方式とがある。,半導体メモリのアクセス速度の向上が著しいので，キャッシュメモリの必要性は減っている。,平成30年春期 午前問11
内部割込みに分類されるものはどれか。,2,商用電源の瞬時停電などの電源異常による割込み,ゼロで除算を実行したことによる割込み,入出力が完了したことによる割込み,メモリパリティエラーが発生したことによる割込み,平成30年春期 午前問10
XML文書のDTDに記述するものはどれか。,4,使用する文字コード,データ,バージョン情報,文書型の定義,平成30年春期 午前問8
表探索におけるハッシュ法の特徴はどれか。,3,2分木を用いる方法の一種である。,格納場所の衝突が発生しない方法である。,キーの関数値によって格納場所を決める。,探索に要する時間は表全体の大きさにほぼ比例する。,平成30年春期 午前問7
AIにおけるディープラーニングの特徴はどれか。,3,"AならばBである"というルールを人間があらかじめ設定して，新しい知識を論理式で表現したルールに基づく推論の結果として，解を求めるものである。,厳密な解でなくてもなるべく正解に近い解を得るようにする方法であり，特定分野に特化せずに，広範囲で汎用的な問題解決ができるようにするものである。,人間の脳神経回路を模倣して，認識などの知能を実現する方法であり，ニューラルネットワークを用いて，人間と同じような認識ができるようにするものである。,判断ルールを作成できる医療診断などの分野に限定されるが，症状から特定の病気に絞り込むといった，確率的に高い判断ができる。,平成30年春期 午前問3
ある整数値を，負数を2の補数で表現する2進表記法で表すと最下位2ビットは"11"であった。10進表記法の下で，その整数値を4で割ったときの余りに関する記述として，適切なものはどれか。ここで，除算の商は，絶対値の小数点以下を切り捨てるものとする。,1,その整数値が正ならば3,その整数値が負ならば－3,その整数値が負ならば3,その整数値の正負にかかわらず0,平成30年春期 午前問1
