組込みシステムの用途として，適切でないものはどれか。,4,FA機器又は医療機器を制御するシステム,音響，映像機器を制御するシステム,銀行のATM端末システム,列車の座席予約を管理するホストシステム,過去2回出題
メモリインタリーブの説明として，適切なものはどれか。,2,CPUから主記憶へのアクセスを高速化するために，キャッシュメモリと主記憶との両方に同時にデータを書き込む。,CPUから主記憶へのアクセスを高速化するために，主記憶内部を複数のバンクに分割し，各バンクを並列にアクセスする。,CPUと主記憶のアクセス速度の違いによるボトルネックを解消するために，高速かつ小容量のメモリを配置する。,パイプライン処理を乱す要因をなくすために，キャッシュメモリを命令用とデータ用の二つに分離する。,過去2回出題
オブジェクト指向プログラムの特徴はどれか。,3,計算順序は制御フローではなくデータの流れによって規定される。命令は，入力となるすべてのデータがそろったときに実行可能となる。,計算の制御は命令から命令へ順次渡される。命令間でのデータの受渡しは，“変数”を介するメモリヘの参照によって間接的に行う。命令とデータの定義は分離されている。,データを外部から隠ぺいし，メソッドと呼ばれる手続によって間接的に操作することができる。プログラムは，データとメソッドをひとまとまりにしたものの集まりである。,プログラムは，入れ子構造の演算式，関数を表現する命令(演算記号)，データによって構成され，“命令実行”に対応するのは“演算式又は関数の値の計算(評価)”である。,過去4回出題
JIS Q 27001:2006 におけるISMSの確立に必要な事項①～③の順序関係のうち，適切なものはどれか。     1.適用宣言書の作成     2.リスク対応のための管理目的及び管理策の選択     3.リスクの分析と評価,4,①→②→③,①→③→②,②→③→①,③→②→①,過去3回出題
労働者派遣法に基づいた労働者の派遣において，労働者派遣契約の関係が存在するのはどの当事者の間か。,3,派遣先事業主と派遣労働者,派遣先責任者と派遣労働者,派遣元事業主と派遣先事業主,派遣元事業主と派遣労働者,過去4回出題
A社は顧客管理システムの開発を，情報システム子会社であるB社に委託し，B社は要件定義を行った上で，設計・プログラミング・テストまでを協力会社であるC社に委託した。C社では優秀なD社員にその作業を担当させた。このとき，開発したプログラムの著作権はどこに帰属するか。ここで，関係者の間には，著作権の帰属に関する特段の取決めはないものとする。,3,A社,B社,C社,D社員,過去4回出題
損益分岐点の特性を説明したものはどれか。,3,固定費が変わらないとき，変動費率が低くなると損益分岐点は高くなる。,固定費が変わらないとき，変動費率の変化と損益分岐点の変化は正比例する。,損益分岐点での売上高は，固定費と変動費の和に等しい。,変動費率が変わらないとき，固定費が小さくなると損益分岐点は高くなる。,過去4回出題
ビジネスプロセスを根本的に考え直し，抜本的にデザインし直すことによって，企業のコスト，品質，サービス，スピードなどのパフォーマンスを劇的に改善するものはどれか。,4,アライアンス,コアコンピタンス,ゴーイングコンサーン,リエンジニアリング,過去2回出題
システム監査規程の最終的な承認者はだれか。,2,監査対象システムの利用部門の長,経営者,情報システム部門の長,被監査部門の長,過去2回出題
クラスCのプライベートIPアドレスとして利用できる範囲はどれか。,4,10.0.0.0～10.255.255.255,128.0.0.0～128.255.255.255,172.16.0.0～172.31.255.255,192.168.0.0～192.168.255.255,過去2回出題
企業の様々な活動を介して得られた大量のデータを整理・統合して蓄積しておき，意思決定支援などに利用するものはどれか。,2,データアドミニストレーション,データウェアハウス,データディクショナリ,データマッピング,過去3回出題
関係データベースの説明として，適切なものはどれか。,2,属性単位に，属性値とその値をもつレコード格納位置を組にして表現する。索引として利用される。,データを表として表現する。表間は相互の表中の列の値を用いて関連付けられる。,レコード間の関係を，ポインタを用いたデータ構造で表現する。木構造の表現に制限される。,レコード間の関係を，リンクを用いたデータ構造で表現する。木構造や網構造も表現できる。,過去3回出題
フラッシュメモリの説明として，適切なものはどれか。,3,1回だけ電気的に書込みができる。,一定時間内に再書込み(リフレッシュ動作)を行う。,書込み，消去とも電気的に行い，一括又はブロック単位で消去する。,書込みは電気的に行い，消去は紫外線によって行う。,過去2回出題
あるオンラインリアルタイムシステムでは，20件／秒の頻度でトランザクションが発生する。このトランザクションはCPU処理と4回の磁気ディスク入出力処理を経て終了する。磁気ディスク装置の入出力処理時間は40ミリ秒／回であり，CPU処理時間は十分に短いものとする。それぞれの磁気ディスク装置が均等にアクセスされるとしたとき，このトランザクション処理には最低何台の磁気ディスク装置が必要か。,2,3,4,5,6,過去2回出題
一つのジョブについての，ターンアラウンドタイム，CPU時間，入出力時間及び処理待ち時間の四つの時間の関係を表わす式はどれか。ここで，ほかのオーバーヘッド時間は考慮しないものとする。,3,処理待ち時間＝CPU時間＋ターンアラウンドタイム＋入出力時間,処理待ち時間＝CPU時間－ターンアラウンドタイム＋入出力時間,処理待ち時間＝ターンアラウンドタイム －CPU時間－入出力時間,処理待ち時間＝入出力時間－CPU時間－ターンアラウンドタイム,過去4回出題
あるプログラムAの処理が終了していないときに，別のプログラムから再度呼び出されても正しく動作するとき，このプログラムAの性質を何と呼ぶか。,3,再帰的,再使用可能,再入可能,再配置可能,過去2回出題
日本において，産業財産権と総称される四つの権利はどれか。,1,意匠権，実用新案権，商標権，特許権,意匠権，実用新案権，著作権，特許権,意匠権，商標権，著作権，特許権,実用新案権，商標権，著作権，特許権,過去4回出題
ヒストグラムを説明したものはどれか。,3,原因と結果の関連を魚の骨のような形態に整理して体系的にまとめ，結果に対してどのような原因が関連しているかを明確にする。,時系列的に発生するデータのばらつきを折れ線グラフで表し，管理限界線を利用して客観的に管理する。,収集したデータを幾つかの区間に分類し，各区間に属するデータの個数を棒グラフとして描き，ばらつきをとらえる。,データを幾つかの項目に分類し，出現頻度の大きさの順に棒グラフとして並べ，累積和を折れ線グラフで描き，問題点を絞り込む。,過去2回出題
セル生産方式の特徴はどれか。,4,各工程が自立的に稼動し，前工程の生産したものを元に後工程の生産を行う。,作業指示と現場管理を見えるようにするために，かんばんを利用する。,必要とする部品，仕様，数量を後工程から前工程に伝達する。,部品の組立てから完成検査までの全工程を，1人又は数人で作業する。,過去2回出題
バランススコアカードの四つの視点とは，財務，学習と成長，内部ビジネスプロセスと，もう一つはどれか。,2,ガバナンス,顧客,自社の強み,遵法,過去3回出題
ニューメリックチェックの説明として，適切なものはどれか。,2,一定の規則に従ってデータから検査文字を算出し，付加されている検査文字と比較することによって，入力データに誤りがないかどうかをチェックする。,数値として扱う必要のあるデータに，数値として扱えない文字のようなものが含まれていないかどうかをチェックする。,販売数と在庫数と仕入数の関係など，関連のある項目の値に矛盾がないかどうかをチェックする。,マスタファイル作成時の入力データ中に，キーの値が同じレコードが複数件含まれていないかどうかをチェックする。,過去2回出題
データベースのロールバック処理の説明はどれか。,4,更新後ジャーナルを用いて，トランザクション開始後の障害直前の状態にまでデータを復旧させる。,更新後ジャーナルを用いて，トランザクション開始直前の状態にまでデータを復旧させる。,更新前ジャーナルを用いて，トランザクション開始後の障害直前の状態にまでデータを復旧させる。,更新前ジャーナルを用いて，トランザクション開始直前の状態にまでデータを復旧させる。,過去2回出題
EUCの説明として，適切なものはどれか。,4,エディタ，コンパイラ，デバッガなどプログラミングに必要なツールが一つに統合され，一つのインタフェースで扱えるようになっている開発環境である。,簡易なGUI構築，ウィザードによるプログラムスケルトンの作成，ASP(ActiveServerPages)の利用などによって，Web 環境で稼動するシステムを開発することである。,簡易なGUI構築ツールを使って，システム開発の初期の段階で画面を作成し，機能や操作性などを確認しながら，開発を行う手法である。,利用者自身が，表計算ソフトや簡易データベースなどを活用し，業務を遂行することである。,過去2回出題
使用性(ユーザビリティ)の規格(JIS Z 8521)では，使用性を“ある製品が，指定された利用者によって，指定された利用の状況下で，指定された目的を達成するために用いられる際の，有効さ，効率及び利用者の満足度の度合い”と定義している。この定義中の“利用者の満足度”を評価するときに用いる方法はどれか。,1,インタビュー法,ヒューリスティック評価,ユーザビリティテスト,ログデータ分析法,過去2回出題
仮想記憶方式では，割り当てられる実記憶の容量が小さいとページアウト，ページインが頻発し，処理能力が低下することがある。このような現象を何というか。,1,スラッシング,スワッピング,フラグメンテーション,メモリリーク,過去2回出題
ABC分析を適用する事例はどれか。,2,顧客が買物をしたときの購入商品の組合せを把握したい。,商品ごとの販売金額や粗利益額から，売れ筋商品を把握したい。,商品の品切れを起こさないように，きめ細かな販売見込数量を把握したい。,地域ごとのオピニオンリーダにアンケート調査を行い，市場ニーズを把握したい。,過去2回出題
SFA(Sales Force Automation)の基本機能の一つであるコンタクト管理について説明しているものはどれか。,3,営業担当者からの問合せに対して迅速に回答することによって，営業効率を高める。,顧客への対応を営業担当者が個別に行うのではなく，営業組織全体で行うことによって受注率を向上させる。,顧客訪問日，営業結果などの履歴を管理し，見込客や既存客に対して効果的な営業活動を行う。,個人レベルで蓄積している営業テクニックを洗い出して共有化し，営業部門全体のレベル向上を図る。,過去3回出題
情報システムの調達の際に作成されるRFIの説明はどれか。,1,システム化の目的や業務内容などを示し，ベンダに情報の提供を依頼すること,調達対象システムや調達条件などを示し，ベンダに提案書の提出を依頼すること,調達対象システムや調達条件などを示し，ベンダに提案書の提出を依頼すること,発注元と調達先の役割分担などを確認し，契約の締結を依頼すること,過去5回出題
データのバックアップに関する記述のうち，適切なものはどれか。,3,バックアップからの復旧時間を最短にするために，差分バックアップ方式を採用する。,バックアップからの復旧処理でランダムアクセスを可能にするために，磁気テープにバックアップする。,バックアップしたデータの整合性を保証するために，バックアップ処理と業務処理が重ならないようにスケジューリングする。,バックアップ処理の時間を最短にするために，同一記憶媒体内にバックアップする。,過去2回出題
品質問題を解決するために図を作成して原因の傾向を分析したところ，全体の80%以上が少数の原因で占められていることが判明した。作成した図はどれか。,4,管理図,散布図,特性要因図,パレート図,過去2回出題
ウォータフォール型のソフトウェア開発において，運用テストで発見された誤りの修復に要するコストに関する記述のうち，適切なものはどれか。,1,外部設計の誤りは，プログラムだけでなく，マニュアルなどにも影響を与えるので，コーディングの誤りに比べて修復コストは高い。,コーディングの誤りは，修復のための作業範囲がその後の全工程に及ぶので，要求定義の誤りに比べて修復コストは高い。,テストケースの誤りは，テストケースの修正とテストのやり直しだけでは済まないので，外部設計の誤りに比べて修復コストは高い。,内部設計の誤りは，設計レビューによってほとんど除去できるので，もし発見されでも，コーディングの誤りに比べて修復コストは安い。,過去2回出題
オブジェクト指向の特徴はどれか。,4,オブジェクト指向では，抽象化の対象となるオブジェクトに対する操作をあらかじめ指定しなければならない。,カプセル化によって，オブジェクト間の相互依存性を高めることができる。,クラスの変更を行う場合には，そのクラスの上位にあるすべてのクラスの変更が必要となる。,継承という概念によって，モデルの拡張や変更の際に変更箇所を局所化できる。,過去3回出題
設計上の誤りを早期に発見することを目的として，作成者と複数の関係者が設計書をレビューする方法はどれか。,1,ウォークスルー,机上デバッグ,トップダウンテスト,並行シミュレーション,過去4回出題
E-R図で表せるものはどれか。,1,エンティティ間の関連,エンティティの型とインスタンスの関連,データとプロセスの関連,プロセス間の関連,過去5回出題
TCP/IPネットワークで利用されるプロトコルのうち，ホストにリモートログインし，遠隔操作ができる仮想端末機能を提供するものはどれか。,4,FTP,HTTP,SMTP,TELNET,過去3回出題
Javaなどのバイトコードプログラムをインタプリタで実行する方法と，コンパイルしてから実行する方法を，次の条件で比較するとき，およそ何行以上のバイトコードであれば，コンパイル方式の方がインタプリ夕方式よりも処理時間(コンパイル時間も含む)が短くなるか。     〔条件〕     (1):実行時間はプログラムの行数に比例する。     (2):同じ100行のバイトコードのプログラムをインタプリタで実行すると0.2秒掛かり，コンパイルしてから実行すると0.003秒掛かる。     (3):コンパイル時間は100行当たり0.1秒掛かる。     (4):コンパイル方式の場合は，プログラムの行数に関係なくファイル入出力，コンパイラ起動などのために常に0.15秒のオーバヘッドが掛かる。     (5):プログラムファイルのダウンロード時間など，そのほかの時間は無視して考える。,4,50,75,125,155,過去2回出題
コンピュータシステムの構成に関する記述のうち，密結合マルチプロセッサシステムを説明したものはどれか。,3,通常は一方のプロセッサは待機しており，本稼働しているプロセッサが故障すると，待機中のプロセッサに切り替えて処理を続行する。,複数のプロセッサが磁気ディスクを共用し，それぞれ独立したOSで制御される。ジョブ単位で負荷を分散することで処理能力を向上させる。,複数のプロセッサが主記憶を共用し，単一のOSで制御される。システム内のタスクは，基本的にどのプロセッサでも実行できるので，細かい単位で負荷を分散することで処理能力を向上させる。,並列に接続された2台のプロセッサが同時に同じ処理を行い，相互に結果を照合する。1台のプロセッサが故障すると，それを切り離して処理を続行する。,過去3回出題
メモリインタリーブの説明はどれか。,4,CPUと磁気ディスク装置との聞に半導体メモリによるデータバッファを設けて，磁気ディスクアクセスの高速化を図る。,主記憶のデータの一部をキャッシュメモリにコピーすることによって、 CPUと主記憶とのアクセス速度のギャップを埋め，メモリアクセスの高速化を図る。,主記憶へのアクセスを高速化するため，アクセス要求，データの読み書き及び後処理が終わってから，次のメモリアクセスの処理に移る。,主記憶を複数の独立したグループに分けて，各グループに交互にアクセスすることによって，主記憶へのアクセスの高速化を図る。,過去4回出題
外部割込みが発生するものはどれか。,4,仮想記憶管理での，主記憶に存在しないページへのアクセス,システムコール命令の実行,ゼロによる除算,入出力動作の終了,過去2回出題
パレート図を説明したものはどれか。,4,原因と結果の関連を魚の骨のような形態に整理して体系的にまとめ，結果に対してどのような原因が関連しているかを明確にする。,時系列的に発生するデータのばらつきを折れ線グラフで表し，管理限界線を利用して客観的に管理する。,収集したデータを幾つかの区間に分類し，各区間に属するデータの個数を棒グラフとして描き，品質のばらつきを捉える。,データを幾つかの項目に分類し，出現頻度の大きさの順に棒グラフとして並べ，累積和を折れ線グラフで描き，問題点を絞り込む。,過去2回出題
ワンチップマイコンの内蔵メモリとしてフラッシュメモリが採用されている理由として、適切なものはどれか。,2,ソフトウェアのコードサイズを小さくできる。,マイコン出荷後もソフトウェアの書換えが可能である。,マイコンの処理性能が向上する。,マスク ROM よりも信頼性が向上する。,過去2回出題
コアコンピタンス経営を説明したものはどれか。,4,企業内に散在している知識を共有化し，全体の問題解決力を高める経営を行う。,迅速な意思決定のために，組織の階層をできるだけ少なくした平型の組織構造によって経営を行う。,優れた業績を上げている企業との比較分析から，自社の経営革新を行う。,他社にはまねのできない，企業独自のノウハウや技術などの強みを核とした経営を行う。,過去2回出題
プロダクトポートフォリオマネジメント(PPM)における“花形”を説明したものはどれか。,1,市場成長率，市場占有率ともに高い製品である。成長に伴う投資も必要とするので，資金創出効果は大きいとは限らない。,市場成長率，市場占有率ともに低い製品である。資金創出効果は小さく，資金流出量も少ない。,市場成長率は高いが，市場占有率が低い製品である。長期的な将来性を見込むことはできるが，資金創出効果の大きさは分からない。,市場成長率は低いが，市場占有率は高い製品である。資金創出効果が大きく，企業の支柱となる資金源である。,過去4回出題
サプライチェーンマネジメントの改善指標となるものはどれか。,3,残業時間の減少率,販売単価下落の防止率,不良在庫の減少率,優良顧客数の増加率,過去2回出題
ASPとは，どのようなサービスを提供する事業者か。,4,顧客のサーバや通信機器を設置するために，事業者が所有する高速回線や耐震設備が整った施設を提供するサービス,顧客の組織内部で行われていた総務，人事，経理，給与計算などの業務を外部の事業者が一括して請け負うサービス,事業者が所有するサーバの一部を顧客に貸し出し，顧客が自社のサーバとして利用するサービス,汎用的なアプリケーションシステムの機能をネットワーク経由で複数の顧客に提供するサービス,過去2回出題
情報戦略の立案時に，必ず整合性をとるべき対象はどれか。,4,新しく登場した情報技術,基幹システムの改修計画,情報システム部門の年度計画,中長期の経営計画,過去3回出題
システム監査人の独立性が保たれている状況はどれか。,2,営業部門の要員を監査チームのメンバに任命し，営業部門における個人情報保護対策についての監査を行わせる。,監査法人からシステム監査人を採用して内部監査人に位置付け，社内の業務システム開発についての監査を行わせる。,システム部門の要員を監査部門に異動させ，システム部門に所属していたときに開発に参加したシステムの保守についての監査を担当させる。,社内の業務システム運用を委託しているITベンダの監査部門に依頼し，社内の業務システム運用についての外部監査を担当させる。,過去2回出題
チェックディジットを利用する目的として，適切なものはどれか。,2,数値項目へ入力したデータに，英字や記号が混入した誤りを検出する。,入力したコードの値の誤りを検出する。,入力したコードの桁数の誤りを検出する。,入力したデータ値が，定められた範囲内に収まっていない誤りを検出する。,過去2回出題
複数の業務システムがある場合のアクセス管理の方法のうち，最も適切なものはどれか。,4,業務の担当変更に迅速に対応するために，業務グループごとに共通の利用者IDを使用する。,人事異動が頻繁に発生する場合には，年初にまとめてアクセス権限の変更を行う。,新入社員の名簿に基づいて，あらかじめ全業務システムに全員の利用者登録を実施しておく。,利用者の職位にかかわらず，業務システムごとに役割に応じて適切なアクセス権限の設定を行う。,過去2回出題
ソフトウェア開発プロジェクトで行う構成管理の対象項目として，適切なものはどれか。,3,開発作業の進捗状況,成果物に対するレビューの実施結果,プログラムのバージョン,プロジェクト組織の編成,過去3回出題
ソフトウェア開発におけるテスト技法のうち，ブラックボックステストに関する記述として，適切なものはどれか。,2,ソースコードを解析し，プログラムの制御の流れと変数間のデータの流れのテストを，主にプログラム開発者以外の第三者が実施する。,プログラムが設計者の意図した機能を実現しているかどうかのテストを，主にプログラム開発者以外の第三者が実施する。,プログラムの全ての命令について最低1回は実行することを完了の条件とするテストを，主にプログラム開発者自身が実施する。,プログラムの内部構造や論理が記述された内部仕様書に基づくテストを，主にプログラム開発者自身が実施する。,過去2回出題
通信を要求したPCに対し，ARPの仕組みを利用して実現できる通信可否の判定方法のうち，最も適切なものはどれか。,2,PCにインストールされているソフトウェアを確認し登録されているソフトウェアだけがインストールされている場合に通信を許可する。,PCのMACアドレスを確認し，事前に登録されているMACアドレスである場合だけ通信を許可する。,PCのOSのパッチ適用状況を確認し，最新のパッチが適用されている場合だけ通信を許可する。,PCのマルウェア対策ソフトの定義ファイルを確認し，最新になっている場合だけ通信を許可する。,過去2回出題
システム障害を想定した事業継続計画(BCP)を策定する場合，ビジネスインパクト分析での実施事項はどれか。,4,BCPの有効性を検証するためのテストを実施する。,情報システム障害時の代替手順と復旧手順について関係者を集めて教育する。,情報システムに関する内外の環境の変化を踏まえてBCPの内容を見直す。,情報システムに許容される最大停止時間を決定する。,過去3回出題
文書の内容を秘匿して送受信する場合の公開鍵暗号方式における鍵と暗号化アルゴリズムの取扱いのうち，適切なものはどれか。,3,暗号化鍵と復号鍵は公開するが，暗号化アルゴリズムは秘密にしなければならない。,暗号化鍵は公開するが，復号鍵と暗号化アルゴリズムは秘密にしなければならない。,暗号化鍵と暗号化アルゴリズムは公開するが，復号鍵は秘密にしなければならない。,復号鍵と暗号化アルゴリズムは公開するが，暗号化鍵は秘密にしなければならない。,過去2回出題
送信者から電子メール本文とそのハッシュ値を受け取り，そのハッシュ値と，受信者が電子メール本文から求めたハッシュ値とを比較することで実現できることはどれか。ここで，受信者が送信者から受け取るハッシュ値は正しいものとする。,2,電子メールの送達の確認,電子メール本文の改ざんの有無の検出,電子メール本文の盗聴の防止,なりすましの防止,過去3回出題
電子メールシステムで使用されるプロトコルであるPOP3の説明として，適切なものはどれか。,3,PPPのリンク確立後に，利用者IDとパスワードによって利用者を認証するときに使用するプロトコルである。,メールサーバ間でメールメッセージを交換するときに使用するプロトコルである。,メールサーバのメールボックスから電子メールを取り出すときに使用するプロトコルである。,利用者が電子メールを送るときに使用するプロトコルである。,過去2回出題
DBMSにおけるログファイルの説明として，適切なものはどれか。,4,システムダウンが発生したときにデータベースの回復処理時間を短縮するため，主記憶上の更新データを定期的にディスクに書き出したものである。,ディスク障害があってもシステムをすぐに復旧させるため，常に同一データのコピーを別ディスクや別サイトのデータベースに書き出したものである。,ディスク障害からデータベースを回復するため，データベースの内容をディスク単位で複写したものである。,データベースの回復処理のため，データの更新前後の値を書き出してデータベースの更新記録を取ったものである。,過去2回出題
様々なサイズのメモリ資源を使用するリアルタイムシステムのメモリプール管理において，可変長方式と比べた場合の固定長方式の特徴として，適切なものはどれか。,3,メモリ効率が良く，獲得及び返却の処理速度は遅く一定である。,メモリ効率が良く，獲得及び返却の処理速度は遅く不定である。,メモリ効率が悪く，獲得及び返却の処理速度は速く一定である。,メモリ効率が悪く，獲得及び返却の処理速度は速く不定である。,過去2回出題
ページ置換えアルゴリズムにおけるLRU方式の説明として，適切なものはどれか。,2,最後に参照されたページを置き換える方式,最後に参照されてからの経過時間が最も長いページを置き換える方式,最も参照回数の少ないページを置き換える方式,最も古くから存在するページを置き換える方式,過去2回出題
プラズマディスプレイの説明として，適切なものはどれか。,1,ガス放電によって発生する光を利用して映像を表示する。,自身では発光しないので，バックライトを使って映像を表示する。,電極の間に有機化合物を挟んだ構造で，これに電気を通すと発光することを利用して，映像を表示する。,電子銃から電子ビームを発射し，管面の蛍光体に当てて発光させ，文字や映像を表示する。,過去8回出題
キャッシュメモリに関する記述のうち，適切なものはどれか。,3,キャッシュメモリの転送ブロックの大きさを仮想記憶のページの大きさと同じにすると，プログラムの実行効率が向上する。,キャッシュメモリは高速アクセスが可能なので，汎用レジスタと同じ働きをする。,主記憶のアクセス時間とプロセッサの命令実行時間の差が大きいマシンでは，多段のキャッシュ構成にすることで実効アクセス時間が短縮できる。,ミスヒットが発生するとキャッシュ全体は一括消去され，主記憶から最新のデータの転送処理が実行される。,過去4回出題
後置表記法(逆ポーランド表記法)では，例えば，式 Y＝(A－B)×C を YAB－C×＝ と表現する。     次の式を後置表記法で表現したものはどれか。     Y＝(A＋B)×(C－(D÷E)),2,YAB＋C－DE÷×＝,YAB＋CDE÷－×＝,YAB＋EDC÷－×＝,YBA＋CD－E÷×＝,過去4回出題
次の10進小数のうち，8進数に変換したときに有限小数になるものはどれか。,3,0.3,0.4,0.5,0.8,過去3回出題
インターネットショッピングで売上の全体に対して，あまり売れない商品の売上合計の占める割合が無視できない割合になっていることを指すものはどれか。,4,アフィリエイト,オプトイン,ドロップシッピング,ロングテール,過去3回出題
情報化に関する費用のうち，ランニングコストに該当するものはどれか。,1,サーバなど情報機器の保守費用,情報システム戦略立案のコンサルティング費用,ソフトウェアパッケージの導入費用,要件定義を行うシステムエンジニアの費用,過去2回出題
