他人のIDとパスワードを使って，インターネットでオンラインショップのWebサーバに侵入し，会員情報を窃取しようとした。この行為を違法とする法律はどれか。,3,刑法,電気通信事業法,不正アクセス禁止法,プロバイダ責任制限法,平成21年秋期 午前問79
分散データベースの透過性の説明として，適切なものはどれか。,1,クライアントのアプリケーションプログラムは，複数のサーバ上のデータベースをアクセスする。アプリケーションプログラムは，データベースがあたかも一つのサーバ上で稼働しているかのようにアクセスできる。,クライアントのアプリケーションプログラムは，複数のサーバ上のデータベースをアクセスする。アプリケーションプログラムはどのサーバ上のデータベースをアクセスするのかを知っている必要がある。,複数のクライアントのアプリケーションプログラムが，一つのサーバ上のデータベースを共有してアクセスする。,複数のクライアントのアプリケーションプログラムは，一つのサーバ上のデータベースを，サーバ上のアプリケーションプログラムを介してアクセスする。,平成21年秋期 午前問35
媒体障害発生時にデータベースを復旧するために使用するファイルは主に二つある。一つはバックアップファイルであるが，あと一つはどれか。,4,トランザクションファイル,マスタファイル,ロールバックファイル,ログファイル,平成21年秋期 午前問34
関係データベースの主キーの性質として，適切なものはどれか。,3,主キーとした列に対して検索条件を指定しなければ，行の検索はできない。,数値型の列を主キーに指定すると，その列は算術演算の対象としては使えない。,一つの表の中に，主キーの値が同じ行が複数存在することはない。,複数の列からなる主キーを構成することはできない。,平成21年秋期 午前問32
コンピュータグラフィックスで図形を描画する際に，図形の境界近くの画素に変化する色彩の中間色を割り当てることで，境界に生じる階段状のギザギザを目立たなくする技術はどれか。,1,アンチエイリアシング,クリッピング,シェーディング,モーフィング,平成21年秋期 午前問31
音声のサンプリングを1秒間に11000回行い，サンプリングした値をそれぞれ8ビットのデータとして記録する。このとき，512×10^6バイトの容量をもつフラッシュメモリに，記録できる音声は最大何分か。,3,77,96,775,969,平成21年秋期 午前問30
64kビット／秒程度の低速回線用の動画像の符号化に用いられる画像符号化方式はどれか。,3,MPEG-1,MPEG-2,MPEG-4,MPEG-7,平成21年秋期 午前問29
システムの品質を向上させるために，発生した障害の原因についてパレート図を用いて分析した。分析結果から分かることはどれか。,3,時系列で見た障害の発生原因と発生件数,システムの規模と，障害の発生件数との相関,障害の主な発生原因と，それらの原因別の発生件数が全体に占める割合,発生した障害と，それに影響を及ばすと思われる原因との関連,平成21年秋期 午前問28
GUI画面の設計において，キーボードの操作に慣れている利用者と，慣れていない利用者のどちらにも，操作性の良いユーザインタフェースを実現するための留意点のうち，適切なものはどれか。,3,キーボードから入力させる項目数を最少にして，できる限り項目の一覧からマウスで選択させるようにする。,使用頻度の高い操作は，マウスをダブルクリックして実行できるようにする。,できる限り多くの操作に対して，マウスとキーボードの両方のインタフェースを用意する。,入力原票の形式にとらわれずに，必須項目など重要なものは1か所に集めて配置し，入力漏れがないようにする。,平成21年秋期 午前問27
頻繁に行う操作を効率よく行えるようにしたユーザインタフェースはどれか。,3,Undo機能(元に戻す),オンラインヘルプ,ショートカットキー,プログレスバー,平成21年秋期 午前問26
SoC(System on a Chip)の説明として，適切なものはどれか。,3,CPU，チップセット，ビデオチップ，メモリなどコンピュータを構成するための電子回路基板,CPU，メモリ，周辺装置などの間で発生するデータの受渡しを管理する一連の回路群を搭載した半導体チップ,必要とされるすべての機能(システム)を同一プロセスで集積した半導体チップ,プロセスが異なる機能は，個別に最適化されたプロセスで製造し，パッケージ上でそれぞれのチップを適切に配線した半導体チップ,平成21年秋期 午前問23
DRAMの説明として，適切なものはどれか。,1,コンデンサに電荷を蓄えた状態か否かによって1ビットを表現する。主記憶としてよく用いられる。,製造時にデータが書き込まれる。マイクロプログラム格納用メモリとして用いられる。,専用の装置でデータを書き込むことができ，紫外線照射で消去ができる。,フリップフロップで構成され，高速であるが製造コストが高い。キャッシュメモリなどに用いられる。,平成21年秋期 午前問22
GPLの下で公開されたOSSを使い，ソースコードを公開しなかった場合にライセンス違反となるものはどれか。,3,OSSとアプリケーションソフトウェアとのインタフェースを開発し，販売している。,OSSの改変を他社に委託し，自社内で使用している。,OSSの入手，改変，販売をすべて自社で行っている。,OSSを利用して性能テストを行った自社開発ソフトウェアを販売している。,平成21年秋期 午前問21
CASEツールが提供する機能のうち，上流CASEツールに属するものはどれか。,1,DFDの作成支援,テストデータの作成支援,プログラムの自動生成,ライブラリの管理支援,平成21年秋期 午前問20
様々なサイズのメモリ資源を使用するリアルタイムシステムのメモリプール管理において，可変長方式と比べた場合の固定長方式の特徴として，適切なものはどれか。,3,メモリ効率が良く，獲得及び返却の処理速度は遅く一定である。,メモリ効率が良く，獲得及び返却の処理速度は遅く不定である。,メモリ効率が悪く，獲得及び返却の処理速度は速く一定である。,メモリ効率が悪く，獲得及び返却の処理速度は速く不定である。,平成21年秋期 午前問18
オンラインシステムにおいて，1トランザクションの処理に平均60万命令を実行し，平均2回のファイルアクセスが必要であるとき，CPU性能が30MIPSであるコンピュータの1トランザクションの平均処理時間は何ミリ秒か。ここで，ファイルの平均アクセス時間は30ミリ秒とし，当該トランザクション以外の処理は発生しないものとする。,4,8,40,62,80,平成21年秋期 午前問17
ホットスタンバイ方式に関する記述のうち，適切なものはどれか。,1,待機系は，現用系が動作しているかどうかを監視していて，現用系のダウンを検出すると現用系が行っていた処理を直ちに引き継ぐ。,待機系は，現用系に入力されるジョブを監視していて，処理量の大きいジョブが入力されると現用系に代わってこれを実行する。,待機系は，現用系の負荷状態を監視していて，現用系のオーバロード（過負荷状態）を検出するとオーバロードした分の処理を引き受けて実行する。,待機系も現用系と同時に同じ処理を実行していて，現用系がダウンしても待機系が処理を完了する。,平成21年秋期 午前問15
クライアントサーバシステムの特徴として，適切なものはどれか。,1,クライアントとサーバが協調して，目的の処理を遂行する分散処理形態であり，サービスという概念で機能を分割し，サーバがサービスを提供する。,クライアントとサーバが協調しながら共通のデータ資源にアクセスするために，システム構成として密結合システムを採用している。,クライアントは，多くのサーバからの要求に対して，互いに協調しながら同時にサービスを提供し，サーバからのクライアント資源へのアクセスを制御する。,サービスを提供するクライアント内に設置するデータベースも，規模に対応して柔軟に拡大することができる。,平成21年秋期 午前問14
500バイトのセクタ8個を1ブロックとして，ブロック単位でファイルの領域を割り当てて管理しているシステムがある。2000バイト及び9000バイトのファイルを保存するとき，これら二つのファイルに割り当てられるセクタ数の合計は幾らか。ここで，ディレクトリなどの管理情報が占めるセクタは考慮しないものとする。,4,22,26,28,32,平成21年秋期 午前問13
USBの説明はどれか。,3,PCに内蔵される CD-ROM装置，DVD装置などを接続するためのパラレルインタフェースである。,磁気ディスク，プリンタなどをデイジーチェーンで接続するパラレルインタフェースである。,ハブを介してツリー状に機器を接続できるシリアルインタフェースである。,プリンタなどに赤外線を使ってデータを転送するシリアルインタフェースである。,平成21年秋期 午前問11
メモリインタリーブの説明として，適切なものはどれか。,2,CPUから主記憶へのアクセスを高速化するために，キャッシュメモリと主記憶との両方に同時にデータを書き込む。,CPUから主記憶へのアクセスを高速化するために，主記憶内部を複数のバンクに分割し，各バンクを並列にアクセスする。,CPUと主記憶のアクセス速度の違いによるボトルネックを解消するために，高速かつ小容量のメモリを配置する。,パイプライン処理を乱す要因をなくすために，キャッシュメモリを命令用とデータ用の二つに分離する。,平成21年秋期 午前問10
ディジタルカメラの画像データや携帯音楽プレーヤの音楽データの記録媒体として利用されているものはどれか。,3,DRAM,SRAM,フラッシュメモリ,マスク ROM,平成21年秋期 午前問9
Ajaxの説明はどれか。,4,HTTPプロトコルを用いて，XML形式やHTML形式のデータがファイアウォールを通過できるようにした通信方式,スタイルシートを適用することによって，デザインを統一したり，保守性を高めたりする仕組み,ブラウザからの要求に対してWebサーバが応答し，テキスト・画像・音声・動画などをやり取りするための通信方式,ブラウザとWebサーバとがXML形式のデータを用いて非同期の通信をし，動的に画面を再描画する仕組み,平成21年秋期 午前問8
オブジェクト指向プログラムの特徴はどれか。,3,計算順序は制御フローではなくデータの流れによって規定される。命令は，入力となるすべてのデータがそろったときに実行可能となる。,計算の制御は命令から命令へ順次渡される。命令間でのデータの受渡しは，“変数”を介するメモリヘの参照によって間接的に行う。命令とデータの定義は分離されている。,データを外部から隠ぺいし，メソッドと呼ばれる手続によって間接的に操作することができる。プログラムは，データとメソッドをひとまとまりにしたものの集まりである。,プログラムは，入れ子構造の演算式，関数を表現する命令(演算記号)，データによって構成され，“命令実行”に対応するのは“演算式又は関数の値の計算(評価)”である。,平成21年秋期 午前問7
クイックソートの処理方法を説明したものはどれか。,3,既に整列済みのデータ列の正しい位置に，データを追加する操作を繰り返していく方法である。,データ中の最小値を求め，次にそれを除いた部分の中から最小値を求める。この操作を繰り返していく方法である。,適当な基準値を選び，それより小さな値のグループと大きな値のグループにデータを分割する。同様にして，グループの中で基準値を選び，それぞれのグループを分割する。この操作を繰り返していく方法である。,隣り合ったデータの比較と入替えを繰り返すことによって，小さな値のデータを次第に端の方に移していく方法である。,平成21年秋期 午前問6
空のスタックに対して次の操作を行った場合，スタックに残っているデータはどれか。ここで，“push x”はスタックへデータxを格納し，“pop”はスタックからデータを取り出す操作を表す。     push1→push2→pop→push3→push4→pop→push5→pop,1,1 と 3,2 と 4,2 と 5,4 と 5,平成21年秋期 午前問5
産業機器の機器制御に使われるシーケンス制御の説明として，適切なものはどれか。,1,あらかじめ定められた順序又は条件に従って，制御の各段階を逐次進めていく制御方法である。,外乱が予測できる場合に，あらかじめ外乱を想定して前もって必要な修正動作を行う制御方法である。,制御量を常に検出して制御に反映しているので，予測できないような外乱に強い制御方法である。,“やや多い”，“やや少ない”などあいまい性に基づく制御方法である。,平成21年秋期 午前問4
逆ポーランド表記法（後置表記法）で，“EF－G÷CD－AB＋÷＋”と表現される式はどれか。,3,((A＋B)＋(C－D))÷G－(E÷F),((A＋B)÷(C－D))＋G÷(E－F),((E－F)÷G)＋((C－D)÷(A＋B)),((E－F)÷G)÷((C－D)＋(A＋B)),平成21年秋期 午前問3
実数aを a＝f×r^e と表す浮動小数点表示に関する記述として，適切なものはどれか。,1,fを仮数，eを指数，rを基数という。,fを基数，eを仮数，rを指数という。,fを基数，eを指数，rを仮数という。,fを指数，eを基数，rを仮数という。,平成21年秋期 午前問2
