製造物責任法の対象となる制御用ソフトウェアの不具合はどれか。ここで，制御用ソフトウェアはエレベータの制御装置に組み込まれているものとする。,4,エレベータの待ち時間が長くなる原因となった不具合,エレベータの可動部分の交換を早める原因となった不具合,エレベータメーカの出荷作業の遅延の原因となった不具合,人的被害が出たエレベータ事故の原因となった不具合,平成24年春期 午前問80
企業が保有する顧客や市場などの膨大なデータから，有用な情報や関係を見つけ出す手法はどれか。,4,データウェアハウス,データディクショナリ,データフローダイアグラム,データマイニング,平成24年春期 午前問64
ASPとは，どのようなサービスを提供する事業者か。,4,顧客のサーバや通信機器を設置するために，事業者が所有する高速回線や耐震設備が整った施設を提供するサービス,顧客の組織内部で行われていた総務，人事，経理，給与計算などの業務を外部の事業者が一括して請け負うサービス,事業者が所有するサーバの一部を顧客に貸し出し，顧客が自社のサーバとして利用するサービス,汎用的なアプリケーションシステムの機能をネットワーク経由で複数の顧客に提供するサービス,平成24年春期 午前問63
情報戦略の立案時に，必ず整合性をとるべき対象はどれか。,4,新しく登場した情報技術,基幹システムの改修計画,情報システム部門の年度計画,中長期の経営計画,平成24年春期 午前問62
リスクや投資価値の類似性で分けたカテゴリごとの情報化投資について，最適な資源配分を行う手法はどれか。,2,3C分析,ITポートフォリオ,エンタープライズアーキテクチャ,ベンチマーキング,平成24年春期 午前問61
システム監査において，監査証拠となるものはどれか。,4,システム監査チームが監査意見を取りまとめるためのミーティングの議事録,システム監査チームが監査報告書に記載した指摘事項,システム監査チームが作成した個別監査計画書,システム監査チームが被監査部門から入手したシステム運用記録,平成24年春期 午前問60
システム開発を外部委託している部門が，委託先に対する進捗管理についてシステム監査を受ける場合，提出すべき資料はどれか。,1,委託先から定期的に受領している業務報告及びその検証結果を示している資料,成果物の検収方法を明確にしている資料,ソフトウェアの第三者への預託を行っていることを示している資料,データや資料などの回収と廃棄の方法を明確にしている資料,平成24年春期 午前問59
システム監査人の独立性が保たれている状況はどれか。,2,営業部門の要員を監査チームのメンバに任命し，営業部門における個人情報保護対策についての監査を行わせる。,監査法人からシステム監査人を採用して内部監査人に位置付け，社内の業務システム開発についての監査を行わせる。,システム部門の要員を監査部門に異動させ，システム部門に所属していたときに開発に参加したシステムの保守についての監査を担当させる。,社内の業務システム運用を委託しているITベンダの監査部門に依頼し，社内の業務システム運用についての外部監査を担当させる。,平成24年春期 午前問58
チェックディジットを利用する目的として，適切なものはどれか。,2,数値項目へ入力したデータに，英字や記号が混入した誤りを検出する。,入力したコードの値の誤りを検出する。,入力したコードの桁数の誤りを検出する。,入力したデータ値が，定められた範囲内に収まっていない誤りを検出する。,平成24年春期 午前問57
複数の業務システムがある場合のアクセス管理の方法のうち，最も適切なものはどれか。,4,業務の担当変更に迅速に対応するために，業務グループごとに共通の利用者IDを使用する。,人事異動が頻繁に発生する場合には，年初にまとめてアクセス権限の変更を行う。,新入社員の名簿に基づいて，あらかじめ全業務システムに全員の利用者登録を実施しておく。,利用者の職位にかかわらず，業務システムごとに役割に応じて適切なアクセス権限の設定を行う。,平成24年春期 午前問56
ITサービスマネジメントの管理プロセスはどれか。,1,サービスレベル管理,品質管理,スケジュール管理,リスク管理,平成24年春期 午前問55
システム開発プロジェクトにおける，ソフトウェア品質の管理指標の一つとして，最も適切なものはどれか。,3,WBSを構成するワークパッケージの完了数,個人別のプログラミングの生産性,成果物ごとのレビュー時間,プログラムのバージョン,平成24年春期 午前問54
ソフトウェア開発プロジェクトで行う構成管理の対象項目として，適切なものはどれか。,3,開発作業の進捗状況,成果物に対するレビューの実施結果,プログラムのバージョン,プロジェクト組織の編成,平成24年春期 午前問51
ソフトウェアのリバースエンジニアリングの説明はどれか。,3,CASEツールなどを用いて，設計情報からソースコードを自動生成する。,外部から見たときの振る舞いを変えずに，ソフトウェアの内部構造を変える。,既存のソフトウェアを解析し，その仕様や構造を明らかにする。,既存のソフトウェアを分析し理解した上で，ソフトウェア全体を新しく構築し直す。,平成24年春期 午前問50
サブルーチンへの引数の渡し方のうち，変数を引数として渡しても，サブルーチンの実行後に変数の値が変更されないことが保証されているものはどれか。,1,値呼出し,結果呼出し,参照呼出し,名前呼出し,平成24年春期 午前問49
ソフトウェア開発におけるテスト技法のうち，ブラックボックステストに関する記述として，適切なものはどれか。,2,ソースコードを解析し，プログラムの制御の流れと変数間のデータの流れのテストを，主にプログラム開発者以外の第三者が実施する。,プログラムが設計者の意図した機能を実現しているかどうかのテストを，主にプログラム開発者以外の第三者が実施する。,プログラムの全ての命令について最低1回は実行することを完了の条件とするテストを，主にプログラム開発者自身が実施する。,プログラムの内部構造や論理が記述された内部仕様書に基づくテストを，主にプログラム開発者自身が実施する。,平成24年春期 午前問48
階層構造のモジュール群から成るソフトウェアの結合テストを，上位のモジュールから行う。この場合に使用する，下位モジュールの代替となるテスト用のモジュールはどれか。,3,エミュレータ,シミュレータ,スタブ,ドライバ,平成24年春期 午前問47
オブジェクト指向プログラミングの特徴はどれか。,1,オブジェクトが相互にメッセージを送ることによって，協調して動作し，プログラム全体の機能を実現する。,オブジェクトの外部からオブジェクトの内部のデータを直接変更できるので，自由度が高い。,下位クラスは上位クラスの機能や性質を引き継ぐので，下位クラスに必要な性質は全て上位クラスに含まれる。,個々のオブジェクトが使用するデータ(属性)は，あらかじめデータ辞書に登録しておく。,平成24年春期 午前問46
ディレクトリトラバーサル攻撃に該当するものはどれか。,3,Webアプリケーションの入力データとしてデータベースへの命令文を構成するデータを入力し，想定外のSQL文を実行させる。,Webサイトに利用者を誘導した上で，Webサイトの入力データ処理の欠陥を悪用し，利用者のブラウザで悪意のあるスクリプトを実行させる。,管理者が意図していないパスでサーバ内のファイルを指定することによって，本来は許されないファイルを不正に閲覧する。,セッションIDによってセッションが管理されるとき，ログイン中の利用者のセッションIDを不正に取得し，その利用者になりすましてサーバにアクセスする。,平成24年春期 午前問45
通信を要求したPCに対し，ARPの仕組みを利用して実現できる通信可否の判定方法のうち，最も適切なものはどれか。,2,PCにインストールされているソフトウェアを確認し登録されているソフトウェアだけがインストールされている場合に通信を許可する。,PCのMACアドレスを確認し，事前に登録されているMACアドレスである場合だけ通信を許可する。,PCのOSのパッチ適用状況を確認し，最新のパッチが適用されている場合だけ通信を許可する。,PCのマルウェア対策ソフトの定義ファイルを確認し，最新になっている場合だけ通信を許可する。,平成24年春期 午前問44
システム障害を想定した事業継続計画(BCP)を策定する場合，ビジネスインパクト分析での実施事項はどれか。,4,BCPの有効性を検証するためのテストを実施する。,情報システム障害時の代替手順と復旧手順について関係者を集めて教育する。,情報システムに関する内外の環境の変化を踏まえてBCPの内容を見直す。,情報システムに許容される最大停止時間を決定する。,平成24年春期 午前問42
文書の内容を秘匿して送受信する場合の公開鍵暗号方式における鍵と暗号化アルゴリズムの取扱いのうち，適切なものはどれか。,3,暗号化鍵と復号鍵は公開するが，暗号化アルゴリズムは秘密にしなければならない。,暗号化鍵は公開するが，復号鍵と暗号化アルゴリズムは秘密にしなければならない。,暗号化鍵と暗号化アルゴリズムは公開するが，復号鍵は秘密にしなければならない。,復号鍵と暗号化アルゴリズムは公開するが，暗号化鍵は秘密にしなければならない。,平成24年春期 午前問41
送信者から電子メール本文とそのハッシュ値を受け取り，そのハッシュ値と，受信者が電子メール本文から求めたハッシュ値とを比較することで実現できることはどれか。ここで，受信者が送信者から受け取るハッシュ値は正しいものとする。,2,電子メールの送達の確認,電子メール本文の改ざんの有無の検出,電子メール本文の盗聴の防止,なりすましの防止,平成24年春期 午前問40
HTMLやXMLの要素をどのように表示するかを指示する場合に用いられ，表示クライアント側で処理されるものはどれか。,2,CGI,CSS,PHP,SSI,平成24年春期 午前問39
電子メールシステムで使用されるプロトコルであるPOP3の説明として，適切なものはどれか。,3,PPPのリンク確立後に，利用者IDとパスワードによって利用者を認証するときに使用するプロトコルである。,メールサーバ間でメールメッセージを交換するときに使用するプロトコルである。,メールサーバのメールボックスから電子メールを取り出すときに使用するプロトコルである。,利用者が電子メールを送るときに使用するプロトコルである。,平成24年春期 午前問38
プライベートIPアドレスの複数の端末が，一つのグローバルIPアドレスを使ってインターネット接続を利用する仕組みを実現するものはどれか。,3,DHCP,DNS,NAPT,RADIUS,平成24年春期 午前問37
インターネットにおける電子メールの規約で，ヘッダフィールドの拡張を行い，テキストだけでなく，音声，画像なども扱えるようにしたものはどれか。,3,HTML,MHS,MIME,SMTP,平成24年春期 午前問36
LAN間接続装置に関する記述のうち，適切なものはどれか。,3,ゲートウェイは，OSI 基本参照モデルにおける第1～3層だけのプロトコルを変換する。,ブリッジは，IP アドレスを基にしてフレームを中継する。,リピータは，同種のセグメント間で信号を増幅することによって伝送距離を延長する。,ルータは，MAC アドレスを基にしてフレームを中継する。,平成24年春期 午前問35
10Mバイトのデータを100000ビット／秒の回線を使って転送するとき，転送時間は何秒か。ここで，回線の伝送効率を50%とし，1Mバイト=106バイトとする。,4,200,400,800,1600,平成24年春期 午前問34
DBMSの排他制御に関する記述のうち，適切なものはどれか。,4,アクセス頻度の高いデータの処理速度を上げるためには，排他制御が必要である。,処理速度を上げるため，排他制御を行うデータの範囲は極力大きくすべきである。,データアクセス時のデッドロックを防止するために，排他制御が必要である。,複数の人が同時に更新する可能性のあるデータには，排他制御が必要である。,平成24年春期 午前問33
DBMSにおけるログファイルの説明として，適切なものはどれか。,4,システムダウンが発生したときにデータベースの回復処理時間を短縮するため，主記憶上の更新データを定期的にディスクに書き出したものである。,ディスク障害があってもシステムをすぐに復旧させるため，常に同一データのコピーを別ディスクや別サイトのデータベースに書き出したものである。,ディスク障害からデータベースを回復するため，データベースの内容をディスク単位で複写したものである。,データベースの回復処理のため，データの更新前後の値を書き出してデータベースの更新記録を取ったものである。,平成24年春期 午前問32
関係データベース管理システム(RDBMS)におけるビューに関する記述のうち，適切なものはどれか。,1,ビューとは，名前を付けた導出表のことである。,ビューに対して，ビューを定義することはできない。,ビューの定義を行ってから，必要があれば，その基底表を定義する。,ビューは一つの基底表に対して一つだけ定義できる。,平成24年春期 午前問29
E-R図に関する記述として，適切なものはどれか。,2,関係データベースの表として実装することを前提に作成する。,業務で扱う情報をエンティティ及びエンティテイ間のリレーションシップとして表現する。,データの生成から消滅に至るデータ操作を表現できる。,リレーションシップは，業務上の手順を表現する。,平成24年春期 午前問28
3次元コンピュータグラフィクスに関する記述のうち，ポリゴンの説明はどれか。,3,ある物体Aを含む映像aから他の形状の異なる物体Bを含む映像bへ，滑らかに変化する映像,コンピュータ内部に記録されているモデルを，ディスプレイに描画できるように2次元化した映像,閉じた立体となる多面体を構成したり，2次曲面や自由曲面を近似するのに用いられたりする基本的な要素,モデリングされた物体の表面に貼り付ける柄や模様などの画像,平成24年春期 午前問27
60分の音声信号(モノラル)を，標本化周波数44.1kHz，量子化ビット数16ビットのPCM方式でディジタル化した場合，データ量はおよそ何Mバイトか。ここで，データの圧縮は行わないものとする。,3,80,160,320,640,平成24年春期 午前問26
シェルのリダイレクト機能による実現の可否に関する記述のうち，適切なものはどれか。,3,標準出力をファイルに切り替えることはできないが，標準入力をファイルに切り替えることはできる。,標準出力をファイルに追加することはできないが，標準入力と標準出力をファイルに切り替えることはできる。,標準入力と標準出力をファイルに切り替えることができ，標準出力をファイルに追加することもできる。,標準入力をファイルに切り替えることはできないが，標準出力をファイルに切り替えることはできる。,平成24年春期 午前問24
様々なサイズのメモリ資源を使用するリアルタイムシステムのメモリプール管理において，可変長方式と比べた場合の固定長方式の特徴として，適切なものはどれか。,3,メモリ効率が良く，獲得及び返却の処理速度は遅く一定である。,メモリ効率が良く，獲得及び返却の処理速度は遅く不定である。,メモリ効率が悪く，獲得及び返却の処理速度は速く一定である。,メモリ効率が悪く，獲得及び返却の処理速度は速く不定である。,平成24年春期 午前問23
ページ置換えアルゴリズムにおけるLRU方式の説明として，適切なものはどれか。,2,最後に参照されたページを置き換える方式,最後に参照されてからの経過時間が最も長いページを置き換える方式,最も参照回数の少ないページを置き換える方式,最も古くから存在するページを置き換える方式,平成24年春期 午前問22
仮想記憶システムにおいて主記憶の容量が十分でない場合，プログラムの多重度を増加させるとシステムのオーバヘッドが増加し，アプリケーションのプロセッサ使用率が減少する状態を表すものはどれか。,1,スラッシング,フラグメンテーション,ページング,ボトルネック,平成24年春期 午前問21
次の条件で四つのジョブがCPU処理及び印刷を行う場合に，最初のCPU処理を開始してから最後の印刷が終了するまでの時間は何分か。     〔条件〕     (1):多重度1で実行される。     (2):各ジョブのCPU処理時間は20分である。     (3):各ジョブはCPU処理終了時に400Mバイトの印刷データをスプーリングする。スプーリング終了後にOSの印刷機能が働き，プリンタで印刷される。     (4):プリンタは1台であり，印刷速度は100Mバイト当たり10分である。     (5):CPU処理と印刷機能は同時に動作可能で，互いに影響を及ぼさない。     (6):スプーリングに要する時間など，条件に記述されていない時間は無視できる。,3,120,160,180,240,平成24年春期 午前問20
オンラインリアルタイム処理における一つのトランザクションについて，端末側で応答時間，回線伝送時間，端末処理時間が測定できるとき，サーバ処理時間を求める式として適切なものはどれか。ここで，他のオーバヘッドは無視するものとする。,4,サーバ処理時間＝応答時間＋回線伝送時間＋端末処理時間,サーバ処理時間＝応答時間＋回線伝送時間－端末処理時間,サーバ処理時間＝応答時間－回線伝送時間＋端末処理時間,サーバ処理時間＝応答時間－回線伝送時間－端末処理時間,平成24年春期 午前問19
ベンチマークテストの説明として，適切なものはどれか。,2,監視・計測用のプログラムによってシステムの稼働状態や資源の状況を測定し，システム構成や応答性能のデータを得る。,使用目的に合わせて選定した標準的なプログラムを実行させ，その処理性能を測定する。,将来の予測を含めて評価する場合などにモデルを作成して模擬的に実験するプログラムでシステムの性能を評価する。,プログラムを実際には実行せずに，机上でシステムの処理を解析して，個々の命令の出現回数や実行回数の予測値から処理時間を推定し，性能を評価する。,平成24年春期 午前問18
フォールトトレラントシステムを実現する上で不可欠なものはどれか。,1,システム構成に冗長性をもたせ，部品が故障してもその影響を最小限に抑えることで，システム全体には影響を与えずに処理を続けられるようにする。,システムに障害が発生したときの原因究明や復旧のため，システム稼働中のデータベースの変更情報などの履歴を自動的に記録する。,障害が発生した場合，速やかに予備の環境に障害前の状態を復旧できるよう，定期的にデータをバックアップする。,操作ミスが発生しにくい容易な操作にするか，操作ミスが発生しても致命的な誤りとならないように設計する。,平成24年春期 午前問16
クラウドコンピューティングの説明として，最も適切なものはどれか。,3,あらゆる電化製品をインテリジェント化しネットワークに接続することによって，いつでもどこからでもそれらの機器の監視や操作ができるようになること,数多くのPCの計算能力を集積することによって，スーパコンピュータと同程度の計算能力を発揮させること,コンピュータの資源をネットワークを介して提供することによって，利用者がスケーラピリティやアベイラピリティの高いサービスを容易に受けられるようになること,特定のサーバを介することなく，ネットワーク上のPC同士が対等の関係で相互に通信を行うこと,平成24年春期 午前問15
プラズマディスプレイの説明として，適切なものはどれか。,1,ガス放電によって発生する光を利用して映像を表示する。,自身では発光しないので，バックライトを使って映像を表示する。,電極の間に有機化合物を挟んだ構造で，これに電気を通すと発光することを利用して，映像を表示する。,電子銃から電子ビームを発射し，管面の蛍光体に当てて発光させ，文字や映像を表示する。,平成24年春期 午前問14
キャッシュメモリに関する記述のうち，適切なものはどれか。,3,キャッシュメモリの転送ブロックの大きさを仮想記憶のページの大きさと同じにすると，プログラムの実行効率が向上する。,キャッシュメモリは高速アクセスが可能なので，汎用レジスタと同じ働きをする。,主記憶のアクセス時間とプロセッサの命令実行時間の差が大きいマシンでは，多段のキャッシュ構成にすることで実効アクセス時間が短縮できる。,ミスヒットが発生するとキャッシュ全体は一括消去され，主記憶から最新のデータの転送処理が実行される。,平成24年春期 午前問13
DRAMのリフレッシュ動作の説明として，適切なものはどれか。,3,一定時間ごとに内容を外部記憶装置に書き込む。,システムの電源投入時に，全領域をOで初期化する。,データを保持するために，一定時間ごとにアクセスする。,内容を更新するときに，データを一旦消去する。,平成24年春期 午前問12
外部割込みに分類されるものはどれか。,1,インターバルタイマによって，指定時間経過時に生じる割込み,演算結果のオーバフローやゼロによる除算で生じる割込み,仮想記憶管理において，存在しないページへのアクセスによって生じる割込み,ソフトウェア割込み命令の実行によって生じる割込み,平成24年春期 午前問11
マルチコアプロセッサの特徴として適切なものはどれか。,2,コアの個数をn倍にすると，プロセッサ全体の処理性能はn^2倍になる。,消費電力を抑えながら，プロセッサ全体の処理性能を高められる。,複数のコアが同時に動作しても，共有資源の競合は発生しない。,プロセッサのクロック周波数をシングルコアより高められる。,平成24年春期 午前問10
Web環境での動的処理を実現するプログラムであって，Webサーバ上だけで動作するものはどれか。,3,JavaScript,Javaアプレット,Javaサーブレット,VBScript,平成24年春期 午前問9
再帰呼出しの説明はどれか。,2,あらかじめ決められた順番ではなく，起きた事象に応じた処理を行うこと,関数の中で自分自身を用いた処理を行うこと,処理が終了した関数をメモリから消去せず，必要になったとき再び用いること,処理に失敗したときに，その処理を呼び出す直前の状態に戻すこと,平成24年春期 午前問8
多数のデータが単方向リスト構造で格納されている。このリスト構造には，先頭ポインタとは別に，末尾のデータを指し示す末尾ポインタがある。次の操作のうち，ポインタを参照する回数が最も多いものはどれか。,4,リストの先頭にデータを挿入する。,リストの先頭のデータを削除する。,リストの末尾にデータを挿入する。,リストの末尾のデータを削除する。,平成24年春期 午前問7
後置表記法(逆ポーランド表記法)では，例えば，式 Y＝(A－B)×C を YAB－C×＝ と表現する。     次の式を後置表記法で表現したものはどれか。     Y＝(A＋B)×(C－(D÷E)),2,YAB＋C－DE÷×＝,YAB＋CDE÷－×＝,YAB＋EDC÷－×＝,YBA＋CD－E÷×＝,平成24年春期 午前問4
次の10進小数のうち，8進数に変換したときに有限小数になるものはどれか。,3,0.3,0.4,0.5,0.8,平成24年春期 午前問1
