労働者派遣における派遣元の責任はどれか。,1,派遣先での時間外労働に関する法令上の届出,派遣労働者に指示する業務の遂行状況の管理,派遣労働者の休日や休憩時間の適切な取得に関する管理,派遣労働者の日々の就業で必要な職場環境の整備,平成26年春期 午前問80
ディジタルディバイドの解消のために取り組むべきことはどれか。,3,IT投資額の見積りを行い，投資目的に基づいて効果目標を設定して，効果目標ごとに目標達成の可能性を事前に評価すること,ITを活用した家電や設備などの省エネルギー化やテレワークなどによる業務の効率向上によって，エネルギー消費を削減すること,情報リテラシの習得機会を増やしたり，情報通信機器や情報サービスが一層利用しやすい環境を整備したりすること,製品や食料品などの生産段階から最終消費段階又は廃棄段階までの全工程について，ICタグを活用して流通情報を追跡可能にすること,平成26年春期 午前問64
SOAを説明したものはどれか。,2,業務体系，データ体系，適用処理体系，技術体系の四つの主要概念から構成され，業務とシステムの最適化を図る。,サービスというコンポーネントからソフトウェアを構築することによって，ビジネス変化に対応しやすくする。,データフローダイアグラムを用い，情報に関するモデルと機能に関するモデルを同時に作成する。,連接，選択，反復の三つの論理構造の組合せで，コンポーネントレベルの設計を行う。,平成26年春期 午前問63
共通フレームによれば，システム化構想の立案で作成されるものはどれか。,1,企業で将来的に必要となる最上位の業務機能と業務組織を表した業務の全体像,業務手順やコンピュータ入出力情報など実現すべき要件,日次や月次で行う利用者業務やコンピュータ入出力作業の業務手順,必要なハードウェアやソフトウェアを記述した最上位レベルのシステム方式,平成26年春期 午前問61
"システム管理基準"に基づいて，システムの信頼性，安全性，効率性を監査する際に，システムが不正な使用から保護されているかどうかという安全性の検証項目として，最も適切なものはどれか。,1,アクセス管理機能の検証,フェールソフト機能の検証,フォールトトレラント機能の検証,リカバリ機能の検証,平成26年春期 午前問60
システム設計の段階において，利用者要件が充足されないリスクを低減するコントロールを監査するときのチェックポイントはどれか。,4,システム設計書に基づき，プログラム仕様書を作成していること,システムテスト要件に基づいてテスト計画を作成し，システム運用部門の責任者の承認を得ていること,プログラミングは定められた標準に従っていること,利用部門が参画して，システム設計書のレビューを行っていること,平成26年春期 午前問59
システム監査の実施体制に関する記述のうち，適切なものはどれか。,1,監査依頼者が監査報告に基づく改善指示を行えるように，システム監査人は監査結果を監査依頼者に報告する。,業務監査の一部として情報システムの監査を行う場合には，利用部門のメンバによる監査チームを編成して行う。,システム監査人がほかの専門家の支援を受ける場合には，支援の範囲，方法，監査結果の判断などは，ほかの専門家の責任において行う。,情報システム部門における開発の状況の監査を行う場合は，開発内容を熟知した情報システム部門員による監査チームを編成して行う。,平成26年春期 午前問58
次の条件でITサービスを提供している。SLAを満たすための，1か月のサービス時間帯中の停止時間は最大何時間か。ここで，1か月の営業日は30日とし、サービス時間帯中は保守などのサービス計画停止は行わないものとする。     〔SLAの条件〕     ・サービス時間帯は，営業日の午前8時から午後10時までとする。     ・可用性を99.5%以上とする。,2,0.3,2.1,3.0,3.6,平成26年春期 午前問57
ITサービスマネジメントにおける"既知の誤り(既知のエラー)"の説明はどれか。,1,根本原因が特定されている又は回避策が存在している問題,サービスデスクに問合せがあった新たなインシデント,サービスマネジメント計画での矛盾や漏れ,静的検査で検出したプログラムの誤り,平成26年春期 午前問56
システムの移行方式の一つである一斉移行方式の特徴のうち，適切なものはどれか。,3,新旧システム間を接続するアプリケーションが必要となる。,新旧システムを並行させて運用し，ある時点で新システムに移行する。,新システムへの移行時のトラブルの影響が大きい。,並行して稼働させるための運用コストが発生する。,平成26年春期 午前問55
ある新規システムの開発規模を見積もったところ，500FP(ファンクションポイント)であった。このシステムを構築するプロジェクトには，開発工数の他にシステムの導入や開発者教育の工数が10人月必要である。また，プロジェクト管理に，開発と導入・教育を合わせた工数の10%を要する。このプロジェクトに要する全工数は何人月か。ここで，開発の生産性は1人月当たり10FPとする。,4,51,60,65,66,平成26年春期 午前問54
システム開発の進捗管理やソフトウェアの品質管理などで用いられるPDCAサイクルの"P"，"D"，"C"，"A"は，それぞれ英単語の頭文字をとったものである。3番目の文字"C"が表す単語はどれか。,3,Challenge,Change,Check,Control,平成26年春期 午前問51
ソフトウェア開発の活動のうち，リファクタリングはどれか。,2,ソフトウェアの品質を高めるために，2人のプログラマが協力して，一つのプログラムをコーディングする。,ソフトウェアの保守性を高めるために，外部仕様を変更することなく，プログラムの内部構造を変更する。,動作するソフトウェアを迅速に開発するために，テストケースを先に設定してから，プログラムをコーディングする。,利用者からのフィードバックを得るために，提供予定のソフトウェアの試作品を早期に作成する。,平成26年春期 午前問50
ブラックボックステストにおけるテストケースの設計方法として，適切なものはどれか。,2,プログラム仕様書の作成又はコーディングが終了した段階で，仕様書やソースリストを参照して，テストケースを設計する。,プログラムの機能仕様やインタフェースの仕様に基づいて，テストケースを設計する。,プログラムの処理手順や内部構造に基づいて，テストケースを設計する。,プログラムのすべての条件判定で，真と偽をそれぞれ1回以上実行させることを基準に，テストケースを設計する。,平成26年春期 午前問49
要求の分析・設計時に使用する状態遷移図の説明として，適切なものはどれか。,2,階層構造の形でプログラムの全体構造を記述する。,時間の経過や制御信号の変化などの，状態を変化させるきっかけと，変化に伴って実行する動作を記述する。,システムの機能を概要から詳細へと段階的に記述する。,処理間のデータの流れをデータフロー，処理，データストア及び外部の四つの記号で記述する。,平成26年春期 午前問48
オブジェクト指向に基づく開発では，オブジェクトの内部構造が変更されても利用者がその影響を受けないようにすることができ，それによってオブジェクトの利用者がオブジェクトの内部構造を知らなくてもよいようにすることができる。これを実現するための概念を表す用語はどれか。,1,カプセル化,クラス化,構造化,モジュール化,平成26年春期 午前問47
生体認証システムを導入するときに考慮すべき点として，最も適切なものはどれか。,4,システムを誤作動させるデータを無害化する機能をもつライブラリを使用する。,パターンファイルの頻繁な更新だけでなく，ヒューリスティックなど別の手段を組み合わせる。,本人のディジタル証明書を信頼できる第三者機関に発行してもらう。,本人を誤って拒否する確率と他人を誤って許可する確率の双方を勘案して装置を調整する。,平成26年春期 午前問45
PCへの侵入に成功したマルウェアがインターネット上の指令サーバと通信を行う場合に，宛先ポートとしてTCPポート番号80が多く使用される理由はどれか。,3,DNSのゾーン転送に使用されるので，通信がファイアウォールで許可されている可能性が高い。,WebサイトのHTTPS通信での閲覧に使用されることから，侵入検知システムで検知される可能性が低い。,Webサイトの閲覧に使用されることから，通信がファイアウォールで許可されている可能性が高い。,ドメイン名の名前解決に使用されるので，侵入検知システムで検知される可能性が低い。,平成26年春期 午前問44
企業内ネットワークやサーバに侵入するために攻撃者が組み込むものはどれか。,4,シンクライアントエージェント,ストリクトルーティング,ディジタルフォレンジックス,バックドア,平成26年春期 午前問43
パスワードを用いて利用者を認証する方法のうち，適切なものはどれか。,3,パスワードに対応する利用者IDのハッシュ値を登録しておき，認証時に入力されたパスワードをハッシュ関数で変換して比較する。,パスワードに対応する利用者IDのハッシュ値を登録しておき，認証時に入力された利用者IDをハッシュ関数で変換して比較する。,パスワードをハッシュ値に変換して登録しておき，認証時に入力されたパスワードをハッシュ関数で変換して比較する。,パスワードをハッシュ値に変換して登録しておき，認証時に入力された利用者IDをハッシュ関数で変換して比較する。,平成26年春期 午前問42
緊急事態を装って組織内部の人間からパスワードや機密情報を入手する行為は，どれに分類されるか。,1,ソーシャルエンジニアリング,トロイの木馬,パスワードクラック,踏み台攻撃,平成26年春期 午前問41
会社や団体が，自組織の従業員に貸与するスマートフォンに対して，セキュリティポリシに従った一元的な設定をしたり，業務アプリケーションを配信したりして，スマートフォンの利用状況などを一元管理する仕組みはどれか。,4,BYOD(Bring Your Own Device),ECM(Enterprise Contents Management),LTE(Long Term Evolution),MDM(Mobile Device Management),平成26年春期 午前問40
情報セキュリティにおける"完全性"を脅かす攻撃はどれか。,1,Webページの改ざん,システム内に保管されているデータの不正コピー,システムを過負荷状態にするDoS攻撃,通信内容の盗聴,平成26年春期 午前問39
ICカードとPINを用いた利用者認証における適切な運用はどれか。,4,ICカードによって個々の利用者を識別できるので，管理負荷を軽減するために全利用者に共通のPINを設定する。,ICカードの表面に刻印してある数字情報を組み合わせて，PINを設定する。,ICカード紛失時には，新たなICカードを発行し，PINを再設定した後で，紛失したICカードの失効処理を行う。,ICカードを配送する場合には，PINを同封せず，別経路で利用者に知らせる。,平成26年春期 午前問38
PKI(公開鍵基盤)の認証局が果たす役割はどれか。,3,共通鍵を生成する。,公開鍵を利用しデータの暗号化を行う。,失効したディジタル証明書の一覧を発行する。,データが改ざんされていないことを検証する。,平成26年春期 午前問37
メッセージ認証符号におけるメッセージダイジェストの利用目的はどれか。,1,メッセージが改ざんされていないことを確認する。,メッセージの暗号化方式を確認する。,メッセージの概要を確認する。,メッセージの秘匿性を確保する。,平成26年春期 午前問36
IPv4で192.168.30.32/28のネットワークに接続可能なホストの最大数はどれか。,1,14,16,28,30,平成26年春期 午前問35
IPネットワークにおいて，ICMPのエコー要求，エコー応答，到達不能メッセージなどによって，通信相手との接続性を確認するコマンドはどれか。,4,arp,echo,ipconfig,ping,平成26年春期 午前問34
インターネットにおける電子メールの規約で，ヘッダフィールドの拡張を行い，テキストだけでなく，音声，画像なども扱えるようにしたものはどれか。,3,HTML,MHS,MIME,SMTP,平成26年春期 午前問33
IPv6アドレスの特徴として，適切なものはどれか。,4,アドレス長は96ビットである。,全てグローバルアドレスである。,全てのIPv6アドレスとIPv4アドレスを，1対1に対応付けることができる。,複数のアドレス表記法があり，その一つは，アドレスの16進数表記を4文字(16ビット)ずつコロン":"で区切る方法である。,平成26年春期 午前問32
TCP/IPネットワークでDNSが果たす役割はどれか。,4,PCやプリンタなどからのIPアドレス付与の要求に対し，サーバに登録してあるIPアドレスの中から使用されていないIPアドレスを割り当てる。,サーバにあるプログラムを，サーバのIPアドレスを意識することなく，プログラム名の指定だけで呼び出すようにする。,社内のプライベートIPアドレスをグローバルIPアドレスに変換し，インターネットへのアクセスを可能にする。,ドメイン名やホスト名などとIPアドレスとを対応付ける。,平成26年春期 午前問31
OSI基本参照モデルの各層で中継する装置を，物理層で中継する装置，データリンク層で中継する装置，ネットワーク層で中継する装置の順に並べたものはどれか。,3,ブリッジ，リピータ，ルータ,ブリッジ，ルータ，リピータ,リピータ，ブリッジ，ルータ,リピータ，ルータ，ブリッジ,平成26年春期 午前問30
トランザクションが，データベースに対する更新処理を完全に行なうか，全く処理しなかったのように取り消すか，のどちらかの結果になることを保証する特性はどれか。,2,一貫性(consistency),原子性(atomicity),耐久性(durability),独立性(isolation),平成26年春期 午前問29
関係データベースの操作のうち，射影(projection)の説明として，適切なものはどれか。,3,ある表の照会結果と，別の表の照会結果を合わせて一つの表にする。,表の中から特定の条件に合致した行を取り出す。,表の中から特定の列だけを取り出す。,二つ以上の表の組から条件に合致した組同士を合わせて新しい表を作り出す。,平成26年春期 午前問27
SQL文を実行する際に，効率が良いと考えられるアクセス経路を選択する関係データベース管理システム(RDBMS)の機能はどれか。,1,オプティマイザ,ガーベジコレクション,クラスタリング,マージソート,平成26年春期 午前問25
アニメーションの作成過程で，センサやビデオカメラなどを用いて人間や動物の自然な動きを取り込む技法はどれか。,3,キーフレーム法,ピクセルシェーダ,モーションキャプチャ,モーフィング,平成26年春期 午前問24
ヒューマンインタフェースの機能のうち，定型的な作業を頻繁に行う利用者の操作数を少なくする目的で用いるものはどれか。,1,一連のコマンドをひとまとめにしたマクロ機能,最後の画面でまとめて入力エラーを表示する機能,全工程のうち，現在どこまで進んでいるかを表示する機能,操作を誤ったときに前の状態に戻すことができる機能,平成26年春期 午前問23
フラッシュメモリに関する記述として，適切なものはどれか。,4,高速に書換えができ，CPUのキャッシュメモリなどに用いられる。,紫外線で全内容の消去ができる。,周期的にデータの再書込みが必要である。,ブロック単位で電気的に内容の消去ができる。,平成26年春期 午前問21
メモリセルにフリップフロップ回路を利用したものはどれか。,4,DRAM,EEPROM,SDRAM,SRAM,平成26年春期 午前問20
静的テストツールの機能に分類されるものはどれか。,1,ソースコードを解析して，プログラムの誤りを検出する。,テスト対象モジュールに必要なドライバ又はスタブを生成する。,テストによって実行した経路から網羅度を算出する。,プログラムの特定の経路をテストするためのデータを生成する。,平成26年春期 午前問19
コンパイラにおける最適化の説明として，適切なものはどれか。,3,オブジェクトコードを生成する代わりに，インタプリタ用の中間コードを生成する。,コンパイルを実施するコンピュータとは異なるアーキテクチャをもったコンピュータで動作するオブジェクトコードを生成する。,プログラムコードを解析して，実行時の処理効率を高めたオブジェクトコードを生成する。,プログラムの実行時に，呼び出されたルーチン名やある時点での変数の内容を表示させるようなオブジェクトコードを生成する。,平成26年春期 午前問18
データ管理ユーティリティの一つである，アーカイバの機能を説明したものはどれか。,2,磁気ディスクに，データを記録するための領域と，それを管理するための領域を作成する。,データのバックアップや配布のために，複数のファイルを一つにまとめたり，元に戻したりする。,不正使用や破壊からデータを守るファイルプロテクトや，不正コピー防止のためのコピープロテクトなどによって，データを保護する。,フラグメンテーションが発生した磁気ディスクで，ファイルを可能な限り連続した領域に再配置する。,平成26年春期 午前問17
ページング方式の仮想記憶を用いることによる効果はどれか。,2,システムダウンから復旧するときに，補助記憶のページを用いることによって，主記憶の内容が再現できる。,処理に必要なページを動的に主記憶に割り当てることによって，主記憶を効率的に使用できる。,頻繁に使用されるページを仮想記憶に置くことによって，アクセス速度を主記憶へのアクセスよりも速めることができる。,プログラムの大きさに応じて大小のページを使い分けることによって，主記憶を無駄なく使用できる。,平成26年春期 午前問16
フェールセーフ設計の考え方に該当するものはどれか。,1,作業範囲に人間が入ったことを検知するセンサが故障したとシステムが判断した場合，ロボットアームを強制的に停止させる。,数字入力フィールドに数字以外のものが入力された場合，システムから警告メッセージを出力して正しい入力を要求する。,専用回線に障害が発生した場合，すぐに公衆回線に切り替え，システムの処理機能が低下しても処理を続行する。,データ収集システムでデータ転送処理に障害が発生した場合，データ入力処理だけを行い，障害復旧時にまとめて転送する。,平成26年春期 午前問15
スループットに関する記述のうち，適切なものはどれか。,4,ジョブとジョブの実行の間にオペレータが介入することによってシステムに遊休時間が生じても，スループットには影響を及ぼさない。,スループットはCPU性能の指標であり，入出力の速度，オーバヘッド時間などによって影響を受けない。,多重プログラミングはターンアラウンドタイムの短縮に貢献するが，スループットの向上にはあまり役立たない。,プリンタへの出力を一時的に磁気ディスク装置へ保存するスプーリングは，スループットの向上に役立つ。,平成26年春期 午前問14
磁気ディスク装置の性能に関する記述のうち，適切なものはどれか。,1,アクセス時間は，回転速度を上げるか位置決め時間を短縮すると短くなる。,アクセス時間は，処理装置の前処理時間，データ転送後の後処理時間も含む。,記憶容量は，トラック当たりの記憶容量と1シリンダ当たりのトラック数だけで決まる。,データ転送速度は，回転速度と回転待ち時間で決まる。,平成26年春期 午前問12
メモリモジュールのパリティチェックの目的として，適切なものはどれか。,2,メモリモジュールに電源が供給されているかどうかを判定する。,読出し時に，エラーが発生したかどうかを検出する。,読出し時に，エラーを検出して自動的に訂正する。,読み出したデータを暗号化する。,平成26年春期 午前問11
主記憶のアクセス時間60ナノ秒，キャッシュメモリのアクセス時間10ナノ秒のシステムがある。キャッシュメモリを介して主記憶にアクセスする場合の実効アクセス時間が15ナノ秒であるとき，キャッシュメモリのヒット率は幾らか。,4,0.1,0.17,0.83,0.9,平成26年春期 午前問10
主記憶に記憶されたプログラムを，CPUが順に読み出しながら実行する方式はどれか。,4,DMA制御方式,アドレス指定方式,仮想記憶方式,プログラム格納方式,平成26年春期 午前問9
正規分布の説明として，適切なものはどれか。,3,故障確率に用いられ，バスタブのような形状をした連続確率分布のこと,全ての事象の起こる確率が等しい現象を表す確率分布のこと,平均値を中心とする左右対称で釣鐘状の連続確率分布のこと,離散的に発生し，発生確率は一定である離散確率分布のこと,平成26年春期 午前問4
最上位をパリティビットとする8ビット符号において，パリティビット以外の下位7ビットを得るためのビット演算はどれか。,3,16進数0FとのANDをとる。,16進数0FとのORをとる。,16進数7FとのANDをとる。,16進数FFとのXOR(排他的論理和)をとる。,平成26年春期 午前問2
次の10進小数のうち，2進数で表すと無限小数になるものはどれか。,1,0.05,0.125,0.375,0.5,平成26年春期 午前問1
