不正競争防止法において，営業秘密となる要件は，"秘密として管理されていること"，"事業活動に有用な技術上又は経営上の情報であること"ともう一つはどれか。,3,営業譲渡が可能なこと,期間が10年を超えないこと,公然と知られていないこと,特許出願をしていること,平成29年春期 午前問80
システム監査人が，監査報告書の原案について被監査部門と意見交換を行う目的として，最も適切なものはどれか。,3,監査依頼者に監査報告書を提出する前に，被監査部門に監査報告を行うため,監査報告書に記載する改善勧告について，被監査部門の責任者の承認を受けるため,監査報告書に記載する指摘事項及び改善勧告について，事実誤認がないことを確認するため,監査報告書の記載内容に関して調査が不足している事項を被監査部門に口頭で確認することによって，不足事項の追加調査に代えるため,平成29年春期 午前問58
ITサービスマネジメントの活動のうち，インシデント管理及びサービス要求管理として行うものはどれか。,4,サービスデスクに対する顧客満足度が合意したサービス目標を満たしているかどうかを評価し，改善の機会を特定するためにレビューする。,ディスクの空き容量がしきい値に近づいたので，対策を検討する。,プログラム変更を行った場合の影響度を調査する。,利用者からの障害報告を受けて，既知の誤りに該当するかどうかを照合する。,平成29年春期 午前問57
システムの開発部門と運用部門が別々に組織化されているとき，開発から運用への移行を円滑かつ効果的に進めるための方法のうち，適切なものはどれか。,3,運用テストの完了後に，開発部門がシステム仕様と運用方法を運用部門に説明する。,運用テストは，開発部門の支援を受けずに，運用部門だけで実施する。,運用部門からもシステムの運用に関わる要件の抽出に積極的に参加する。,開発部門は運用テストを実施して，運用マニュアルを作成し，運用部門に引き渡す。,平成29年春期 午前問56
サービスマネジメントシステムにおけるサービスの可用性はどれか。,1,あらかじめ合意された時点又は期間にわたって，要求された機能を実行するサービス又はサービスコンポーネントの能力,計画した活動が実行され，計画した結果が達成された程度,合意したレベルでサービスを継続的に提供するために，サービスに深刻な影響を及ぼす可能性のあるリスク及び事象を管理する能力,サービスの要求事項を満たし，サービスの設計，移行，提供及び改善のために，サービス提供者の活動及び資源を，指揮し，管理する，一連の能力及びプロセス,平成29年春期 午前問55
システム開発の進捗管理などに用いられるトレンドチャートの説明はどれか。,3,作業に関与する人と責任をマトリックス状に示したもの,作業日程の計画と実績を対比できるように帯状に示したもの,作業の進捗状況と，予算の消費状況を関連付けて折れ線で示したもの,作業の順序や相互関係をネットワーク状に示したもの,平成29年春期 午前問54
システム開発の見積方法の一つであるファンクションポイント法の説明として，適切なものはどれか。,3,開発規模が分かっていることを前提として，工数と工期を見積もる方法である。ビジネス分野に限らず，全分野に適用可能である。,過去に経験した類似のシステムについてのデータを基にして，システムの相違点を調べ，同じ部分については過去のデータを使い，異なった部分は経験から規模と工数を見積もる方法である。,システムの機能を入出力データ数やファイル数などによって定量的に計測し，複雑さとアプリケーションの特性による調整を行って，システム規模を見積もる方法である。,単位作業量の基準値を決めておき，作業項目を単位作業項目まで分解し，その積算で全体の作業量を見積もる方法である。,平成29年春期 午前問52
ソフトウェア開発の活動のうち，アジャイル開発においても重視されているリファクタリングはどれか。,2,ソフトウェアの品質を高めるために，2人のプログラマが協力して，一つのプログラムをコーディングする。,ソフトウェアの保守性を高めるために，外部仕様を変更することなく，プログラムの内部構造を変更する。,動作するソフトウェアを迅速に開発するために，テストケースを先に設定してから，プログラムをコーディングする。,利用者からのフィードバックを得るために，提供予定のソフトウェアの試作品を早期に作成する。,平成29年春期 午前問50
オブジェクト指向の基本概念の組合せとして，適切なものはどれか。,4,仮想化，構造化，投影，クラス,具体化，構造化，連続，クラス,正規化，カプセル化，分割，クラス,抽象化，カプセル化，継承，クラス,平成29年春期 午前問48
ソフトウェアのレビュー方法の説明のうち，インスペクションはどれか。,3,作成者を含めた複数人の関係者が参加して会議形式で行う。レビュー対象となる成果物を作成者が説明し，参加者が質問やコメントをする。,参加者が順番に司会者とレビュアになる。司会者の進行によって，レビュア全員が順番にコメントをし，全員が発言したら，司会者を交代して次のテーマに移る。,モデレータが全体のコーディネートを行い，参加者が明確な役割をもってチェックリストなどに基づいたコメントをし，正式な記録を残す。,レビュー対象となる成果物を複数のレビュアに配布又は回覧して，レビュアがコメントをする。,平成29年春期 午前問47
システムの外部設計を完了させるとき，顧客から承認を受けるものはどれか。,1,画面レイアウト,システム開発計画,物理データベース仕様,プログラム流れ図,平成29年春期 午前問46
Webサーバの検査におけるポートスキャナの利用目的はどれか。,1,Webサーバで稼働しているサービスを列挙して，不要なサービスが稼働していないことを確認する。,Webサーバの利用者IDの管理状況を運用者に確認して，情報セキュリティポリシからの逸脱がないことを調べる。,Webサーバへのアクセス履歴を解析して，不正利用を検出する。,正規の利用者IDでログインし，Webサーバのコンテンツを直接確認して，コンテンツの脆(ぜい)弱性を検出する。,平成29年春期 午前問45
電子メールの送信時に，送信者を送信側のメールサーバで認証するためのものはどれか。,4,APOP,POP3S,S/MIME,SMTP-AUTH,平成29年春期 午前問44
1台のファイアウォールによって，外部セグメント，DMZ，内部セグメントの三つのセグメントに分割されたネットワークがある。このネットワークにおいて，Webサーバと，重要なデータをもつデータベースサーバから成るシステムを使って，利用者向けのサービスをインターネットに公開する場合，インターネットからの不正アクセスから重要なデータを保護するためのサーバの設置方法のうち，最も適切なものはどれか。ここで，ファイアウォールでは，外部セグメントとDMZとの間及びDMZと内部セグメントとの間の通信は特定のプロトコルだけを許可し，外部セグメントと内部セグメントとの間の直接の通信は許可しないものとする。,3,WebサーバとデータベースサーバをDMZに設置する。,Webサーバとデータベースサーバを内部セグメントに設置する。,WebサーバをDMZに，データベースサーバを内部セグメントに設置する。,Webサーバを外部セグメントに，データベースサーバをDMZに設置する。,平成29年春期 午前問43
情報セキュリティにおけるタイムスタンプサービスの説明はどれか。,3,公式の記録において使われる全世界共通の日時情報を，暗号化通信を用いて安全に表示するWebサービス,指紋，声紋，静脈パターン，網膜，虹彩などの生体情報を，認証システムに登録した日時を用いて認証するサービス,電子データが，ある日時に確かに存在していたこと，及びその日時以降に改ざんされていないことを証明するサービス,ネットワーク上のPCやサーバの時計を合わせるための日時情報を途中で改ざんされないように通知するサービス,平成29年春期 午前問41
公開鍵暗号方式の暗号アルゴリズムはどれか。,3,AES,KCipher-2,RSA,SHA-256,平成29年春期 午前問40
経済産業省とIPAが策定した"サイバーセキュリティ経営ガイドライン(Ver1.1)"が，自社のセキュリティ対策に加えて，実施状況を確認すべきとしている対策はどれか。,3,自社が提供する商品及びサービスの個人利用者が行うセキュリティ対策,自社に出資している株主が行うセキュリティ対策,自社のサプライチェーンのビジネスパートナが行うセキュリティ対策,自社の事業所近隣の地域社会が行うセキュリティ対策,平成29年春期 午前問39
共通鍵暗号の鍵を見つけ出そうとする，ブルートフォース攻撃に該当するものはどれか。,1,一組みの平文と暗号文が与えられたとき，全ての鍵候補を一つずつ試して鍵を見つけ出す。,平文と暗号文と鍵の関係を表す代数式を手掛かりにして鍵を見つけ出す。,平文の一部分の情報と，暗号文の一部分の情報との間の統計的相関を手掛かりにして鍵を見つけ出す。,平文を一定量変化させたときの暗号文の変化から鍵を見つけ出す。,平成29年春期 午前問38
ディレクトリトラバーサル攻撃に該当するものはどれか。,2,攻撃者が，Webアプリケーションの入力データとしてデータベースへの命令文を構成するデータを入力し，管理者の意図していないSQL文を実行させる。,攻撃者が，パス名を使ってファイルを指定し，管理者の意図していないファイルを不正に閲覧する。,攻撃者が，利用者をWebサイトに誘導した上で，WebアプリケーションによるHTML出力のエスケープ処理の欠陥を悪用し，利用者のWebブラウザで悪意のあるスクリプトを実行させる。,セッションIDによってセッションが管理されるとき，攻撃者がログイン中の利用者のセッションIDを不正に取得し，その利用者になりすましてサーバにアクセスする。,平成29年春期 午前問37
攻撃者が用意したサーバXのIPアドレスが，A社WebサーバのFQDNに対応するIPアドレスとして，B社DNSキャッシュサーバに記憶された。この攻撃によって，意図せずサーバXに誘導されてしまう利用者はどれか。ここで，A社，B社の各従業員は自社のDNSキャッシュサーバを利用して名前解決を行う。,2,A社WebサーバにアクセスしようとするA社従業員,A社WebサーバにアクセスしようとするB社従業員,B社WebサーバにアクセスしようとするA社従業員,B社WebサーバにアクセスしようとするB社従業員,平成29年春期 午前問36
OpenFlowを使ったSDN(Software-Defined Networking)の説明として，適切なものはどれか。,3,RFIDを用いるIoT(Internet of Things)技術の一つであり，物流ネットワークを最適化するためのソフトウェアアーキテクチャ,音楽や動画，オンラインゲームなどの様々なソフトウェアコンテンツをインターネット経由で効率的に配信するために開発された，ネットワーク上のサーバの最適配置手法,データ転送と経路制御の機能を論理的に分離し，データ転送に特化したネットワーク機器とソフトウェアによる経路制御の組合せで実現するネットワーク技術,データフロー図やアクティビティ図などを活用して，業務プロセスの問題点を発見し改善を行うための，業務分析と可視化ソフトウェアの技術,平成29年春期 午前問35
IPv4アドレス 128.0.0.0 を含むアドレスクラスはどれか。,2,クラスA,クラスB,クラスC,クラスD,平成29年春期 午前問34
ルータがパケットの経路決定に用いる情報として，最も適切なものはどれか。,1,宛先IPアドレス,宛先MACアドレス,発信元IPアドレス,発信元MACアドレス,平成29年春期 午前問33
OSI基本参照モデルのトランスポート層以上が異なるLANシステム相互間でプロトコル変換を行う機器はどれか。,1,ゲートウェイ,ブリッジ,リピータ,ルータ,平成29年春期 午前問31
本社と工場との間を専用線で接続してデータを伝送するシステムがある。このシステムでは2000バイト／件の伝票データを2件ずつまとめ，それに400バイトのヘッダ情報を付加して送っている。伝票データは，1時間に平均100000件発生している。回線速度を1Mビット／秒としたとき，回線利用率はおよそ何%か。,3,6.1,44,49,53,平成29年春期 午前問30
ビッグデータの活用例として，大量のデータから統計学的手法などを用いて新たな知識(傾向やパターン)を見つけ出すプロセスはどれか。,3,データウェアハウス,データディクショナリ,データマイニング,メタデータ,平成29年春期 午前問29
分散データベースシステムにおいて，一連のトランザクション処理を行う複数サイトに更新処理が確定可能かどうかを問い合わせ，すべてのサイトが確定可能である場合，更新処理を確定する方式はどれか。,1,2相コミット,排他制御,ロールバック,ロールフォワード,平成29年春期 午前問28
RDBMSが二つの表を結合する方法のうち，ソートマージ結合法に関する記述はどれか。,4,一方の表の結合する列がインデックスに含まれている場合，もう一方の表の結合する列とインデックスの値で結合する。,一方の表の結合する列の値でハッシュ表を作成し，もう一方の表の結合する列と結合する。,一方の表の結合する列の値を順に読み出し，もう一方の表の結合する列と結合する。,結合する列の値で並べ替えたそれぞれの表の行を，先頭から順に結合する。,平成29年春期 午前問27
音声などのアナログデータをディジタル化するために用いられるPCMにおいて，音の信号を一定の周期でアナログ値のまま切り出す処理はどれか。,2,暗号化,標本化,符号化,量子化,平成29年春期 午前問24
顧客に，A～Zの英大文字26種類を用いた顧客コードを割り当てたい。現在の顧客総数は8000人であって，新規顧客が毎年2割ずつ増えていくものとする。3年後まで顧客全員にコードを割り当てられるようにするためには，顧客コードは少なくとも何桁必要か。,1,3,4,5,6,平成29年春期 午前問23
変形を感知するセンサを用いると，高架道路などの状態を監視してメンテナンスすることが可能である。この目的で使用されているセンサはどれか。,3,サーミスタ,ジャイロ,ひずみゲージ,ホール素子,平成29年春期 午前問21
分解能が8ビットのD/A変換器に，ディジタル値0を入力したときの出力電圧が0Vとなり，ディジタル値128を入力したときの出力電圧が2.5Vとなる場合，最下位の1ビットの変化による当該D/A変換器の出力電圧の変化は何Vか。,1,2.5／128,2.5／255,2.5／256,2.5／512,平成29年春期 午前問20
仮想記憶方式のコンピュータにおいて，実記憶に割り当てられるページ数は3とし，追い出すページを選ぶアルゴリズムは，FIFOとLRUの二つ考える。あるタスクのページアクセス順序が     1、 3、 2、 1、 4、 5、 2、 3、 4、 5     のとき，ページを置き換える回数の組合せとして適切なものはどれか。,2,FIFO = 3     LRU = 2,FIFO = 3     LRU = 6,FIFO = 4     LRU = 3,FIFO = 5     LRU = 4,平成29年春期 午前問19
ページング方式の説明として，適切なものはどれか。,1,仮想記憶空間と実記憶空間を，固定長の領域に区切り，対応づけて管理する方式,主記憶装置の異なった領域で実行できるように，プログラムを再配置する方式,主記憶装置を，同時に並行して読み書き可能な複数の領域に分ける方式,補助記憶装置に，複数のレコードをまとめて読み書きする方式,平成29年春期 午前問15
ベンチマークテストの説明として，適切なものはどれか。,2,監視・計測用のプログラムによってシステムの稼働状態や資源の状況を測定し，システム構成や応答性能のデータを得る。,使用目的に合わせて選定した標準的なプログラムを実行させ，その処理性能を測定する。,将来の予測を含めて評価する場合などに，モデルを作成して模擬的に実験するプログラムでシステムの性能を評価する。,プログラムを実際には実行せずに，机上でシステムの処理を解析して，個々の命令の出現回数や実行回数の予測値から処理時間を推定し，性能を評価する。,平成29年春期 午前問13
システムの性能を向上させるために，スケールアウトが適しているシステムはどれか。,2,一連の大きな処理を一括して実行しなければならないので，並列処理が困難な処理が中心のシステム,参照系のトランザクションが多いので，複数のサーバで分散処理を行っているシステム,データを追加するトランザクションが多いので，データの整合性を取るためのオーバヘッドを小さくしなければならないシステム,同一のマスタデータベースがシステム内に複数配置されているので，マスタを更新する際にはデータベース間で整合性を保持しなければならないシステム,平成29年春期 午前問12
4Tバイトのデータを格納できるようにRAID1の外部記憶装置を構成するとき，フォーマット後の記憶容量が1Tバイトの磁気記憶装置は少なくとも何台必要か。,4,4,5,6,8,平成29年春期 午前問11
USB3.0の説明として，適切なものはどれか。,4,1クロックで2ビットの情報を伝送する4対の信号線を使用し，最大1Gビット／秒のスループットをもつインタフェースである。,PCと周辺機器とを接続するATA仕様をシリアル化したものである。,音声，映像などに適したアイソクロナス転送を採用しており，ブロードキャスト転送モードをもつシリアルインタフェースである。,スーパースピードと呼ばれる5Gビット／秒のデータ転送モードをもつシリアルインタフェースである。,平成29年春期 午前問10
キャッシュの書込み方式には，ライトスルー方式とライトバック方式がある。ライトバック方式を使用する目的として，適切なものはどれか。,4,キャッシュと主記憶の一貫性(コヒーレンシ)を保ちながら，書込みを行う。,キャッシュミスが発生したときに，キャッシュの内容の主記憶への書き戻しを不要にする。,個々のプロセッサがそれぞれのキャッシュをもつマルチプロセッサシステムにおいて，キャッシュ管理をライトスルー方式よりも簡単な回路構成で実現する。,プロセッサから主記憶への書込み頻度を減らす。,平成29年春期 午前問9
顧客番号をキーとして顧客データを検索する場合，2分探索を使用するのが適しているものはどれか。,3,顧客番号から求めたハッシュ値が指し示す位置に配置されているデータ構造,顧客番号に関係なく，ランダムに配置されているデータ構造,顧客番号の昇順に配置されているデータ構造,顧客番号をセルに格納し，セルのアドレス順に配置されているデータ構造,平成29年春期 午前問7
関数 f(x，y)が次のように定義されているとき，f(775，527)の値は幾らか。ここで，x mod yはxをyで割った余りを返す。     f(x，y): if y = 0 then return x else return f(y，x mod y),2,0,31,248,527,平成29年春期 午前問6
データ構造の一つであるリストは，配列を用いて実現する場合と，ポインタを用いて実現する場合とがある。配列を用いて実現する場合の特徴はどれか。ここで，配列を用いたリストは，配列に要素を連続して格納することによって構成し，ポインタを用いたリストは，要素から次の要素へポインタで連結することによって構成するものとする。,1,位置を指定して，任意のデータに直接アクセスすることができる。,並んでいるデータの先頭に任意のデータを効率的に挿入することができる。,任意のデータの参照は効率的ではないが，削除や挿入の操作を効率的に行える。,任意のデータを別の位置に移動する場合，隣接するデータを移動せずにできる。,平成29年春期 午前問4
XとYの否定論理積 X NAND Yは，NOT(X AND Y)として定義される。X OR YをNANDだけを使って表した論理式はどれか。,2,((X NAND Y) NAND X) NAND Y,(X NAND X) NAND (Y NAND Y),(X NAND Y) NAND (X NAND Y),X NAND (Y NAND (X NAND Y)),平成29年春期 午前問3
0以外の数値を浮動小数点表示で表現する場合，仮数部の最上位桁が0以外になるように，桁合わせする操作はどれか。ここで，仮数部の表現方法は，絶対値表現とする。,4,切上げ,切捨て,桁上げ,正規化,平成29年春期 午前問2
集合A，B，Cを使った等式のうち，集合A，B，Cの内容によらず常に成立する等式はどれか。ここで，∪は和集合，∩は積集合を示す。,4,(A∪B)∩(A∩C) ＝ B∩(A∪C),(A∪B)∩C ＝ (A∪C)∩(B∪C),(A∩C)∪(B∩A) ＝ (A∩B)∪(B∩C),(A∩C)∪(B∩C) ＝ (A∪B)∩C,平成29年春期 午前問1
