企業経営におけるニッチ戦略はどれか。,2,キャッシュフローの重視,市場の特定化,垂直統合,リードタイムの短縮,平成22年春期 午前問69
要件定義の段階で行う作業はどれか。,1,新たに構築する業務とシステムの仕様を明確化し，システム化範囲を明示する。,顧客が記述したニーズに合ったソフトウェアを開発する。,事業の目的，目標を達成するために必要なシステム化の方針を立案する。,ソフトウェア製品の運用及び利用者に対する運用支援を行う。,平成22年春期 午前問66
情報化に関する費用のうち，ランニングコストに該当するものはどれか。,1,サーバなど情報機器の保守費用,情報システム戦略立案のコンサルティング費用,ソフトウェアパッケージの導入費用,要件定義を行うシステムエンジニアの費用,平成22年春期 午前問65
利用者が，インターネットを経由してサービスプロバイダ側のシステムに接続し，サービスプロバイダが提供するアプリケーションの必要な機能だけを必要なときにオンラインで利用するものはどれか。,2,ERP,SaaS,SCM,XBRL,平成22年春期 午前問64
ビジネスプロセスを根本的に考え直し，抜本的にデザインし直すことによって，企業のコスト，品質，サービス，スピードなどのパフォーマンスを劇的に改善するものはどれか。,4,アライアンス,コアコンピタンス,ゴーイングコンサーン,リエンジニアリング,平成22年春期 午前問62
BPOを説明したものはどれか。,3,自社ではサーバを所有せずに，通信事業者などが保有するサーバの処理能力や記憶容量の一部を借りてシステムを運用することである。,自社ではソフトウェアを所有せずに，外部の専門業者が提供するソフトウェアの機能をネットワーク経由で活用することである。,自社の管理部門やコールセンタなど特定部門の業務プロセス全般を，業務システムの運用などと一体として外部の専門業者に委託することである。,自社よりも人件費の安い派遣会社の社員を活用することで，ソフトウェア開発の費用を低減させることである。,平成22年春期 午前問61
内部統制の観点から，組織内の相互牽(けん)制の仕組みで，データのインテグリティが確保できる体制はどれか。,4,業務ニーズにそった効率の良いデータ入力システムを実現するため，情報システム部門がデータ入力システムを開発してデータ入力する。,情報システム部門の担当者は，その経験を生かし，システム開発においてデータの整合性が保てるように，長期間，同一部署に配置する。,情報システム部門の要員が他部門に異動する場合は，関連する資料をもたせ，システムトラブルなどの緊急時に戦力となるようにする。,情報システム部門は，データを入力する利用部門からの独立を保ち，利用部門がデータの正確性を維持できるようにする。,平成22年春期 午前問60
マスタファイル管理に関するシステム監査項目のうち，可用性に該当するものはどれか。,1,マスタファイルが置かれているサーバを二重化し，耐障害性の向上を図っていること,マスタファイルのデータを複数件まとめて検索・加工するための機能が，システムに盛り込まれていること,マスタファイルのメンテナンスは，特権アカウントを付与された者だけに許されていること,マスタファイルへのデータ入力チェック機能が，システムに盛り込まれていること,平成22年春期 午前問59
システム監査人の独立性が保たれている状況はどれか。,2,営業部門の要員を監査チームのメンバに任命し，営業部門における個人情報保護対策についての監査を行わせる。,監査法人からシステム監査人を採用して内部監査人に位置付け，社内の業務システム開発についての監査を行わせる。,システム部門の要員を監査部門に異動させ，システム部門に所属していたときに開発に参加したシステムの保守についての監査を担当させる。,社内の業務システム運用を委託しているITベンダの監査部門に依頼し，社内の業務システム運用についての外部監査を担当させる。,平成22年春期 午前問58
システム監査規程の最終的な承認者はだれか。,2,監査対象システムの利用部門の長,経営者,情報システム部門の長,被監査部門の長,平成22年春期 午前問57
次の条件でITサービスを提供している。SLAを満たすためには，サービス時間帯中の停止時間は1か月に最大で何時間以内であればよいか。ここで，1か月の営業日は30日とする。     〔SLAの条件〕     ・サービス時間帯は営業日の午前6時から翌日午前1時まで。     ・可用性 99.5% 以上とすること。,2,1,2,3,4,平成22年春期 午前問56
ITサービスマネジメントにおいて，インシデント管理の対象となるものはどれか。,3,ITサービスの新人への教育依頼,ITサービスやシステムの機能，使い方に対する問合せ,アプリケーションの応答の大幅な遅延,新設営業所へのITサービス提供要求,平成22年春期 午前問54
コンピュータをLAN経由で起動させる機能をWake on LAN(WOL)という。この機能を利用することによって効率よく行えるものはどれか。,1,遠隔地にあるPCのソフトウェア保守,システム誤動作の検知,トラフィック状況の管理,不正アクセスの監視,平成22年春期 午前問53
ソフトウェアの品質特性の定義において，あるコンピュータ用に作成したプログラムを別のアーキテクチャのコンピュータで動作できるようにすることの容易さを表す特性はどれか。,1,移植性(Portability),使用性(Usability),相互運用性(Interoperability),変更性(Changeability),平成22年春期 午前問52
プロトタイプを1回作成するごとに未確定な仕様の50%が確定するとき，プロトタイプ開始時点で未確定だった仕様の90%以上を確定させるには，プロトタイプを何回作成する必要があるか。,4,1,2,3,4,平成22年春期 午前問50
プログラムからUMLのクラス図を生成することは何と呼ばれるか。,4,バックトラッキング,フォワードエンジニアリング,リエンジニアリング,リバースエンジニアリング,平成22年春期 午前問49
設計するときに，状態遷移図を用いることが適切なシステムはどれか。,4,月末及び決算時の棚卸資産を集計処理する在庫棚卸システム,システム資源の稼働状況を計測し，レポートとして出力するシステム資源稼働状況計測システム,水道の検針データから料金を計算する水道料金計算システム,設置したセンサの情報から，温室内の環境を最適に保つ温室制御システム,平成22年春期 午前問48
オブジェクト指向におけるクラス間の関係のうち，適切なものはどれか。,2,クラス間の関連は，二つのクラス間でだけ定義できる。,サブクラスではスーパクラスの操作を再定義することができる。,サブクラスのインスタンスが，スーパクラスで定義されている操作を実行するときは，スーパクラスのインスタンスに操作を依頼する。,二つのクラスに集約の関係があるときには，集約オブジェクトは部品オブジェクトの属性と操作を共有する。,平成22年春期 午前問47
WAF(Web Application Firewall)を利用する目的はどれか。,1,Webサーバ及びアプリケーションに起因する脆(ぜい)弱性への攻撃を遮断する。,Webサーバ内でワームの侵入を検知し，ワームの自動駆除を行う。,Webサーバのコンテンツ開発の結合テスト時にアプリケーションの脆弱性や不整合を検知する。,Webサーバのセキュリティホールを発見し，OSのセキュリティパッチを適用する。,平成22年春期 午前問44
ファイルの属性情報として，読取り，書込み，実行の権限を独立に設定できるOSがある。この3種類の権限は，それぞれに1ビットを使って許可，不許可を設定する。この3ビットを8進数表現0～7の数字で設定するとき，次の試行結果から考えて，適切なものはどれか。     〔試行結果〕     ①0を設定したら，読取り，書込み，実行ができなくなってしまった。     ②3を設定したら，読取りと書込みはできたが，実行ができなかった。     ③7を設定したら，読取り，書込み，実行ができるようになった。,2,2を設定すると，読取りと実行ができる。,4を設定すると，実行だけができる。,5を設定すると，書込みだけができる。,6を設定すると，読取りと書込みができる。,平成22年春期 午前問43
公開鍵暗号方式に関する記述として，適切なものはどれか。,2,AESなどの暗号方式がある。,RSAや楕円(だえん)曲線暗号などの暗号方式がある。,暗号化鍵と復号鍵が同一である。,共通鍵の配送が必要である。,平成22年春期 午前問42
ディジタル署名付きのメッセージをメールで受信した。受信したメッセージのディジタル署名を検証することによって，確認できることはどれか。,3,メールが，不正中継されていないこと,メールが，漏えいしていないこと,メッセージが，改ざんされていないこと,メッセージが，特定の日時に再送信されていないこと,平成22年春期 午前問40
Webサーバにおいて，クライアントからの要求に応じてアプリケーションプログラムを実行して，その結果をブラウザに返すなどのインタラクティブなページを実現するために，Webサーバと外部プログラムを連携させる仕組みはどれか。,1,CGI,HTML,MIME,URL,平成22年春期 午前問39
クラスCのプライベートIPアドレスとして利用できる範囲はどれか。,4,10.0.0.0～10.255.255.255,128.0.0.0～128.255.255.255,172.16.0.0～172.31.255.255,192.168.0.0～192.168.255.255,平成22年春期 午前問38
TCP/IP環境において，タイムサーバの時刻を基に複数のコンピュータの時刻を同期させるプロトコルはどれか。,3,FTP,NNTP,NTP,RTP,平成22年春期 午前問37
インターネット接続用ルータのNAT機能の説明として，適切なものはどれか。,4,インターネットへのアクセスをキャッシュしておくことによって，その後に同じIPアドレスのサイトへアクセスする場合，表示を高速化できる機能である。,通信中のIPパケットから特定のビットパターンを検出する機能である。,特定の端末あてのIPパケットだけを通過させる機能である。,プライベートIPアドレスとグローバルIPアドレスを相互に変換する機能である。,平成22年春期 午前問36
企業の様々な活動を介して得られた大量のデータを整理・統合して蓄積しておき，意思決定支援などに利用するものはどれか。,2,データアドミニストレーション,データウェアハウス,データディクショナリ,データマッピング,平成22年春期 午前問33
DBMS において，同じデータを複数のプログラムが同時に更新しようとしたときに，データの矛盾が起きないようにするための仕組みはどれか。,3,アクセス権限,機密保護,排他制御,リカバリ制御,平成22年春期 午前問32
関係データベースの説明として，適切なものはどれか。,2,属性単位に，属性値とその値をもつレコード格納位置を組にして表現する。索引として利用される。,データを表として表現する。表間は相互の表中の列の値を用いて関連付けられる。,レコード間の関係を，ポインタを用いたデータ構造で表現する。木構造の表現に制限される。,レコード間の関係を，リンクを用いたデータ構造で表現する。木構造や網構造も表現できる。,平成22年春期 午前問29
画像処理技術の一つで，モデリングされた物体の表面に柄や模様などの２次元画像を張り付ける技法はどれか。,2,アンチエイリアシング,テクスチャマッピング,ブレンディング,レイトレーシング,平成22年春期 午前問28
ビットマップフォントよりも，アウトラインフォントの利用が適しているケースはどれか。,4,英数字だけでなく，漢字も表示する。,各文字の幅を一定にして表示する。,画面上にできるだけ高速に表示する。,任意の倍率で文字を拡大して表示する。,平成22年春期 午前問27
二つの安定状態をもつ回路で，SRAMの記憶セルに使用される順序回路の基本構成要素はどれか。,4,ANDゲート,加算器,キャパシタ,フリップフロップ,平成22年春期 午前問25
フラッシュメモリの説明として，適切なものはどれか。,3,1回だけ電気的に書込みができる。,一定時間内に再書込み(リフレッシュ動作)を行う。,書込み，消去とも電気的に行い，一括又はブロック単位で消去する。,書込みは電気的に行い，消去は紫外線によって行う。,平成22年春期 午前問24
UNIXの階層的ファイルシステムにおいて、アカウントをもつ一般の利用者がファイルの保存などに使う階層で最上位のものはどれか。,3,カレントディレクトリ,デスクトップディレクトリ,ホームディレクトリ,ルートディレクトリ,平成22年春期 午前問21
仮想記憶を用いたコンピュータでのアプリケーション利用に関する記述のうち，適切なものはどれか。,3,アプリケーションには，仮想記憶を利用するためのモジュールを組み込んでおく必要がある。,仮想記憶は，磁気ディスクにインストールされたアプリケーションだけが利用できる。,仮想記憶を使用していても主記憶が少ないと，アプリケーション利用時にページフォールトが多発してシステムのスループットは低下する。,仮想記憶を利用するためには，個々のアプリケーションで仮想記憶を使用するという設定が必要である。,平成22年春期 午前問20
システム全体のスループットを高めるため，主記憶装置と低速の出力装置とのデータ転送を，高速の補助記憶装置を介して行う方式はどれか。,1,スプーリング,スワッピング,ブロッキング,ページング,平成22年春期 午前問19
エンジン制御，ハードディスク制御などの制御系ハードリアルタイムシステムでリアルタイム OS を活用する理由はどれか。,2,ウイルス侵入の防御のためにメモリ保護機構が必要だから。,定められた時間内にイベントに対応した処理を完了させる機構が必要だから。,システム全体のスループットを向上させる機構が必要だから。,複数の独立したプログラムを並行して動かす機構が必要だから。,平成22年春期 午前問18
あるオンラインリアルタイムシステムでは，20件／秒の頻度でトランザクションが発生する。このトランザクションはCPU処理と4回の磁気ディスク入出力処理を経て終了する。磁気ディスク装置の入出力処理時間は40ミリ秒／回であり，CPU処理時間は十分に短いものとする。それぞれの磁気ディスク装置が均等にアクセスされるとしたとき，このトランザクション処理には最低何台の磁気ディスク装置が必要か。,2,3,4,5,6,平成22年春期 午前問17
一つのジョブについての，ターンアラウンドタイム，CPU時間，入出力時間及び処理待ち時間の四つの時間の関係を表わす式はどれか。ここで，ほかのオーバーヘッド時間は考慮しないものとする。,3,処理待ち時間＝CPU時間＋ターンアラウンドタイム＋入出力時間,処理待ち時間＝CPU時間－ターンアラウンドタイム＋入出力時間,処理待ち時間＝ターンアラウンドタイム －CPU時間－入出力時間,処理待ち時間＝入出力時間－CPU時間－ターンアラウンドタイム,平成22年春期 午前問15
自発光型で，発光ダイオードの一種に分類される表示装置はどれか。,4,CRTディスプレイ,液晶ディスプレイ,プラズマディスプレイ,有機ELディスプレイ,平成22年春期 午前問13
回転数が4200回／分で，平均位置決め時間が5ミリ秒の磁気ディスク装置がある。この磁気ディスク装置の平均待ち時間は約何ミリ秒か。ここで，平均待ち時間は，平均位置決め時間と平均回転待ち時間の合計である。,3,7,10,12,14,平成22年春期 午前問12
命令キャッシュを効果的に使用できるプログラムの作成方法はどれか。,3,アクセスする作業領域部分をまとめる。,作業領域全体を平均的にアクセスするように作成する。,頻繁に実行される処理部分をまとめる。,プログラム全体を平均的に実行するように作成する。,平成22年春期 午前問11
あるプログラムAの処理が終了していないときに，別のプログラムから再度呼び出されても正しく動作するとき，このプログラムAの性質を何と呼ぶか。,3,再帰的,再使用可能,再入可能,再配置可能,平成22年春期 午前問8
Java VMが稼働している環境だけがあれば，WebブラウザやWebサーバがなくても動作するプログラムはどれか。,2,JavaScript,Javaアプリケーション,Javaアプレット,Javaサーブレット,平成22年春期 午前問7
ハッシュ表探索において，同一のハッシュ値となる確率が最も低くなるのは，ハッシュ値がどの分布で近似されるときか。,2,2項分布,一様分布,正規分布,ポアソン分布,平成22年春期 午前問6
フィードバック制御の説明として、適切なものはどれか。,1,外乱による影響を検知してから修正動作を行う。,外乱に弱く，それらの影響を増幅させてしまう。,外乱を検知して，その影響が出ないように修正動作を行う。,外乱を予測して修正動作を行う。,平成22年春期 午前問4
A＝1，B＝3，C＝5，D＝4，E＝2 のとき，逆ポーランド表記法で表現された式 AB＋CDE／－* の演算結果はどれか。,3,-12,2,12,14,平成22年春期 午前問3
