“コンピュータ不正アクセス対策基準”に適合しているものはどれか。,4,監視効率を向上させるためにすべてのネットワークを相互接続する。,業務上必要な場合は，利用者 ID を個人間で共有して使用できる。,システム管理者が，すべての権限をもつ利用者 ID を常に使用できる。,組織のセキュリティ方針を文書化し，定期的に研修を開催する。,平成21年春期 午前問80
データベースシステムと業務アプリケーションが稼働しているサーバのOSのバージョンアップの案内が届いた。バージョンアップを行うか否かの判断のうち，適切なものはどれか。,4,業務アプリケーションは長期間使用しているが，データベースシステムは比較的新しいので，OSとデータベースシステムの相性をチェックしバージョンアップをする。,今回のバージョンアップに伴い現在使用しているOSはサポート終了となるので，すぐにバージョンアップをする。,データベースシステムは，OSのメーカが提供するデータベース管理機能を使っているのでトラブルはないと判断し，業務アプリケーションとOSの関係を調査し，問題がなければバージョンアップをする。,バージョンアップされたOSでのデータベースシステムの稼働を確認した後に，業務アプリケーションの稼働を確認し，問題がなければバージョンアップをする。,平成21年春期 午前問57
システムの信頼性を比較する目的で稼働率を測定するのに適切な時期はどれか。,1,システムの運用を開始した直後に発生したトラブルが解決されて安定してきた時期,システムの運用を開始した時,システムリリースの可否を判断する時期,長期間のシステム利用を経て，老朽化によるトラブルが増え始めた時期,平成21年春期 午前問56
一斉移行方式の特徴のうち，適切なものはどれか。,3,新旧システム間を接続するアプリケーションが必要となる。,新旧システムを並行させて運用し，ある時点で新システムに移行する。,新システムヘの移行時のトラブルの影響が大きい。,並行して稼働させるための運用コストが発生する。,平成21年春期 午前問55
ある商品のメーカ別の市場構成比を表すのに適切なグラフはどれか。,2,Zグラフ,帯グラフ,折れ線グラフ,レーダチャート,平成21年春期 午前問54
ソフトウェアの開発規模から開発工数を見積もる際に，必要な情報はどれか。,4,開発期間,開発要員数,工程ごとの工数配分比率,生産性,平成21年春期 午前問52
ある製品の開発に使用された組込みシステムの開発環境における維持管理に関する記述として，最も適切なものはどれか。,3,あまり使用されない開発環境においても，最新の開発環境に更新して維持管理すべきである。,一度製品化した後は，再度その開発環境を必要とすることはないので，開発環境を保持する必要はない。,開発環境は，使用頻度に関係なく，定期的に動作確認などを行って維持管理すべきである。,レンタル会社から借りた開発環境は，レンタル会社の責任でいつまでも保持される。,平成21年春期 午前問50
モデリングツールを使用して，本稼働中のデータベースシステムの定義情報からE-R図などで表現した設計書を生成する手法はどれか。,4,コンカレントエンジニアリング,ソーシャルエンジニアリング,フォワードエンジニアリング,リバースエンジニアリング,平成21年春期 午前問49
ソフトウェアのテスト工程において，バグ管理図を用いて，テストの進捗状況とソフトウェアの品質を判断したい。このときの考え方のうち，最も適切なものはどれか。,3,テスト工程の前半で予想以上にバグが検出され，スケジュールが遅れたので，スケジュールの見直しを行い，数日遅れでテスト終了の判断をした。,テスト項目がスケジュールどおりに消化されていれば，バグ摘出の累積件数が増加しなくても，ソフトウェアの品質は高いと判断できる。,テスト項目消化の累積件数，バグ摘出の累積件数及び未解決バグの件数の推移がすべて横ばいになった場合は，解決困難なバグに直面しているかどうかを確認する必要がある。,バグ摘出の累積件数の推移とテスト項目の未消化件数の推移から，テスト終了の時期をほぼ正確に予測できる。,平成21年春期 午前問48
オブジェクト指向の基本概念の組合せとして，適切なものはどれか。,4,仮想化，構造化，投影，クラス,具体化，構造化，連続，クラス,正規化，カプセル化，分割，クラス,抽象化，カプセル化，継承，クラス,平成21年春期 午前問47
E-R図の説明はどれか。,3,オブジェクト指向モデルを表現する図である。,時間や行動などに応じて，状態が変化する状況を表現する図である。,対象とする世界を実体と関連の二つの概念で表現する図である。,データの流れを視覚的に分かりやすく表現する図である。,平成21年春期 午前問46
システム開発におけるウォータフォールモデルの説明はどれか。,2,一度の開発ですべてを作るのではなく，基本的なシステムアーキテクチャの上に機能の優先度に応じて段階的に開発する。,開発工程を設計，実装，テストなどに分け，前の工程が完了してから，その成果物を使って次の工程を行う。,試作品を作り，利用者の要求をフィードバックして開発を進める。,複雑なソフトウェアを全部最初から作成しようとするのではなく，簡単な部分から分析，設計，実装，テストを繰り返し行い，徐々に拡大していく。,平成21年春期 午前問45
システム開発の最初の工程で行う作業として，適切なものはどれか。,2,各プログラムの内部構造を設計する。,現状の業務を分析し，システム要件を整理する。,サブシステムをプログラム単位まで分割し，各プログラムの詳細を設計する。,ユーザインタフェースを設計する。,平成21年春期 午前問44
生体認証システムを導入するときに考慮すべき点として，最も適切なものはどれか。,4,システムを誤作動させるデータを無害化する機能をもつライブラリを使用する。,パターンファイルの頻繁な更新だけでなく，ヒューリスティックなど別の手段を組み合わせる。,本人のディジタル証明書を信頼できる第三者機関に発行してもらう。,本人を誤って拒否する確率と他人を誤って許可する確率の双方を勘案して装置を調整する。,平成21年春期 午前問43
Webビーコンに該当するものはどれか。,4,PCとWeb サーバ自体の両方に被害を及ぼす悪意のあるスクリプトによる不正な手口,Webサイトからダウンロードされ，PC上で画像ファイルを消去するウイルス,Webサイトで用いるアプリケーションプログラムに潜在する誤り,Webページなどに小さい画像を埋め込み，利用者のアクセス動向などの情報を収集する仕組み,平成21年春期 午前問42
リスク移転を説明したものはどれか。,2,損失の発生率を低下させること,保険に加入するなど資金面での対策を講じること,リスクの原因を除去すること,リスクを扱いやすい単位に分解するか集約すること,平成21年春期 午前問41
IPアドレス 10.128.192.10 のアドレスクラスはどれか。,1,クラスA,クラスB,クラスC,クラスD,平成21年春期 午前問38
複数のLAN同士を，ネットワーク層で相互に接続するのに使用する装置はどれか。,4,ハブ,ブリッジ,リピータ,ルータ,平成21年春期 午前問37
1.5Mビット／秒の伝送路を用いて12Mバイトのデータを転送するために必要な伝送時間は何秒か。ここで，回線利用率を50% とする。,4,16,32,64,128,平成21年春期 午前問36
トランザクションTはチェックポイント取得後に完了し，その後にシステム障害が発生した。データベースをトランザクションTの終了直後の状態に戻すために用いられる復旧技法はどれか。ここで，チェックポイントのほかに，トランザクションログが利用できるものとする。,4,2相ロック,トランザクションスケジューリング,ロールバック,ロールフォワード,平成21年春期 午前問35
関係データベースの操作に関する記述のうち，適切なものはどれか。,1,結合は，二つ以上の表を連結して，一つの表を生成することをいう。,射影は，表の中から条件に合致した行を取り出すことをいう。,選択は，表の中から特定の列を取り出すことをいう。,挿入は，表に対して特定の列を挿入することをいう。,平成21年春期 午前問34
データベースサーバを利用したクライアントサーバシステムにおいて，大量のSQL文が発生することによってクライアントとサーバ間の通信負荷が問題となった。このときの解決策として，適切なものはどれか。,2,インデックスの見直し,ストアドプロシージャ機能の利用,データベースの再編成,動的SQLの利用,平成21年春期 午前問31
静止画データの圧縮符号化に関する国際標準はどれか。,3,BMP,GIF,JPEG,MPEG,平成21年春期 午前問30
ヒューマンインタフェース設計において，操作の一貫性向上を目的とするものはどれか。,3,Undo(元に戻す)機能によって，一つ前の操作状態に戻せるようにする。,ショートカットキーによって操作できるようにする。,どの画面においても操作ボタンの表示位置や形を同じにする。,利用者の操作に対応した処理の進行状況を表示する。,平成21年春期 午前問28
Webコンテンツのユーザビリティの説明として，適切なものはどれか。,4,障がい，年齢，性別，国籍などにかかわらず，だれもが使える設計をいう。,障がい者や高齢者がサービスを支障なく操作又は利用できる機能をいう。,障がい者や高齢者に負担を与えない設計をいう。,どれだけ利用者がストレスを感じずに，目標とする要求が達成できるかをいう。,平成21年春期 午前問27
GUIの部品の一つであるラジオボタンの用途として，適切なものはどれか。,3,幾つかの項目について，それぞれの項目を選択するかどうかを指定する。,幾つかの選択項目から一つを選ぶときに，選択項目にないものはテキストボックスに入力する。,互いに排他的な幾つかの選択項目から一つを選ぶ。,特定の項目を選択することによって表示される一覧形式の項目の中から一つを選ぶ。,平成21年春期 午前問26
OSIによるオープンソースソフトウェアの定義に従うとき，適切なものはどれか。,4,ある特定の業界向けに作成されたオープンソースソフトウェアは，ソースコードを公開する範囲をその業界に限定することができる。,オープンソースソフトウェアを改変し再配布する場合，元のソフトウェアと同じ配布条件となるように，同じライセンスを適用して配布する必要がある。,オープンソースソフトウェアを第三者が製品として再配布する場合，そのオープンソースソフトウェアの開発者は第三者に対してライセンス費を請求することができる。,社内での利用などのようにオープンソースソフトウェアを改変しても再配布しない場合，改変部分のソースコードを公開しなくてもよい。,平成21年春期 午前問23
キャッシュメモリと主記憶との間でブロックを置き換える方式にLRU方式がある。この方式で置換えの対象になるブロックはどれか。,2,一定時間参照されていないブロック,最後に参照されてから最も長い時間が経過したブロック,参照頻度の最も低いブロック,読み込んでから最も長い時間が経過したブロック,平成21年春期 午前問20
リアルタイムシステムをハードリアルタイムシステムとソフトリアルタイムシステムとに分類したとき，ハードリアルタイムシステムに該当するものはどれか。,2,Web配信システム,エアバッグ制御システム,座席予約システム,バンキングシステム,平成21年春期 午前問19
プログラムのCPU実行時間が300ミリ秒，入出力時間が600ミリ秒，その他のオーバヘッドが100ミリ秒の場合，ターンアラウンドタイムを半分に改善するには，入出力時間を現在の何倍にすればよいか。,1,1／6,1／4,1／3,1／2,平成21年春期 午前問18
システムの信頼性を表す指標であるRASのうち，可用性(Availability)を表す尺度はどれか。,1,稼働率(MTBF／(MTBF＋MTTR)),全運転時間(MTBF＋MTTR),平均故障間隔(MTBF),平均修理時間(MTTR),平成21年春期 午前問17
東京～大阪及び東京～名古屋がそれぞれ独立した通信回線で接続されている。東京～大阪の稼働率は 0.9，東京～名古屋の稼働率は 0.8 である。東京～大阪の稼働率を0.95 以上に改善するために，大阪～名古屋にバックアップ回線を新設することを計画している。新設される回線の稼働率は最低限幾ら必要か。,4,0.167,0.205,0.559,0.625,平成21年春期 午前問16
フォールトトレラントシステムの説明として，適切なものはどれか。,1,システムが部分的に故障しても，システム全体としては必要な機能を維持するシステム,地域的な災害などの発生に備えて，遠隔地に予備を用意しておくシステム,複数のプロセッサがネットワークを介して接続され，資源を共有するシステム,複数のプロセッサで一つのトランザクションを並行して処理し，結果を照合するシステム,平成21年春期 午前問15
プラズマディスプレイの説明として，適切なものはどれか。,1,ガス放電によって発生する光を利用して映像を表示する。,自身では発光しないので，バックライトを使って映像を表示する。,電極の間に有機化合物を挟んだ構造で，これに電気を通すと発光することを利用して映像を表示する。,電子銃から電子ビームを発射し，管面の蛍光体に当てて発光させ，文字や映像を表示する。,平成21年春期 午前問14
RAID1～5の各構成は，何に基づいて区別されるか。,3,構成する磁気ディスク装置のアクセス性能,コンピュータ本体とのインタフェースの違い,データ及び冗長ビットの記録方法と記録位置の組合せ,保証する信頼性のMTBF値,平成21年春期 午前問13
キャッシュメモリに関する記述のうち，適切なものはどれか。,1,書込み命令を実行したときに，キャッシュメモリと主記憶の両方を書き換える方式と，キャッシュメモリだけを書き換えておき，主記憶の書換えはキャッシュメモリから当該データが追い出されるときに行う方式とがある。,キャッシュメモリにヒットしない場合に割込みが生じ，プログラムによって主記憶からキャッシュメモリにデータが転送される。,キャッシュメモリは，実記憶と仮想記憶のメモリ容量の差を埋めるために採用される。,半導体メモリのアクセス速度の向上が著しいので，キャッシュメモリの必要性は減っている。,平成21年春期 午前問12
プロセッサにおけるパイプライン処理方式を説明したものはどれか。,3,単一の命令を基に，複数のデータに対して複数のプロセッサが同期をとりながら並列にそれぞれのデータを処理する方式,一つのプロセッサにおいて，単一の命令に対する実行時間をできるだけ短くする方式,一つのプロセッサにおいて，複数の命令を少しずつ段階をずらしながら同時実行する方式,複数のプロセッサが，それぞれ独自の命令を基に複数のデータを処理する方式,平成21年春期 午前問11
シングルチップマイコンの特徴として，最も適切なものはどれか。,4,PCのメインCPUに適している。,ROMは内蔵されているが，RAMは内蔵されていない。,高速処理システム又は大規模なシステムに適している。,入出力機能が内蔵されている。,平成21年春期 午前問10
平均命令実行時間が20ナノ秒のコンピュータがある。このコンピュータの性能は何MIPSか。,4,5,10,20,50,平成21年春期 午前問9
配列と比較した場合の連結リストの特徴に関する記述として，適切なものはどれか。,4,要素を更新する場合，ポインタを順番にたどるだけなので，処理時間は短い。,要素を削除する場合，削除した要素から後ろにあるすべての要素を前に移動するので，処理時間は長い。,要素を参照する場合，ランダムにアクセスできるので，処理時間は短い。,要素を挿入する場合，数個のポインタを書き換えるだけなので，処理時間は短い。,平成21年春期 午前問6
関数や手続を呼び出す際に，戻り番地や処理途中のデータを一時的に保存するのに適したデータ構造はどれか。,3,2分探索木,キュー,スタック,双方向連結リスト,平成21年春期 午前問5
文字列中で同じ文字が繰り返される場合，繰返し部分をその反復回数と文字の組に置き換えて文字列を短くする方法はどれか。,4,EBCDIC符号,巡回符号,ハフマン符号,ランレングス符号化,平成21年春期 午前問4
0000～4999のアドレスをもつハッシュ表があり，レコードのキー値からアドレスに変換するアルゴリズムとして基数変換法を用いる。キー値が55550のときのアドレスはどれか。ここで，基数変換法とは，キー値を11進数とみなし，10進数に変換した後，下4けたに対して0.5を乗じた結果(小数点以下は切捨て)をレコードのアドレスとする。,1,0260,2525,2775,4405,平成21年春期 午前問2
数値を2進数で格納するレジスタがある。このレジスタに正の整数xを設定した後，"レジスタの値を2ビット左にシフトして，xを加える"操作を行うと，レジスタの値はxの何倍になるか。ここで，あふれ(オーバフロー)は，発生しないものとする。,3,3,4,5,6,平成21年春期 午前問1
