IPv4にはなく，IPv6で追加・変更された仕様はどれか。,1,アドレス空間として128ビットを割り当てた。,サブネットマスクの導入によって，アドレス空間の有効利用を図った。,ネットワークアドレスとサブネットマスクの対によってIPアドレスを表現した。,プライベートアドレスの導入によって，IPアドレスの有効利用を図った。,平成27年秋期 午前問33
LANに接続されたPCに対して，そのIPアドレスをPCの起動時などに自動設定するために用いるプロトコルはどれか。,1,DHCP,DNS,FTP,PPP,平成27年秋期 午前問32
OSI基本参照モデルの第3層に位置し，通信の経路選択機能や中継機能を果たす層はどれか。,4,セション層,データリンク層,トランスポート層,ネットワーク層,平成27年秋期 午前問31
1.5Mビット／秒の伝送路を用いて12Mバイトのデータを転送するために必要な伝送時間は何秒か。ここで，伝送路の伝送効率を50%とする。,4,16,32,64,128,平成27年秋期 午前問30
ロックの両立性に関する記述のうち，適切なものはどれか。,2,トランザクションT1が共有ロックを獲得している資源に対して，トランザクションT2は共有ロックと専有ロックのどちらも獲得することができる。,トランザクションT1が共有ロックを獲得している資源に対して，トランザクションT2は共有ロックを獲得することはできるが，専有ロックを獲得することはできない。,トランザクションT1が専有ロックを獲得している資源に対して，トランザクションT2は専有ロックと共有ロックのどちらも獲得することができる。,トランザクションT1が専有ロックを獲得している資源に対して，トランザクションT2は専有ロックを獲得することはできるが，共有ロックを獲得することはできない。,平成27年秋期 午前問29
インデックス方式のうち，キー値を基にして格納位置を算出するとき，異なったキー値でも同一の算出結果となる可能性があるものはどれか。,3,B+木インデックス,転置インデックス,ハッシュインデックス,ビットマップインデックス,平成27年秋期 午前問26
DBMSにおいて，スキーマを決める機能はどれか。,3,機密保護機能,障害回復機能,定義機能,保全機能,平成27年秋期 午前問25
利用者が現在閲覧しているWebページに表示する，Webサイトのトップページからそのページまでの経路情報を何と呼ぶか。,4,サイトマップ,スクロールバー,ナビゲーションバー,パンくずリスト,平成27年秋期 午前問24
機械式接点の押しボタンスイッチを1回押したときに，押してから数ミリ秒の間，複数回のON，OFFが発生する現象はどれか。,3,サンプリング,シェアリング,チャタリング,バッファリング,平成27年秋期 午前問22
DRAMの特徴はどれか。,4,書込み及び消去を一括又はブロック単位で行う。,データを保持するためのリフレッシュ操作又はアクセス操作が不要である。,電源が遮断された状態でも，記憶した情報を保持することができる。,メモリセル構造が単純なので高集積化することができ，ビット単価を安くできる。,平成27年秋期 午前問21
オープンソースの統合開発環境であって，アプリケーション開発のためのソフトウェア及び支援ツール類をまとめたものはどれか。,1,Eclipse,Perl,PHP,Ruby,平成27年秋期 午前問20
仮想記憶管理のページ入替え方式のうち，最後に使われてからの経過時間が最も長いページを入れ替えるものはどれか。,4,FIFO,LFU,LIFO,LRU,平成27年秋期 午前問17
システム全体のスループットを高めるために，主記憶装置と低速の出力装置とのデータ転送を，高速の補助記憶装置を介して行う方式はどれか。,1,スプーリング,スワッピング,ブロッキング,ページング,平成27年秋期 午前問16
2台の処理装置から成るシステムがある。少なくともいずれか一方が正常に動作すればよいときの稼働率と，2台とも正常に動作しなければならないときの稼働率の差は幾らか。ここで，処理装置の稼働率はいずれも0.9とし，処理装置以外の要因は考慮しないものとする。,3,0.09,0.10,0.18,0.19,平成27年秋期 午前問15
MTBFとMTTRに関する記述として，適切なものはどれか。,4,エラーログや命令トレースの機能によって， MTTRは長くなる。,遠隔保守によって，システムのMTBFは短くなり， MTTRは長くなる。,システムを構成する装置の種類が多いほど，システムのMTBFは長くなる。,予防保守によって，システムのMTBFは長くなる。,平成27年秋期 午前問14
2層クライアントサーバシステムと比較した3層クライアントサーバシステムの特徴として，適切なものはどれか。,3,クライアント側で業務処理専用のミドルウェアを採用しているので，業務処理の追加・変更などがしやすい。,クライアント側で業務処理を行い，サーバ側ではデータベース処理に特化できるので，ハードウェア構成の自由度も高く，拡張性に優れている。,クライアント側の端末には，管理が容易で入出力のGUI処理だけを扱うシンクライアントを使用することができる。,クライアントとサーバ間でSQL文がやり取りされるので，データ伝送量をネットワークに合わせて最少化できる。,平成27年秋期 午前問13
500バイトのセクタ8個を1ブロックとして，ブロック単位でファイルの領域を割り当てて管理しているシステムがある。2000バイト及び9000バイトのファイルを保存するとき，これら二つのファイルに割り当てられるセクタ数の合計は幾らか。ここで，ディレクトリなどの管理情報が占めるセクタは考慮しないものとする。,4,22,26,28,32,平成27年秋期 午前問12
デバイスドライバの役割として，適切なものはどれか。,1,アプリケーションプログラムの要求に従って，ハードウェアを直接制御する。,実行を待っているタスクの中から，次に実行するタスクを決定する。,複数のウインドウの，画面上での表示状態を管理する。,利用者が入力するコマンド文字列を解釈して，対応するプログラムを起動する。,平成27年秋期 午前問11
キャッシュメモリをもつメモリシステムにおいて，平均メモリアクセス時間が増加する原因となるものはどれか。,2,キャッシュメモリへのアクセス時間の減少,ヒット率の低下,ミスペナルティの減少,ミス率の低下,平成27年秋期 午前問10
50MIPSのプロセッサの平均命令実行時間は幾らか。,1,20ナノ秒20ナノ秒,50ナノ秒,2マイクロ秒,5マイクロ秒,平成27年秋期 午前問9
自然数nに対して，次のように再帰的に定義される関数f(n)を考える。f(5)の値はどれか。     f(n)：if n ≦ 1 then return 1 else return n ＋ f(n － 1),3,6,9,15,25,平成27年秋期 午前問8
整列アルゴリズムの一つであるクイックソートの記述として，適切なものはどれか。,1,対象集合から基準となる要素を選び，これよりも大きい要素の集合と小さい要素の集合に分割する。この操作を繰り返すことで，整列を行う。,対象集合から最も小さい要素を順次取り出して，整列を行う。,対象集合から要素を順次取り出し，それまでに取り出した要素の集合に順序関係を保つよう挿入して，整列を行う。,隣り合う要素を比較し，逆順であれば交換して，整列を行う。,平成27年秋期 午前問7
ポインタを用いた線形リストの特徴のうち，適切なものはどれか。,4,先頭の要素を根としたn分木で，先頭以外の要素は全て先頭の要素の子である。,配列を用いた場合と比較して，2分探索を効率的に行うことが可能である。,ポインタから次の要素を求めるためにハッシュ関数を用いる。,ポインタによって指定されている要素の後ろに，新たな要素を追加する計算量は，要素の個数や位置によらず一定である。,平成27年秋期 午前問5
アナログ電圧をディジタル化した後に演算処理することの利点として，適切なものはどれか。,2,アナログからディジタルへの変換では誤差が発生しない。,演算結果が部品精度，温度変化及び外来雑音の影響を受けにくい。,数値演算において丸め誤差が発生することはない。,電圧が変化してから演算結果を得るまでの遅延時間が発生しない。,平成27年秋期 午前問4
関数f(x)は，引数も戻り値も実数型である。この関数を使った，①～⑤から成る手続を考える。手続の実行を開始してから②～⑤を十分に繰り返した後に，③で表示されるyの値に変化がなくなった。このとき成立する関係式はどれか。     ①:x←a     ②:y ← f(x)     ③:yの値を表示する。     ④:x ← y     ⑤:②に戻る。,4,f(a) ＝ y,f(y) ＝ 0,f(y) ＝ a,f(y) ＝ y,平成27年秋期 午前問3
10進数の演算式7÷32の結果を2進数で表したものはどれか。,3,0.001011,0.001101,0.00111,0.0111,平成27年秋期 午前問1
