“コンピュータ不正アクセス対策基準”に適合しているものはどれか。,4,監視効率を向上させるためにすべてのネットワークを相互接続する。,業務上必要な場合は，利用者 ID を個人間で共有して使用できる。,システム管理者が，すべての権限をもつ利用者 ID を常に使用できる。,組織のセキュリティ方針を文書化し，定期的に研修を開催する。,平成21年春期 午前問80
データベースシステムと業務アプリケーションが稼働しているサーバのOSのバージョンアップの案内が届いた。バージョンアップを行うか否かの判断のうち，適切なものはどれか。,4,業務アプリケーションは長期間使用しているが，データベースシステムは比較的新しいので，OSとデータベースシステムの相性をチェックしバージョンアップをする。,今回のバージョンアップに伴い現在使用しているOSはサポート終了となるので，すぐにバージョンアップをする。,データベースシステムは，OSのメーカが提供するデータベース管理機能を使っているのでトラブルはないと判断し，業務アプリケーションとOSの関係を調査し，問題がなければバージョンアップをする。,バージョンアップされたOSでのデータベースシステムの稼働を確認した後に，業務アプリケーションの稼働を確認し，問題がなければバージョンアップをする。,平成21年春期 午前問57
システムの信頼性を比較する目的で稼働率を測定するのに適切な時期はどれか。,1,システムの運用を開始した直後に発生したトラブルが解決されて安定してきた時期,システムの運用を開始した時,システムリリースの可否を判断する時期,長期間のシステム利用を経て，老朽化によるトラブルが増え始めた時期,平成21年春期 午前問56
一斉移行方式の特徴のうち，適切なものはどれか。,3,新旧システム間を接続するアプリケーションが必要となる。,新旧システムを並行させて運用し，ある時点で新システムに移行する。,新システムヘの移行時のトラブルの影響が大きい。,並行して稼働させるための運用コストが発生する。,平成21年春期 午前問55
ある商品のメーカ別の市場構成比を表すのに適切なグラフはどれか。,2,Zグラフ,帯グラフ,折れ線グラフ,レーダチャート,平成21年春期 午前問54
ソフトウェアの開発規模から開発工数を見積もる際に，必要な情報はどれか。,4,開発期間,開発要員数,工程ごとの工数配分比率,生産性,平成21年春期 午前問52
ある製品の開発に使用された組込みシステムの開発環境における維持管理に関する記述として，最も適切なものはどれか。,3,あまり使用されない開発環境においても，最新の開発環境に更新して維持管理すべきである。,一度製品化した後は，再度その開発環境を必要とすることはないので，開発環境を保持する必要はない。,開発環境は，使用頻度に関係なく，定期的に動作確認などを行って維持管理すべきである。,レンタル会社から借りた開発環境は，レンタル会社の責任でいつまでも保持される。,平成21年春期 午前問50
モデリングツールを使用して，本稼働中のデータベースシステムの定義情報からE-R図などで表現した設計書を生成する手法はどれか。,4,コンカレントエンジニアリング,ソーシャルエンジニアリング,フォワードエンジニアリング,リバースエンジニアリング,平成21年春期 午前問49
ソフトウェアのテスト工程において，バグ管理図を用いて，テストの進捗状況とソフトウェアの品質を判断したい。このときの考え方のうち，最も適切なものはどれか。,3,テスト工程の前半で予想以上にバグが検出され，スケジュールが遅れたので，スケジュールの見直しを行い，数日遅れでテスト終了の判断をした。,テスト項目がスケジュールどおりに消化されていれば，バグ摘出の累積件数が増加しなくても，ソフトウェアの品質は高いと判断できる。,テスト項目消化の累積件数，バグ摘出の累積件数及び未解決バグの件数の推移がすべて横ばいになった場合は，解決困難なバグに直面しているかどうかを確認する必要がある。,バグ摘出の累積件数の推移とテスト項目の未消化件数の推移から，テスト終了の時期をほぼ正確に予測できる。,平成21年春期 午前問48
オブジェクト指向の基本概念の組合せとして，適切なものはどれか。,4,仮想化，構造化，投影，クラス,具体化，構造化，連続，クラス,正規化，カプセル化，分割，クラス,抽象化，カプセル化，継承，クラス,平成21年春期 午前問47
E-R図の説明はどれか。,3,オブジェクト指向モデルを表現する図である。,時間や行動などに応じて，状態が変化する状況を表現する図である。,対象とする世界を実体と関連の二つの概念で表現する図である。,データの流れを視覚的に分かりやすく表現する図である。,平成21年春期 午前問46
システム開発におけるウォータフォールモデルの説明はどれか。,2,一度の開発ですべてを作るのではなく，基本的なシステムアーキテクチャの上に機能の優先度に応じて段階的に開発する。,開発工程を設計，実装，テストなどに分け，前の工程が完了してから，その成果物を使って次の工程を行う。,試作品を作り，利用者の要求をフィードバックして開発を進める。,複雑なソフトウェアを全部最初から作成しようとするのではなく，簡単な部分から分析，設計，実装，テストを繰り返し行い，徐々に拡大していく。,平成21年春期 午前問45
システム開発の最初の工程で行う作業として，適切なものはどれか。,2,各プログラムの内部構造を設計する。,現状の業務を分析し，システム要件を整理する。,サブシステムをプログラム単位まで分割し，各プログラムの詳細を設計する。,ユーザインタフェースを設計する。,平成21年春期 午前問44
生体認証システムを導入するときに考慮すべき点として，最も適切なものはどれか。,4,システムを誤作動させるデータを無害化する機能をもつライブラリを使用する。,パターンファイルの頻繁な更新だけでなく，ヒューリスティックなど別の手段を組み合わせる。,本人のディジタル証明書を信頼できる第三者機関に発行してもらう。,本人を誤って拒否する確率と他人を誤って許可する確率の双方を勘案して装置を調整する。,平成21年春期 午前問43
Webビーコンに該当するものはどれか。,4,PCとWeb サーバ自体の両方に被害を及ぼす悪意のあるスクリプトによる不正な手口,Webサイトからダウンロードされ，PC上で画像ファイルを消去するウイルス,Webサイトで用いるアプリケーションプログラムに潜在する誤り,Webページなどに小さい画像を埋め込み，利用者のアクセス動向などの情報を収集する仕組み,平成21年春期 午前問42
リスク移転を説明したものはどれか。,2,損失の発生率を低下させること,保険に加入するなど資金面での対策を講じること,リスクの原因を除去すること,リスクを扱いやすい単位に分解するか集約すること,平成21年春期 午前問41
IPアドレス 10.128.192.10 のアドレスクラスはどれか。,1,クラスA,クラスB,クラスC,クラスD,平成21年春期 午前問38
複数のLAN同士を，ネットワーク層で相互に接続するのに使用する装置はどれか。,4,ハブ,ブリッジ,リピータ,ルータ,平成21年春期 午前問37
1.5Mビット／秒の伝送路を用いて12Mバイトのデータを転送するために必要な伝送時間は何秒か。ここで，回線利用率を50% とする。,4,16,32,64,128,平成21年春期 午前問36
トランザクションTはチェックポイント取得後に完了し，その後にシステム障害が発生した。データベースをトランザクションTの終了直後の状態に戻すために用いられる復旧技法はどれか。ここで，チェックポイントのほかに，トランザクションログが利用できるものとする。,4,2相ロック,トランザクションスケジューリング,ロールバック,ロールフォワード,平成21年春期 午前問35
関係データベースの操作に関する記述のうち，適切なものはどれか。,1,結合は，二つ以上の表を連結して，一つの表を生成することをいう。,射影は，表の中から条件に合致した行を取り出すことをいう。,選択は，表の中から特定の列を取り出すことをいう。,挿入は，表に対して特定の列を挿入することをいう。,平成21年春期 午前問34
データベースサーバを利用したクライアントサーバシステムにおいて，大量のSQL文が発生することによってクライアントとサーバ間の通信負荷が問題となった。このときの解決策として，適切なものはどれか。,2,インデックスの見直し,ストアドプロシージャ機能の利用,データベースの再編成,動的SQLの利用,平成21年春期 午前問31
静止画データの圧縮符号化に関する国際標準はどれか。,3,BMP,GIF,JPEG,MPEG,平成21年春期 午前問30
ヒューマンインタフェース設計において，操作の一貫性向上を目的とするものはどれか。,3,Undo(元に戻す)機能によって，一つ前の操作状態に戻せるようにする。,ショートカットキーによって操作できるようにする。,どの画面においても操作ボタンの表示位置や形を同じにする。,利用者の操作に対応した処理の進行状況を表示する。,平成21年春期 午前問28
Webコンテンツのユーザビリティの説明として，適切なものはどれか。,4,障がい，年齢，性別，国籍などにかかわらず，だれもが使える設計をいう。,障がい者や高齢者がサービスを支障なく操作又は利用できる機能をいう。,障がい者や高齢者に負担を与えない設計をいう。,どれだけ利用者がストレスを感じずに，目標とする要求が達成できるかをいう。,平成21年春期 午前問27
GUIの部品の一つであるラジオボタンの用途として，適切なものはどれか。,3,幾つかの項目について，それぞれの項目を選択するかどうかを指定する。,幾つかの選択項目から一つを選ぶときに，選択項目にないものはテキストボックスに入力する。,互いに排他的な幾つかの選択項目から一つを選ぶ。,特定の項目を選択することによって表示される一覧形式の項目の中から一つを選ぶ。,平成21年春期 午前問26
OSIによるオープンソースソフトウェアの定義に従うとき，適切なものはどれか。,4,ある特定の業界向けに作成されたオープンソースソフトウェアは，ソースコードを公開する範囲をその業界に限定することができる。,オープンソースソフトウェアを改変し再配布する場合，元のソフトウェアと同じ配布条件となるように，同じライセンスを適用して配布する必要がある。,オープンソースソフトウェアを第三者が製品として再配布する場合，そのオープンソースソフトウェアの開発者は第三者に対してライセンス費を請求することができる。,社内での利用などのようにオープンソースソフトウェアを改変しても再配布しない場合，改変部分のソースコードを公開しなくてもよい。,平成21年春期 午前問23
キャッシュメモリと主記憶との間でブロックを置き換える方式にLRU方式がある。この方式で置換えの対象になるブロックはどれか。,2,一定時間参照されていないブロック,最後に参照されてから最も長い時間が経過したブロック,参照頻度の最も低いブロック,読み込んでから最も長い時間が経過したブロック,平成21年春期 午前問20
リアルタイムシステムをハードリアルタイムシステムとソフトリアルタイムシステムとに分類したとき，ハードリアルタイムシステムに該当するものはどれか。,2,Web配信システム,エアバッグ制御システム,座席予約システム,バンキングシステム,平成21年春期 午前問19
プログラムのCPU実行時間が300ミリ秒，入出力時間が600ミリ秒，その他のオーバヘッドが100ミリ秒の場合，ターンアラウンドタイムを半分に改善するには，入出力時間を現在の何倍にすればよいか。,1,1／6,1／4,1／3,1／2,平成21年春期 午前問18
システムの信頼性を表す指標であるRASのうち，可用性(Availability)を表す尺度はどれか。,1,稼働率(MTBF／(MTBF＋MTTR)),全運転時間(MTBF＋MTTR),平均故障間隔(MTBF),平均修理時間(MTTR),平成21年春期 午前問17
東京～大阪及び東京～名古屋がそれぞれ独立した通信回線で接続されている。東京～大阪の稼働率は 0.9，東京～名古屋の稼働率は 0.8 である。東京～大阪の稼働率を0.95 以上に改善するために，大阪～名古屋にバックアップ回線を新設することを計画している。新設される回線の稼働率は最低限幾ら必要か。,4,0.167,0.205,0.559,0.625,平成21年春期 午前問16
フォールトトレラントシステムの説明として，適切なものはどれか。,1,システムが部分的に故障しても，システム全体としては必要な機能を維持するシステム,地域的な災害などの発生に備えて，遠隔地に予備を用意しておくシステム,複数のプロセッサがネットワークを介して接続され，資源を共有するシステム,複数のプロセッサで一つのトランザクションを並行して処理し，結果を照合するシステム,平成21年春期 午前問15
プラズマディスプレイの説明として，適切なものはどれか。,1,ガス放電によって発生する光を利用して映像を表示する。,自身では発光しないので，バックライトを使って映像を表示する。,電極の間に有機化合物を挟んだ構造で，これに電気を通すと発光することを利用して映像を表示する。,電子銃から電子ビームを発射し，管面の蛍光体に当てて発光させ，文字や映像を表示する。,平成21年春期 午前問14
RAID1～5の各構成は，何に基づいて区別されるか。,3,構成する磁気ディスク装置のアクセス性能,コンピュータ本体とのインタフェースの違い,データ及び冗長ビットの記録方法と記録位置の組合せ,保証する信頼性のMTBF値,平成21年春期 午前問13
キャッシュメモリに関する記述のうち，適切なものはどれか。,1,書込み命令を実行したときに，キャッシュメモリと主記憶の両方を書き換える方式と，キャッシュメモリだけを書き換えておき，主記憶の書換えはキャッシュメモリから当該データが追い出されるときに行う方式とがある。,キャッシュメモリにヒットしない場合に割込みが生じ，プログラムによって主記憶からキャッシュメモリにデータが転送される。,キャッシュメモリは，実記憶と仮想記憶のメモリ容量の差を埋めるために採用される。,半導体メモリのアクセス速度の向上が著しいので，キャッシュメモリの必要性は減っている。,平成21年春期 午前問12
プロセッサにおけるパイプライン処理方式を説明したものはどれか。,3,単一の命令を基に，複数のデータに対して複数のプロセッサが同期をとりながら並列にそれぞれのデータを処理する方式,一つのプロセッサにおいて，単一の命令に対する実行時間をできるだけ短くする方式,一つのプロセッサにおいて，複数の命令を少しずつ段階をずらしながら同時実行する方式,複数のプロセッサが，それぞれ独自の命令を基に複数のデータを処理する方式,平成21年春期 午前問11
シングルチップマイコンの特徴として，最も適切なものはどれか。,4,PCのメインCPUに適している。,ROMは内蔵されているが，RAMは内蔵されていない。,高速処理システム又は大規模なシステムに適している。,入出力機能が内蔵されている。,平成21年春期 午前問10
平均命令実行時間が20ナノ秒のコンピュータがある。このコンピュータの性能は何MIPSか。,4,5,10,20,50,平成21年春期 午前問9
配列と比較した場合の連結リストの特徴に関する記述として，適切なものはどれか。,4,要素を更新する場合，ポインタを順番にたどるだけなので，処理時間は短い。,要素を削除する場合，削除した要素から後ろにあるすべての要素を前に移動するので，処理時間は長い。,要素を参照する場合，ランダムにアクセスできるので，処理時間は短い。,要素を挿入する場合，数個のポインタを書き換えるだけなので，処理時間は短い。,平成21年春期 午前問6
関数や手続を呼び出す際に，戻り番地や処理途中のデータを一時的に保存するのに適したデータ構造はどれか。,3,2分探索木,キュー,スタック,双方向連結リスト,平成21年春期 午前問5
文字列中で同じ文字が繰り返される場合，繰返し部分をその反復回数と文字の組に置き換えて文字列を短くする方法はどれか。,4,EBCDIC符号,巡回符号,ハフマン符号,ランレングス符号化,平成21年春期 午前問4
0000～4999のアドレスをもつハッシュ表があり，レコードのキー値からアドレスに変換するアルゴリズムとして基数変換法を用いる。キー値が55550のときのアドレスはどれか。ここで，基数変換法とは，キー値を11進数とみなし，10進数に変換した後，下4けたに対して0.5を乗じた結果(小数点以下は切捨て)をレコードのアドレスとする。,1,0260,2525,2775,4405,平成21年春期 午前問2
数値を2進数で格納するレジスタがある。このレジスタに正の整数xを設定した後，"レジスタの値を2ビット左にシフトして，xを加える"操作を行うと，レジスタの値はxの何倍になるか。ここで，あふれ(オーバフロー)は，発生しないものとする。,3,3,4,5,6,平成21年春期 午前問1
他人のIDとパスワードを使って，インターネットでオンラインショップのWebサーバに侵入し，会員情報を窃取しようとした。この行為を違法とする法律はどれか。,3,刑法,電気通信事業法,不正アクセス禁止法,プロバイダ責任制限法,平成21年秋期 午前問79
プログラム中のアイディアやアルゴリズムは保護しないが，プログラムのコード化された表現を保護する法律はどれか。,3,意匠法,商標法,著作権法,特許法,平成21年秋期 午前問78
減価償却の方法として認められているものはどれか。,3,移動平均法,最終取得原価法,定率法,持分法,平成21年秋期 午前問77
CIOの果たすべき役割はどれか。,3,各部門の代表として，自部門のシステム化案を情報システム部門へ提示する。,情報技術に関する調査，利用研究，関連部門への教育などを実施する。,全社的観点から情報化戦略を立案し，経営戦略との整合性の確認や評価を行う。,豊富な業務経験，情報技術の知識，リーダシップをもち，プロジェクトの運営を管理する。,平成21年秋期 午前問75
電子商取引に使用される，企業間でデータ交換を行う仕組みはどれか。,2,CA,EDI,SSL,XBRL,平成21年秋期 午前問74
WTO加盟国の政府関係機関での採用が見込まれる製品の開発に際して，どの規格を採用すべきか。,3,ANSI規格,IEEE規格,ISO規格,JIS規格,平成21年秋期 午前問71
CRMを説明したものはどれか。,3,卸売業者・メーカが，小売店の経営活動を支援してその売上と利益を伸ばすことによって，自社との取引拡大につなげる方法である。,企業全体の経営資源を有効かつ総合的に計画して管理し，経営の高効率化を図るための手法である。,企業内のすべての顧客チャネルで情報を共有し，サービスのレベルを引き上げて顧客満足度を高め，顧客ロイヤルティの最適化に結び付ける考え方である。,生産，在庫，購買，販売，物流などのすべての情報をリアルタイムに交換することによって，サプライチェーン全体の効率を大幅に向上させる経営手法である。,平成21年秋期 午前問70
システム開発を外部に発注する場合，受託側が瑕疵(かし)担保責任を負うものはどれか。,2,委任契約,請負契約,パート契約,派遣契約,平成21年秋期 午前問68
共通フレーム2007によれば，非機能要件に該当するものはどれか。,4,新しい業務の在り方をまとめた上で，業務上実現すべき要件,業務の手順や入出力情報，ルールや制約などの要件,業務要件を実現するために必要なシステムの機能に関する要件,ソフトウェアの信頼性，効率性など品質に関する要件,平成21年秋期 午前問67
"システム管理基準"において，情報システムの費用，スケジュール，開発体制，投資効果などを明確にする計画はどれか。,2,移行計画,開発計画,全体最適化計画,年間運用計画,平成21年秋期 午前問66
共通フレーム2007によれば，企画プロセスで実施すべきものはどれか。,3,新しい業務の在り方を整理し，業務プロセスや業務ルールを明確にする。,新しく開発されるシステムヘの移行時期及び移行手順を明確にする。,業務の新しい全体像及び新システムの全体イメージを作成する。,ソフトウェアユニットのテスト要求事項及び予定を定義する。,平成21年秋期 午前問65
SOAを説明したものはどれか。,2,異機種間のデータ通信を実現するために，通信サービスを七つの階層に分割し，各層ごとに標準的なプロトコルや通信サービスの仕様を定めるという考え方である。,業務上の一処理に相当するソフトウェアの機能をサービスとして実装し，それらのサービスを組み合わせてシステム全体を構築するという考え方である。,サービスレベル合意書に基づき，顧客要件を満たすITサービスの提供を実現し，その品質の継続的な改善に必要なプロセスを構築するという考え方である。,ソフトウェアをネットワーク内のサーバに置き，ユーザが必要とする機能だけをサービスとしてネットワークを経由して提供するという考え方である。,平成21年秋期 午前問64
ASPとは，どのようなサービスを提供する事業者か。,4,顧客のサーバや通信機器を設置するために，事業者が所有する高速回線や耐震設備が整った施設を提供するサービス,顧客の組織内部で行われていた総務，人事，経理，給与計算などの業務を外部の事業者が一括して請け負うサービス,事業者が所有するサーバの一部を顧客に貸し出し，顧客が自社のサーバとして利用するサービス,汎用的なアプリケーションシステムの機能をネットワーク経由で複数の顧客に提供するサービス,平成21年秋期 午前問63
BPRを説明したものはどれか。,2,企業全体の経営資源の配分を有効かつ総合的に計画して管理し，経営の効率向上を図ることである。,顧客視点から業務のプロセスを再設計し，情報技術を十分に活用して，企業の体質や構造を抜本的に変革することである。,最強の競合相手又は先進企業と比較して，製品，サービス，オペレーションなどを定性的・定量的に把握することである。,利益をもたらすことのできる，他社より優越した自社独自のスキルや技術に経営資源を集中することである。,平成21年秋期 午前問62
リスクが顕在化しても，その影響が小さいと想定されるので，損害の負担を受容するリスク対応はどれか。,4,リスク移転,リスク回避,リスク低減,リスク保有,平成21年秋期 午前問60
情報システムのセキュリティコントロールを予防，検知，復旧の三つに分けた場合，復旧に該当するものはどれか。,2,オペレータとプログラマの職務分離,コンティンジェンシープラン,パスワードの利用,メッセージ認証,平成21年秋期 午前問59
監査において発見した問題に対するシステム監査人の責任として，適切なものはどれか。,1,発見した問題を監査依頼者に報告する。,発見した問題をシステムの利用部門に通報する。,発見した問題を被監査部門に是正するよう命じる。,発見した問題を自ら是正する。,平成21年秋期 午前問58
情報システムを落雷によって発生する過電圧の被害から防ぐための手段として，有効なものはどれか。,1,サージ保護デバイス(SPD)を介して通信ケーブルとコンピュータを接続する。,自家発電装置を設置する。,通信線を経路の異なる2系統とする。,電源設備の制御回路をディジタル化する。,平成21年秋期 午前問57
クライアント管理ツールに備わっている機能のうち，業務に無関係なソフトウェアがインストールされていることを検出するのに最も有効なものはどれか。,1,インベントリ収集,遠隔操作,稼働管理機能,ソフトウェア配信,平成21年秋期 午前問55
システム開発における品質管理に関する記述のうち，適切なものはどれか。,3,幾つかのサブシステムに分割して開発するとき，サブシステム単位での品質が保証できれば，同時にシステム全体としての品質も保証できる。,応答時間やバッチ処理時間などの性能は品質管理の対象外であるが，業務に与える影響が大きいので限界性能を計測しておく。,システムヘの要求機能の充足度だけでなく， ドキュメントなどすべての成果物を含めて品質管理の対象とする。,市販製品と自社開発プログラムを組み合わせてシステムを開発する場合，品質管理の対象は自社開発のプログラムだけとなる。,平成21年秋期 午前問54
入力，出力などを基に複雑さを加味してシステム規模を見積もる方法であり，開発工数の見積りにも使われるものはどれか。,3,COCOMO,標準タスク法,ファンクションポイント法,プットナム(Putnum)モデル,平成21年秋期 午前問53
あるシステムを開発するための工数を見積もったところ150人月であった。現在までの投入工数は60人月で，出来高は全体の3割であり，進捗に遅れが生じている。今後も同じ生産性が続くと想定したとき，このシステムの開発を完了させるためには何人月の工数が超過するか。,1,50,90,105,140,平成21年秋期 午前問52
ソフトウェア開発において，構成管理に起因しない問題はどれか。,2,開発者がバグを定められた手続に従わずに修正したので，今まで動作していたプログラムが，突然に不正な動作をする。,システムテストにおいて，単体テストレベルのバグが多発して，開発が予定どおり進捗しない。,仕様書，設計書及びプログラムのそれぞれが一致していないので，プログラム修正時にソースプログラムを解析しないと，修正すべきプログラムが特定できない。,ーつのプログラムから多数の派生プログラムが作られているが，派生元のバグ修正がすべての派生プログラムに反映されない。,平成21年秋期 午前問50
システム適格性確認テストを実施するとき，用意しておくべきテストデータはどれか。,1,実際に業務で使うデータや，業務上例外として処理されるデータ,ソフトウェアユニット間のインタフェースに関するエラーを検出するデータ,ソフトウェアユニット内の全分岐を1回以上通るデータ,ソフトウェアユニット内の全命令が1回以上実行されるデータ,平成21年秋期 午前問48
開発プロセスにおける，ソフトウェア方式設計で行うべき作業はどれか。,2,顧客に意見を求めて仕様を決定する。,既に決定しているソフトウェア要件を，どのように実現させるかを決める。,プログラム1行ごとの処理まで明確になるように詳細化する。,要求内容を図表などの形式でまとめ，段階的に詳細化して分析する。,平成21年秋期 午前問47
オブジェクト指向でシステムを開発する場合のカプセル化の効果はどれか。,1,オブジェクトの内部データ構造やメソッドの実装を変更しても，ほかのオブジェクトがその影響を受けにくい。,既存の型に加えてユーザ定義型を追加できるので，問題領域に合わせてプログラムの仕様を拡張できる。,子クラスとして派生するので，親クラスの属性を子クラスが利用できる。,同一メッセージを送っても，受け手のオブジェクトによって，それぞれが異なる動作をするので，メッセージを受け取るオブジェクトの種類が増えても，メッセージを送るオブジェクトには影響がない。,平成21年秋期 午前問46
