請負契約を締結していても，労働者派遣とみなされる受託者の行為はどれか。,1,休暇取得のルールを発注者側の指示に従って取り決める。,業務の遂行に関する指導や評価を自ら実施する。,勤務に関する規律や職場秩序の保持を実施する。,発注者の業務上の要請を受託者側の責任者が窓口となって受け付ける。,平成25年春期 午前問79
"システム監査基準"における，組織体がシステム監査を実施する目的はどれか。,3,運用しているシステム部門によるテストによって，社内ネットワーク環境の脆(ぜい)弱性を知り，ネットワーク環境を整備する。,自社の強み・弱み，自社を取り巻く機会・脅威を整理し，新たな経営戦略・事業分野を設定する。,情報システムにまつわるリスクに対するコントロールの整備・運用状況を評価し，改善につなげることによって，ITガバナンスの実現に寄与する。,ソフトウェア開発の生産性のレベルを客観的に知り，開発組織の能力を向上させるために，より高い生産性レベルを目指して取り組む。,平成25年春期 午前問58
監査調書はどれか。,1,監査人が行った監査手続の実施記録であり，監査意見の根拠となるもの,監査人が監査実施に当たり，被監査部門などへ提出する監査人自身のセキュリティ誓約書をまとめたもの,監査人が検討に利用した基準書，ガイドラインをまとめたもの,監査人が判断根拠とする資料であり，監査報告書とともに公表するよう義務付けられたもの,平成25年春期 午前問57
落雷によって発生する過電圧の被害から情報システムを防ぐための手段として，有効なものはどれか。,1,サージ保護デバイス(SPD)を介して通信ケーブルとコンピュータを接続する。,自家発電装置を設置する。,通信線を経路の異なる2系統とする。,電源設備の制御回路をディジタル化する。,平成25年春期 午前問56
サービスデスク組織の構造の特徴のうち，ローカルサービスデスクの特徴はどれか。,2,サービスデスクを1拠点又は少数の場所に集中することによって，サービス要員を効率的に配置したり，大量のコールに対応したりすることができる。,サービスデスクを利用者の近くに配置することによって，言語や文化の異なる利用者への対応，専用要員によるVIP対応などができる。,サービス要員は複数の地域や部門に分散しているが，通信技術を利用することによって，単一のサービスデスクであるかのようなサービスが提供できる。,分散拠点のサービス要員を含めた全員を中央で統括して管理することによって，統制の取れたサービスが提供できる。,平成25年春期 午前問55
プロジェクトにおけるコミュニケーション手段のうち，プル型コミュニケーションはどれか。,1,イントラネットサイト,テレビ会議,電子メール,ファックス,平成25年春期 午前問54
プロジェクトの日程計画を作成するのに適した技法はどれか。,1,PERT,回帰分析,時系列分析,線形計画法,平成25年春期 午前問52
PMBOKによれば，WBSで定義するものはどれか。,1,プロジェクトで行う作業を階層的に要素分解したワークパッケージ,プロジェクトの実行，監視・コントロール，及び終結の方法,プロジェクトの要素成果物，除外事項及び制約条件,ワークパッケージを完了するために必要な作業,平成25年春期 午前問51
ソフトウェア開発において，構成管理に起因しない問題はどれか。,2,開発者が定められた改版手続に従わずにプログラムを修正したので，今まで動作していたプログラムが、不正な動作をするようになった。,システムテストにおいて，単体テストレベルのバグが多発して，開発が予定どおり進捗しない。,仕様書，設計書及びプログラムの版数が対応付けられていないので，プログラム修正時にソースプログラムを解析しないと，修正すべきプログラムが特定できない。,一つのプログラムから多数の派生プログラムが作られているが，派生元のプログラム修正がすべての派生プログラムに反映されない。,平成25年春期 午前問50
包括的な特許クロスライセンスの説明として，適切なものはどれか。,2,インターネットなどでソースコードを無償公開し，誰でもソフトウェアの改良及び再配布が行えるようにすること,技術分野や製品分野を特定し，その分野の特許権の使用を相互に許諾すること,自社の特許権が侵害されるのを防ぐために，相手の製造をやめさせる権利を行使すること,特許登録に必要な費用を互いに分担する取決めのこと,平成25年春期 午前問49
ストレステストの目的はどれか。,1,システムに要求されている処理能力の限界状態における動作を確認する。,実際に利用者に使ってもらうことによって，システムの使いやすさを評価する。,標準的なプログラムの実行時間を計測することによって，他のコンピュータと性能を比較する。,プログラムの修正又は変更によって他の機能が意図しない影響を受けていないことを確認する。,平成25年春期 午前問48
スタブを使用したテストの説明として，適切なものはどれか。,2,指定した命令が実行されるたびに，レジスタや主記憶の一部の内容を出力することによって，正しく処理が行われていることを確認する。,トップダウンでプログラムのテストを行うとき，作成したモジュールをテストするために，仮の下位モジュールを用意して動作を確認する。,プログラムの実行中，必要に応じて変数やレジスタなどの内容を表示し，必要であればその内容を修正して，テストを継続する。,プログラムを構成するモジュールの単体テストを行うとき，そのモジュールを呼び出す仮の上位モジュールを用意して，動作を確認する。,平成25年春期 午前問47
設計するときに，状態遷移図を用いることが最も適切なシステムはどれか。,4,月末及び決算時の棚卸資産を集計処理する在庫棚卸システム,システム資源の稼動状態を計測し，レポートとして出力するシステム資源稼動状態計測システム,水道の検針データから料金を計算する水道料金計算システム,設置したセンサの情報から，温室内の環境を最適に保つ温室制御システム,平成25年春期 午前問46
開発プロセスにおける，ソフトウェア方式設計で行うべき作業はどれか。,2,顧客に意見を求めて仕様を決定する。,既に決定しているソフトウェア要件を，どのように実現させるかを決める。,プログラム1行ごとの処理まで明確になるように詳細化する。,要求内容を図表などの形式でまとめ，段階的に詳細化して分析する。,平成25年春期 午前問45
HTTPSを用いて実現できるものはどれか。,4,Webサーバ上のファイルの改ざん検知,クライアント上のウイルス検査,クライアントに対する侵入検知,電子証明書によるサーバ認証,平成25年春期 午前問44
電子メールを暗号化するために使用される方式はどれか。,4,BASE64,GZIP,PNG,S/MIME,平成25年春期 午前問43
機密ファイルが格納されていて，正常に動作するPCの磁気ディスクを産業廃棄物処理業者に引き渡して廃棄する場合の情報漏えい対策のうち，適切なものはどれか。,3,異なる圧縮方式で，機密ファイルを複数回圧縮する。,専用の消去ツールで，磁気ディスクのマスタブートレコードを複数回消去する。,特定のビット列で，磁気ディスクの全領域を複数回上書きする。,ランダムな文字列で，機密ファイルのファイル名を複数回変更する。,平成25年春期 午前問41
SQLインジェクション攻撃を防ぐ方法はどれか。,1,入力中の文字がデータベースへの問合せや操作において，特別な意味をもつ文字として解釈されないようにする。,入力にHTMLタグが含まれていたら，HTMLタグとして解釈されない他の文字列に置き換える。,入力に，上位ディレクトリを指定する文字(../)を含むときは受け付けない。,入力の全体の長さが制限を超えているときは受け付けない。,平成25年春期 午前問40
Xさんは，Yさんにインターネットを使って電子メールを送ろうとしている。電子メールの内容を秘密にする必要があるので，公開鍵暗号方式を使って暗号化して送信したい。電子メールの内容を暗号化するのに使用する鍵はどれか。,3,Xさんの公開鍵,Xさんの秘密鍵,Yさんの公開鍵,Yさんの秘密鍵,平成25年春期 午前問39
手順に示すセキュリティ攻撃はどれか。     〔手順〕     (1):攻撃者が金融機関の偽のWebサイトを用意する。     (2):金融機関の社員を装って，偽のWebサイトへ誘導するURLを本文中に含めた電子メールを送信する。     (3):電子メールの受信者が，その電子メールを信用して本文中のURLをクリックすると，偽のWebサイトに誘導される。       (4):偽のWebサイトと気付かずに認証情報を入力すると，その情報が攻撃者に渡る。,2,DDoS攻撃,フィッシング,ボット,メールヘッダインジェクション,平成25年春期 午前問38
UDPを使用しているものはどれか。,2,FTP,NTP,POP3,TELNET,平成25年春期 午前問36
OSI基本参照モデルにおけるネットワーク層の説明として，適切なものはどれか。,1,エンドシステム間のデータ伝送を実現するために，ルーティングや中継などを行う。,各層のうち，最も利用者に近い部分であり，ファイル転送や電子メールなどの機能が実現されている。,物理的な通信媒体の特性の差を吸収し，上位の層に透過的な伝送路を提供する。,隣接ノード間の伝送制御手順(誤り検出，再送制御など)を提供する。,平成25年春期 午前問33
本社と工場との間を専用線で接続してデータを伝送するシステムがある。このシステムでは2000バイト／件の伝票データを2件ずつまとめ，それに400バイトのヘッダ情報を付加して送っている。伝票データは，1時間に平均100000件発生している。回線速度を1Mビット／秒としたとき，回線利用率はおよそ何%か。,3,6.1,44,49,53,平成25年春期 午前問32
IPv4アドレス表記として，正しくないものはどれか。,2,10.0.0.0,10.10.10.256,192.168.0.1,224.0.1.1,平成25年春期 午前問31
データベースの排他制御のロック獲得の可能性のうち，適切なものはどれか。,1,あるトランザクションが共有ロックを獲得している資源に対して，別のトランザクションが共有ロックを獲得することは可能である。,あるトランザクションが共有ロックを獲得している資源に対して，別のトランザクションが専有ロックを獲得することは可能である。,あるトランザクションが専有ロックを獲得している資源に対して，別のトランザクションが共有ロックを獲得することは可能である。,あるトランザクションが専有ロックを獲得している資源に対して，別のトランザクションが専有ロックを獲得することは可能である。,平成25年春期 午前問30
列A1～A5から成るR表に対する次のSQL文は，関係代数のどの演算に対応するか。     SELECT A1，A2，A3 FROM R     WHERE A4＝'a',3,結合と射影,差と選択,選択と射影,和と射影,平成25年春期 午前問27
3次元グラフィックス処理におけるクリッピングの説明はどれか。,2,CG映像作成における最終段階として，物体のデータをディスプレイに描画できるように映像化する処理である。,画像表示領域にウィンドウを定義し，ウィンドウの外側を除去し，内側の見える部分だけを取り出す処理である。,スクリーンの画素数が有限なので図形の境界近くに生じる，階段状のギザギザを目立たなくする処理である。,立体感を生じさせるため，物体の表面に陰付けを行う処理である。,平成25年春期 午前問25
DRAMの特徴はどれか。,4,書込み及び消去を一括又はブロック単位で行う。,データを保持するためのリフレッシュ操作又はアクセス操作が不要である。,電源が遮断された状態でも，記憶した情報を保持することができる。,メモリセル構造が単純なので高集積化することができ，ビット単価を安くできる。,平成25年春期 午前問23
ホワイトボックステストにおいて，コード中のどれだけの割合の部分を実行できたかを評価するのに使うものはどれか。,4,アサーションチェッカ,シミュレータ,静的コード解析,テストカバレージ分析,平成25年春期 午前問22
仮想記憶管理におけるページ置換えの方式のうち，LRU制御方式はどれか。,3,各ページに参照フラグと変更フラグを付加して管理し，参照なしかつ変更なしのページを優先して置き換える。,主記憶にある全てのページを同一の確率でランダムに選択し，置き換える。,最も長い間参照されていないページを置き換える。,最も長い間主記憶にあったページを置き換える。,平成25年春期 午前問20
コンピュータシステムによって単位時間当たりに処理される仕事の量を表す用語はどれか。,1,スループット,ターンアラウンドタイム,タイムスライス,レスポンスタイム,平成25年春期 午前問16
MTBFが45時間でMTTRが5時間の装置がある。この装置を二つ直列に接続したシステムの稼働率は幾らか。,1,0.81,0.90,0.95,0.99,平成25年春期 午前問15
フォールトトレラントシステムの説明として，適切なものはどれか。,1,システムが部分的に故障しても，システム全体としては必要な機能を維持するシステム,地域的な災害などの発生に備えて，遠隔地に予備を用意しておくシステム,複数のプロセッサがネットワークを介して接続され，資源を共有するシステム,複数のプロセッサで一つのトランザクションを並行して処理し，結果を照合するシステム,平成25年春期 午前問14
Bluetoothの説明として，適切なものはどれか。,4,1台のホストは最大127台のデバイスに接続することができる。,規格では，1000m以上離れた場所でも通信可能であると定められている。,通信方向に指向性があるので，接続対象の機器同士を向かい合わせて通信を行う。,免許不要の2.4GHz帯の電波を利用して通信する。,平成25年春期 午前問13
MPUの割込みには外部割込みと内部割込みがある。外部割込みの例として，適切なものはどれか。,2,0で除算をしたときに発生する割込み,ウォッチドッグタイマのタイムアウトが起きたときに発生する割込み,未定義命令を実行しようとしたときに発生する割込み,メモリやデバイスが存在しない領域にアクセスしたときに発生する割込み,平成25年春期 午前問11
50MIPSのプロセッサの平均命令実行時間は幾らか。,1,20ナノ秒,50ナノ秒,2マイクロ秒,5マイクロ秒,平成25年春期 午前問9
通信回線の伝送誤りに対処するパリティチェック方式(垂直パリティ)の記述として，適切なものはどれか。,1,1ビットの誤りを検出できる。,1ビットの誤りを訂正でき，2ビットの誤りを検出できる。,奇数パリティならば1ビットの誤りを検出できるが，偶数パリティでは1ビットの誤りも検出できない。,奇数パリティならば奇数個のビット誤りを，偶数パリティならば偶数個のビット誤りを検出できる。,平成25年春期 午前問4
アナログ音声をPCM符号化したとき，1秒当たりのデータ量は64000ビットであった。量子化ビット数を8ビットとするとき，サンプリング間隔は何マイクロ秒か。,3,0.125,8,125,512,平成25年春期 午前問3
1秒間に一定間隔で16個のパルスを送ることができる通信路を使って，0～9，A～Fの16種類の文字を送るとき，1秒間に最大何文字を送ることができるか。ここで，1ビットは1個のパルスで表し，圧縮は行わないものとする。,3,1,2,4,8,平成25年春期 午前問2
