訪問販売，通信販売，電話勧誘販売などを対象に，消費者を守るためのクーリングオフなどのルールを定めている法律はどれか。,3,商法,電子消費者契約法,特定商取引法,不正競争防止法,平成29年秋期 午前問80
BI(Business Intelligence)を説明したものはどれか。,1,企業内外のデータを蓄積し，分類・加工・分析して活用することによって，企業の意思決定の迅速化を支援する手法,企業内の慣行などにとらわれず，業務プロセスを抜本的に再構築することによって，コスト・品質・サービスなどを改善する手法,企業内の業務の流れを可視化し，業務改善サイクルを適用することによって，継続的な業務改善を図る手法,企業内の異なるシステムを互いに連結し，データやプロセスの統合を図ることによって，システムを全体として効率よく活用する手法,平成29年秋期 午前問65
グリーン調達の説明はどれか。,4,環境保全活動を実施している企業がその活動内容を広くアピールし，投資家から環境保全のための資金を募ることである。,第三者が一定の基準に基づいて環境保全に資する製品を認定する，エコマークなどの環境表示に関する国際規格のことである。,太陽光，バイオマス，風力，地熱などの自然エネルギーによって発電されたグリーン電力を，市場で取引可能にする証書のことである。,品質や価格の要件を満たすだけでなく，環境負荷の小さい製品やサービスを，環境負荷の低減に努める事業者から優先して購入することである。,平成29年秋期 午前問64
ビッグデータを企業が活用している事例はどれか。,4,カスタマセンタへの問合せに対し，登録済みの顧客情報から連絡先を抽出する。,最重要な取引先が公表している財務諸表から，売上利益率を計算する。,社内研修の対象者リスト作成で，人事情報から入社10年目の社員を抽出する。,多種多様なソーシャルメディアの大量な書込みを分析し，商品の改善を行う。,平成29年秋期 午前問63
SOAを説明したものはどれか。,4,企業改革において既存の組織やビジネスルールを抜本的に見直し，業務フロー，管理機構，情報システムを再構築する手法のこと,企業の経営資源を有効に活用して経営の効率を向上させるために，基幹業務を部門ごとでなく統合的に管理するための業務システムのこと,発注者とITアウトソーシングサービス提供者との間で，サービスの品質について合意した文書のこと,ビジネスプロセスの構成要素とそれを支援するIT基盤を，ソフトウェア部品であるサービスとして提供するシステムアーキテクチャのこと,平成29年秋期 午前問62
監査調書の説明はどれか。,1,監査人が行った監査手続の実施記録であり，監査意見の根拠となる。,監査人が監査実施に当たり被監査部門に対して提出する，監査人自身のセキュリティ誓約書をまとめたものである。,監査人が監査の実施に利用した基準書，ガイドラインをまとめたものである。,監査人が正当な注意義務を払ったことを証明するために，監査報告書とともに公表するよう義務付けられたものである。,平成29年秋期 午前問60
システム監査人が実施するヒアリングに関する記述のうち，適切なものはどれか。,2,監査業務を経験したことのある被監査部門の管理者をヒアリングの対象者として選ぶ。,ヒアリングで被監査部門から得た情報を裏付けるための文書や記録を入手するよう努める。,ヒアリングの中で気が付いた不備事項について，その場で被監査部門に改善を指示する。,複数人でヒアリングを行うと記録内容に相違が出ることがあるので，1人のシステム監査人が行う。,平成29年秋期 午前問59
システム運用業務のオペレーション管理に関する監査で判明した状況のうち，指摘事項として監査報告書に記載すべきものはどれか。,4,運用責任者が，オペレータの作成したオペレーション記録を確認している。,運用責任者が，期間を定めてオペレーション記録を保管している。,オペレータが，オペレーション中に起きた例外処理を記録している。,オペレータが，日次の運用計画を決定し，自ら承認している。,平成29年秋期 午前問58
落雷によって発生する過電圧の被害から情報システムを守るための手段として，有効なものはどれか。,1,サージ保護デバイス(SPD)を介して通信ケーブルとコンピュータを接続する。,自家発電装置を設置する。,通信線を，経路の異なる2系統とする。,電源設備の制御回路をディジタル化する。,平成29年秋期 午前問57
新規システムにおけるデータのバックアップ方法に関する記述のうち，最も適切なものはどれか。,1,業務処理がバックアップ処理と重なると応答時間が長くなる可能性がある場合には，両方の処理が重ならないようにスケジュールを立てる。,バックアップ処理時間を短くするためには，バックアップデータをバックアップ元データと同一の記憶媒体内に置く。,バックアップデータからの復旧時間を短くするためには，差分バックアップを採用する。,バックアップデータを長期間保存するためには，ランダムアクセスが可能な媒体を使用する。,平成29年秋期 午前問56
サービスマネジメントにおいて，サービスレベル管理の要求事項はどれか。,2,サービス継続及び可用性に対するリスクを評価し，文書化する。,提供するサービスのサービスカタログとSLAを作成し，顧客と合意する。,人，技術，情報及び財務に関する資源を考慮して，容量・能力の計画を作成，実施及び維持する。,予算に照らして費用を監視及び報告し，財務予測をレビューし，費用を管理する。,平成29年秋期 午前問55
プロジェクトで発生した課題の傾向を分析するために，ステークホルダ，コスト，スケジュール，品質などの管理項目別の課題件数を棒グラフとして件数が多い順に並べ，この順で累積した課題件数を折れ線グラフとして重ね合わせた図を作成した。この図はどれか。,4,管理図,散布図,特性要因図,パレート図,平成29年秋期 午前問54
ファンクションポイント法の説明はどれか。,3,開発するプログラムごとのステップ数を積算し，開発規模を見積もる。,開発プロジェクトで必要な作業のWBSを作成し，各作業の工数を見積もる。,外部入出力や内部論理ファイル，外部照会，外部インタフェースなどの個数や特性などから開発規模を見積もる。,過去の類似例を探し，その実績や開発するシステムとの差異などを分析・評価して開発規模を見積もる。,平成29年秋期 午前問51
ソフトウェアのリバースエンジニアリングの説明はどれか。,3,開発支援ツールなどを用いて，設計情報からソースコードを自動生成する。,外部から見たときの振る舞いを変えずに，ソフトウェアの内部構造を変える。,既存のソフトウェアを解析し，その仕様や構造を明らかにする。,既存のソフトウェアを分析し理解した上で，ソフトウェア全体を新しく構築し直す。,平成29年秋期 午前問50
ブラックボックステストに関する記述として，適切なものはどれか。,2,テストデータの作成基準として，命令や分岐の網羅率を使用する。,被テストプログラムに冗長なコードがあっても検出できない。,プログラムの内部構造に着目し，必要な部分が実行されたかどうかを検証する。,分岐命令やモジュールの数が増えると，テストデータが急増する。,平成29年秋期 午前問49
モジュール分割を行うときの方法として，モジュール結合度を最も弱くできるものはどれか。,2,一つのモジュールで，できるだけ多くの機能を実現する。,二つのモジュール間で必要なデータ項目だけを引数として渡す。,他のモジュールとデータ項目を共有するためにグローバルな領域を使用する。,他のモジュールを呼び出すときに，呼び出されたモジュールの論理を制御するための引数を渡す。,平成29年秋期 午前問48
オブジェクト指向分析を用いてモデリングしたとき，クラスとオブジェクトの関係になる組みはどれか。,2,公園，ぶらんこ,公園，代々木公園,鉄棒，ぶらんこ,中之島公園，代々木公園,平成29年秋期 午前問47
UML2.0において，オブジェクト間の相互作用を時系列に表す図はどれか。,3,アクティビティ図,コンポーネント図,シーケンス図,状態遷移図,平成29年秋期 午前問46
コンピュータやネットワークのセキュリティ上の脆弱性を発見するために，システムを実際に攻撃して侵入を試みる手法はどれか。,3,ウォークスルー,ソフトウェアインスペクション,ペネトレーションテスト,リグレッションテスト,平成29年秋期 午前問45
リスクアセスメントを構成するプロセスの組合せはどれか。,2,リスク特定，リスク評価，リスク受容,リスク特定，リスク分析，リスク評価,リスク分析，リスク対応，リスク受容,リスク分析，リスク評価，リスク対応,平成29年秋期 午前問43
CSIRTの説明として，適切なものはどれか。,3,IPアドレスの割当て方針の決定，DNSルートサーバの運用監視，DNS管理に関する調整などを世界規模で行う組織である。,インターネットに関する技術文書を作成し，標準化のための検討を行う組織である。,企業内・組織内や政府機関に設置され，情報セキュリティインシデントに関する報告を受け取り，調査し，対応活動を行う組織の総称である。,情報技術を利用し，宗教的又は政治的な目標を達成するという目的をもつ者や組織の総称である。,平成29年秋期 午前問42
マルウェアについて，トロイの木馬とワームを比較したとき，ワームの特徴はどれか。,4,勝手にファイルを暗号化して正常に読めなくする。,単独のプログラムとして不正な動作を行う。,特定の条件になるまで活動をせずに待機する。,ネットワークやリムーバブルメディアを媒介として自ら感染を広げる。,平成29年秋期 午前問41
ディジタル署名における署名鍵の使い方と，ディジタル署名を行う目的のうち，適切なものはどれか。,3,受信者が署名鍵を使って，暗号文を元のメッセージに戻すことができるようにする。,送信者が固定文字列を付加したメッセージを署名鍵を使って暗号化することによって，受信者がメッセージの改ざん部位を特定できるようにする。,送信者が署名鍵を使って署名を作成し，それをメッセージに付加することによって，受信者が送信者を確認できるようにする。,送信者が署名鍵を使ってメッセージを暗号化することによって，メッセージの内容を関係者以外に分からないようにする。,平成29年秋期 午前問40
SQLインジェクション攻撃の説明はどれか。,1,Webアプリケーションに問題があるとき，悪意のある問合せや操作を行う命令文をWebサイトに入力して，データベースのデータを不正に取得したり改ざんしたりする攻撃,悪意のあるスクリプトを埋め込んだWebページを訪問者に閲覧させて，別のWebサイトで，その訪問者が意図しない操作を行わせる攻撃,市販されているDBMSの脆弱性を利用することによって，宿主となるデータベーサーバを探して自己伝染を繰り返し，インターネットのトラフィックを急増させる攻撃,訪問者の入力データをそのまま画面に表示するWebサイトに対して，悪意のあるスクリプトを埋め込んだ入力データを送ることによって，訪問者のブラウザで実行させる攻撃,平成29年秋期 午前問39
非常に大きな数の素因数分解が困難なことを利用した公開鍵暗号方式はどれか。,4,AES,DH,DSA,RSA,平成29年秋期 午前問38
DNSキャッシュポイズニングに分類される攻撃内容はどれか。,2,DNSサーバのソフトウェアのバージョン情報を入手して，DNSサーバのセキュリティホールを特定する。,PCが参照するDNSサーバに偽のドメイン情報を注入して，利用者を偽装されたサーバに誘導する。,攻撃対象のサービスを妨害するために，攻撃者がDNSサーバを踏み台に利用して再帰的な問合せを大量に行う。,内部情報を入手するために，DNSサーバが保存するゾーン情報をまとめて転送させる。,平成29年秋期 午前問37
ボットネットにおいてC&Cサーバが果たす役割はどれか。,1,遠隔操作が可能なマルウェアに，情報収集及び攻撃活動を指示する。,電子商取引事業者などに，偽のディジタル証明書の発行を命令する。,不正なWebコンテンツのテキスト，画像及びレイアウト情報を一元的に管理する。,踏み台となる複数のサーバからの通信を制御し遮断する。,平成29年秋期 午前問36
次のIPアドレスとサブネットマスクをもつPCがある。このPCのネットワークアドレスとして，適切なものはどれか。     IPアドレス： 10.170.70.19     サブネットマスク：255.255.255.240,2,10.170.70.0,10.170.70.16,10.170.70.31,10.170.70.255,平成29年秋期 午前問35
トランスポート層のプロトコルであり，信頼性よりもリアルタイム性が重視される場合に用いられるものはどれか。,4,HTTP,IP,TCP,UDP,平成29年秋期 午前問34
IPv4において，インターネット接続用ルータのNAT機能の説明として，適切なものはどれか。,4,インターネットへのアクセスをキャッシュしておくことによって，その後に同じIPアドレスのWebサイトへアクセスする場合，表示を高速化できる機能である。,通信中のIPパケットを検査して，インターネットからの攻撃や侵入を検知する機能である。,特定の端末宛てのIPパケットだけを通過させる機能である。,プライベートIPアドレスとグローバルIPアドレスを相互に変換する機能である。,平成29年秋期 午前問33
ネットワーク機器の一つであるスイッチングハブ(レイヤ2スイッチ)の機能として，適切なものはどれか。,2,LANポートに接続された端末に対して，lPアドレスの動的な割当てを行う。,受信したパケットを，宛先MACアドレスが存在するLANポートだけに転送する。,受信したパケットを，全てのLANポートに転送(ブロードキャスト)する。,受信したパケットを，ネットワーク層で分割(フラグメンテーション)する。,平成29年秋期 午前問32
符号化速度が192kビット／秒の音声データ2.4Mバイトを，通信速度が128kビット／秒のネットワークを用いてダウンロードしながら途切れることなく再生するためには，再生開始前のデータのバッファリング時間として最低何秒間が必要か。,1,50,100,150,250,平成29年秋期 午前問31
トランザクション処理プログラムが，データベース更新の途中で異常終了した場合，ロールバック処理によってデータベースを復元する。このとき使用する情報はどれか。,4,最新のスナップショット情報,最新のバックアップファイル情報,ログファイルの更新後情報,ログファイルの更新前情報,平成29年秋期 午前問30
RDBMSの機能によって実現されるトランザクションの性質はどれか。,1,ACID特性,関数従属性,候補キーの一意性,データ独立性,平成29年秋期 午前問29
SQL文においてFOREIGN KEYとREFERENCESを用いて指定する制約はどれか。,3,キー制約,検査制約,参照制約,表明,平成29年秋期 午前問27
クライアントサーバシステムにおいて，利用頻度の高い命令群をあらかじめサーバ上のDBMSに格納しておくことによって，クライアントサーバ間のネットワーク負荷を軽減する仕組みはどれか。,4,2相コミットメント,グループコミットメント,サーバプロセスのマルチスレッド化,ストアドプロシージャ,平成29年秋期 午前問26
3次元CGのレンダリングにおける，隠線消去及び隠面消去の説明はどれか。,2,光源の位置と対象物体への光の当たり具合とを解析し，どのような色・明るさで見えるのかを決定する。,指定された視点から見える部分だけを描くようにする。,生成された画像について，表示する画面に収まる部分だけを表示する。,物体の表面だけでなく物体の内部や背後に隠れた部分の形状も，半透明表示などによって画像として生成する。,平成29年秋期 午前問25
次の方式によって求められるチェックディジットを付加した結果はどれか。ここで，データを7394，重み付け定数を1234，基数を11とする。     〔方式〕     (1):データと重み付け定数の，対応する桁ごとの積を求め，それらの和を求める。     (2):和を基数で割って，余りを求める。     (3)基数から余りを減じ，その結果の1の位をチェックディジットとしてデータの末尾に付加する。,1,73940,73941,73944,73947,平成29年秋期 午前問24
アクチュエータの機能として，適切なものはどれか。,3,アナログ電気信号を，コンピュータが処理可能なディジタル信号に変える。,キーボード，タッチパネルなどに使用され，コンピュータに情報を入力する。,コンピュータが出力した電気信号を力学的な運動に変える。,物理量を検出して，電気信号に変える。,平成29年秋期 午前問22
コンデンサに蓄えた電荷の有無で情報を記憶するメモリはどれか。,2,EEPROM,SDRAM,SRAM,フラッシュメモリ,平成29年秋期 午前問21
ページング方式の仮想記憶において，ページフォールトの発生回数を増加させる要因はどれか。,1,主記憶に存在しないページへのアクセスが増加すること,主記憶に存在するページへのアクセスが増加すること,主記憶のページのうち，更新されたページの比率が高くなること,長時間アクセスしなかった主記憶のページをアクセスすること,平成29年秋期 午前問20
優先度に基づくプリエンプティブなスケジューリングを行うリアルタイムOSで，二つのタスクA，Bをスケジューリングする。Aの方がBより優先度が高い場合にリアルタイムOSが行う動作のうち，適切なものはどれか。,3,Aの実行中にBに起動がかかると，Aを実行可能状態にしてBを実行する。,Aの実行中にBに起動がかかると，Aを待ち状態にしてBを実行する。,Bの実行中にAに起動がかかると，Bを実行可能状態にしてAを実行する。,Bの実行中にAに起動がかかると，Bを待ち状態にしてAを実行する。,平成29年秋期 午前問18
ソフトウェア制御における，ポーリング制御はどれか。,1,CPUが状態レジスタ又はビジー信号などを読み出して，入出力装置の状態を監視する。,実行中の処理を一時的に中断して，緊急度の高い別の処理を実行する。,送信側のタスクがメモリにデータを格納し，受信側のタスクにそのアドレスを伝える。,複数のタスクが利用する共有資源を，一つのタスクが占有できるようにする。,平成29年秋期 午前問17
メモリリークの説明として，適切なものはどれか。,1,OSやアプリケーションのバグなどが原因で，動作中に確保した主記憶が解放されないことであり，これが発生すると主記憶中の利用可能な部分が減少する。,アプリケーションの同時実行数を増やした場合に，主記憶容量が不足し，処理時間のほとんどがページングに費やされ，スループットの極端な低下を招くことである。,実行時のプログラム領域の大きさに制限があるときに，必要になったモジュールを主記憶に取り込む手法である。,主記憶で利用可能な空き領域の総量は足りているのに，主記憶中に不連続で散在しているので，大きなプログラムをロードする領域が確保できないことである。,平成29年秋期 午前問16
MTBFが45時間でMTTRが5時間の装置がある。この装置を二つ直列に接続したシステムの稼働率は幾らか。,1,0.81,0.90,0.95,0.99,平成29年秋期 午前問15
社内業務システムをクラウドサービスへ移行することによって得られるメリットはどれか。,1,PaaSを利用すると，プラットフォームの管理やOSのアップデートは，サービスを提供するプロバイダが行うので，導入や運用の負担を軽減することができる。,オンプレミスで運用していた社内固有の機能を有する社内業務システムをSaaSで提供されるシステムヘ移行する場合，社内固有の機能の移行も容易である。,社内業務システムの開発や評価で一時的に使う場合，SaaSを利用することによって自由度の高い開発環境が整えられる。,非常に高い可用性が求められる社内業務システムをIaaSに移行する場合，いずれのプロバイダも高可用性を保証しているので移行が容易である。,平成29年秋期 午前問14
デュアルシステムの説明として，最も適切なものはどれか。,1,同じ処理を行うシステムを二重に用意し，処理結果を照合することで処理の正しさを確認する。どちらかのシステムに障害が発生した場合は，縮退運転によって処理を継続する。,オンライン処理を行う現用系と，バッチ処理などを行いながら待機させる待機系を用意し，現用系に障害が発生した場合は待機系に切り替え，オンライン処理を続行する。,待機系に現用系のオンライン処理プログラムをロードして待機させておき，現用系に障害が発生した場合は，即時に待機系に切り替えて処理を続行する。,プロセッサ，メモリ，チャネル，電源系などを二重に用意しておき，それぞれの装置で片方に障害が発生した場合でも，処理を継続する。,平成29年秋期 午前問13
RAID5の記録方式に関する記述のうち，適切なものはどれか。,3,複数の磁気ディスクに分散してバイト単位でデータを書き込み，さらに，1台の磁気ディスクにパリティを書き込む。,複数の磁気ディスクに分散してビット単位でデータを書き込み，さらに，複数の磁気ディスクにエラー訂正符号(ECC)を書き込む。,複数の磁気ディスクに分散してブロック単位でデータを書き込み，さらに，複数の磁気ディスクに分散してパリティを書き込む。,ミラーディスクを構成するために，磁気ディスク2台に同じ内容を書き込む。,平成29年秋期 午前問12
外部割込みに分類されるものはどれか。,1,インターバルタイマによって，指定時間経過時に生じる割込み,演算結果のオーバフローやゼロによる除算で生じる割込み,仮想記憶管理において，存在しないページへのアクセスによって生じる割込み,ソフトウェア割込み命令の実行によって生じる割込み,平成29年秋期 午前問10
平均命令実行時間が20ナノ秒のコンピュータがある。このコンピュータの性能は何MIPSか。,4,5,10,20,50,平成29年秋期 午前問9
Perlの実行に関する記述のうち，適切なものはどれか。,4,UNIX用として開発されており，Windows用の言語処理系はない。,実行にWebサーバを必要とする言語であり，CGIの開発に適している。,動的デバッグは，言語処理系から独立したプログラムを実行して行う。,プログラムをコンパイルしたファイルを事前に用意する必要はない。,平成29年秋期 午前問8
オブジェクト指向プログラミングにおける，多相性を実現するためのオーバーライドの説明はどれか。,2,オブジェクト内の詳細な仕様や構造を外部から隠蔽すること,スーパークラスで定義されたメソッドをサブクラスで再定義すること,同一クラス内に，メソッド名が同一で，引数の型，個数，並び順が異なる複数のメソッドを定義すること,複数のクラスの共通する性質をまとめて，抽象化したクラスを作ること,平成29年秋期 午前問7
再帰呼出しの説明はどれか。,2,あらかじめ決められた順番ではなく，起きた事象に応じた処理を行うこと,関数の中で自分自身を用いた処理を行うこと,処理が終了した関数をメモリから消去せず，必要になったとき再び用いること,処理に失敗したときに，その処理を呼び出す直前の状態に戻すこと,平成29年秋期 午前問6
A，B，C，Dの順に到着するデータに対して，一つのスタックだけを用いて出力可能なデータ列はどれか。,3,A，D，B，C,B，D，A，C,C，B，D，A,D，C，A，B,平成29年秋期 午前問5
フィードバック制御の説明として，適切なものはどれか。,3,あらかじめ定められた順序で制御を行う。,外乱の影響が出力に現れる前に制御を行う。,出力結果と目標値とを比較して，一致するように制御を行う。,出力結果を使用せず制御を行う。,平成29年秋期 午前問3
送信側では，ビット列をある生成多項式で割った余りをそのビット列に付加して送信し，受信側では，受信したビット列が同じ生成多項式で割り切れるか否かで誤りの発生を判断する誤り検査方式はどれか。,1,CRC方式,垂直パリティチェック方式,水平パリティチェック方式,ハミング符号方式,平成29年秋期 午前問2
数値を2進数で表すレジスタがある。このレジスタに格納されている正の整数xを10倍する操作はどれか。ここで，桁あふれは，起こらないものとする。,1,xを2ビット左にシフトした値にxを加算し，更に1ビット左にシフトする。,xを2ビット左にシフトした値にxを加算し，更に2ビット左にシフトする。,xを3ビット左にシフトした値と，xを2ビット左にシフトした値を加算する。,xを3ビット左にシフトした値にxを加算し，更に1ビット左にシフトする。,平成29年秋期 午前問1
