派遣元会社A社と派遣先会社B社が派遣契約を結び，A社は社員であるN氏を派遣した。労働者派遣法に照らして適切な行為はどれか。,3,B社の繁忙期とN氏の休暇申請が重なったので，B社から直接N氏に休暇の変更を指示した。,N氏からの作業環境に関する苦情に対し，B社は雇用関係にないので，対応はA社だけで行った。,N氏は派遣期間中の仕事に関する指示を，B社の担当者から直接受けることにした。,派遣期間中にN氏の作業時間が空いたので，B社は派遣取決め以外の作業を依頼した。,平成24年秋期 午前問80
SWOT分析を用いて識別した，自社製品に関する外部要因はどれか。,3,機能面における強み,コスト競争力,新規参入による脅威,品質における弱み,平成24年秋期 午前問67
共通フレーム2007によれば，企画プロセスで定義するものはどれか。,3,新しい業務の在り方や業務手順，入出力情報，業務を実施する上での責任と権限，業務上のルールや制約などの要求事項,業務要件を実現するために必要なシステムの機能や，システムの開発方式，システムの運用手順，障害復旧時間などの要求事項,経営事業の目的，目標を達成するために必要なシステムに関係する経営上のニーズ，システム化，システム改善を必要とする業務上の課題などの要求事項,求められているシステムを実現するために必要なシステムの機能，能力，ライフサイクル，信頼性，安全性，セキュリティなどの要求事項,平成24年秋期 午前問66
情報化に関する費用のうち，ランニングコストに該当するものはどれか。,1,サーバなど情報機器の保守費用,情報システム戦略立案のコンサルティング費用,ソフトウェアパッケージの導入費用,要件定義を行うシステムエンジニアの費用,平成24年秋期 午前問65
SaaSを説明したものはどれか。,1,インターネット経由でアプリケーションソフトウェアの機能を，必要なときだけ利用者に提供するサービスのこと,企業の経営資源を有効に活用するために，基幹業務を統合的に管理するためのパッケージソフトウェアのこと,既存の組織やビジネスプロセスを抜本的に見直し，職務，業務フロー，管理機構，情報システムを再設計すること,発注者とサービス提供者との間で，サービスの品質の内容について合意した文書のこと,平成24年秋期 午前問63
BPMの説明はどれか。,2,企業活動の主となる生産，物流，販売，財務，人事などの業務の情報を一元管理することによって，経営資源の全体最適を実現する。,業務プロセスに分析，設計，実行，改善のマネジメントサイクルを取り入れ，業務プロセスの改善見直しや最適なプロセスへの統合を継続的に実施する。,顧客データベースを基に，商品の販売から保守サービス，問合せやクレームへの対応など顧客に関する業務プロセスを一貫して管理する。,部品の供給から製品の販売までの一連の業務プロセスの情報をリアルタイムで交換することによって，在庫の削減とリードタイムの短縮を実現する。,平成24年秋期 午前問62
"システム管理基準"によれば，情報戦略における情報システム全体の最適化目標を設定する際の留意事項はどれか。,3,開発，運用及び保守の費用の算出基礎を明確にすること,開発の規模，システム特性等を考慮して開発手順を決めておくこと,経営戦略との整合性を考慮すること,必要な要員，予算，設備，期間等を確保すること,平成24年秋期 午前問61
マスタファイル管理に関するシステム監査項目のうち，可用性に該当するものはどれか。,1,マスタファイルが置かれているサーバを二重化し，耐障害性の向上を図っていること,マスタファイルのデータを複数件まとめて検索・加工するための機能が，システムに盛り込まれていること,マスタファイルのメンテナンスは，特権アカウントを付与された者だけに許されていること,マスタファイルへのデータ入力チェック機能が，システムに盛り込まれていること,平成24年秋期 午前問60
経済産業省の"営業秘密管理指針"に基づく営業秘密データの管理状況について監査を行うとき，秘密管理性のチェックポイントはどれか。,2,当該データが経営効率の改善に役立っているかどうかを分析していること,当該データの記録媒体に秘密を意味する表示をしていること,当該データの内容が刊行物に掲載されていないかを定期的に確認していること,当該データの内容が公序良俗に反していないかを確認していること,平成24年秋期 午前問59
リスクアセスメントに基づく監査対象の選定として，適切なものはどれか。,4,運用開始時期の順に，全てのシステムを対象とする。,監査実施体制を踏まえて，実施可能なシステムを対象とする。,無作為に抽出したシステムを対象とする。,問題発生の可能性とその影響の大きなシステムを対象とする。,平成24年秋期 午前問58
ソースコードのバージョン管理システムが導入された場合に，システム監査において，ソースコードの機密性のチェックポイントとして追加することが適切なものはどれか。,2,バージョン管理システムに登録した変更結果を責任者が承認していること,バージョン管理システムのアクセスコントロールの設定が適切であること,バージョン管理システムの導入コストが適正な水準にあること,バージョン管理システムを開発部門が選定していること,平成24年秋期 午前問57
ITIL v3における問題管理プロセスの目標はどれか。,3,インシデントに対する既存ITサービスへの変更や新規サービスの導入を効率的かつ安全に実施する。,インシデントによって中断したITサービスを合意した時間内に復旧する。,インシデントの根本原因を突き止めて排除したり，インシデントの発生を予防したりする。,利用者に単一窓口を提供し，事業への影響を最小限にし，通常サービスへ復帰できるように支援する。,平成24年秋期 午前問56
システムの移行方式の一つである一斉移行方式の特徴はどれか。,3,新旧システム間を接続するアプリケーションが必要となる。,新旧システムを並行させて運用し，ある時点で新システムに移行する。,新システムヘの移行時のトラブルの影響が大きい。,並行して稼働させるための運用コストが発生する。,平成24年秋期 午前問55
データの追加・変更・削除が，少ないながらも一定の頻度で行われるデータベースがある。このデータベースのフルバックアップを磁気テープに取得する時間間隔を今までの2倍にした。このとき，データベースのバックアップ又は復旧に関する記述のうち，適切なものはどれか。,1,ジャーナル情報からの復旧処理時間が平均して約2倍になる。,フルバックアップ1回当たりの磁気テープ使用量が約2倍になる。,フルバックアップ1回当たりの磁気テープ使用量が約半分になる。,フルバックアップ取得の平均実行時間が約2倍になる。,平成24年秋期 午前問54
ある新規システムの開発規模を見積もったところ，500ファンクションポイント(FP)であった。このシステムを構築するプロジェクトには，開発工数の他にシステムの導入や開発者教育の工数が10人月必要である。また，プロジェクト管理に，開発と導入・教育を合わせた工数の10%を要する。このプロジェクトに要する全工数は何人月か。ここで，開発の生産性は1人月当たり10FPとする。,4,51,60,65,66,平成24年秋期 午前問53
プロジェクトスコープマネジメントにおいて，WBS作成のプロセスで行うことはどれか。,2,作業の工数を算定してコストを見積もる。,作業を階層的に細分化する。,作業を順序付けして，スケジュールとして組み立てる。,成果物を生成するアクティビティを定義する。,平成24年秋期 午前問51
システムの外部設計を完了させるとき，承認を受けるものとして，適切なものはどれか。,1,画面レイアウト,システム開発計画,物理データベース仕様,プログラム流れ図,平成24年秋期 午前問50
運用テストにおける検査内容として，適切なものはどれか。,4,個々のソフトウェアユニットについて，仕様を満足していることを確認する。,ソフトウェア品目の中で使用しているアルゴリズムの妥当性を確認する。,ソフトウェアユニット間のインタフェースが整合していることを確認する。,利用者に提供するという視点で，システムが要求を満足していることを確認する。,平成24年秋期 午前問49
ブラックボックステストに関する記述として，適切なものはどれか。,2,テストデータの作成基準として，命令や分岐の網羅率を使用する。,被テストプログラムに冗長なコードがあっても検出できない。,プログラムの内部構造に着目し，必要な部分が実行されたかどうかを検証する。,分岐命令やモジュールの数が増えると，テストデータが急増する。,平成24年秋期 午前問48
オブジェクト指向におけるカプセル化を説明したものはどれか。,4,同じ性質をもつ複数のオブジェクトを抽象化して，整理すること,基底クラスの性質を派生クラスに受け継がせること,クラス間に共通する性質を抽出し，基底クラスを作ること,データとそれを操作する手続を一つのオブジェクトにして，その実装をオブジェクトの内部に隠蔽すること,平成24年秋期 午前問47
UMLのダイアグラムのうち，インスタンス間の関係を表現するものはどれか。,2,アクティビティ図,オブジェクト図,コンポーネント図,ユースケース図,平成24年秋期 午前問46
安全性や信頼性を確保するための設計のうち，フールプルーフに該当するものはどれか。,4,装置が故障したときは，システムが安全に停止するようにして，被害を最小限に抑える。,装置が故障したときは，利用できる機能を制限したり，処理能力を低下させたりしても，システムは稼働させる。,装置が故障しても，システム全体の機能に影響がないように，二重化などの冗長な構成とする。,利用者が誤った操作をしても，システムに異常が起こらないようにする。,平成24年秋期 午前問45
コンピュータやネットワークのセキュリティ上の脆弱性を発見するために，システムを実際に攻撃して侵入を試みる手法はどれか。,3,ウォークスルー,ソフトウェアインスペクション,ペネトレーションテスト,リグレッションテスト,平成24年秋期 午前問44
ウイルスの調査手法に関する記述のうち，適切なものはどれか。,1,逆アセンブルはバイナリコードの新種ウイルスの動作を解明するのに有効な手法である。,パターンマッチングでウイルスを検知する方式は，暗号化された文書中のマクロウイルスの動作を解明するのに有効な手法である。,ファイルのハッシュ値を基にウイルスを検知する方式は，未知のウイルスがどのウイルスの亜種かを特定するのに確実な手法である。,不正な動作からウイルスを検知する方式は，ウイルス名を特定するのに確実な手法である。,平成24年秋期 午前問43
ファイルの属性情報として，読取り，書込み，実行の権限を独立に設定できるOSがある。この3種類の権限は，それぞれに1ビットを使って許可，不許可を設定する。この3ビットを8進数表現0～7の数字で設定するとき，次の試行結果から考えて，適切なものはどれか。     〔試行結果〕     ①0を設定したら，読取り，書込み，実行ができなくなってしまった。     ②3を設定したら，読取りと書込みはできたが，実行ができなかった。     ③7を設定したら，読取り，書込み，実行ができるようになった。,2,2を設定すると，読取りと実行ができる。,4を設定すると，実行だけができる。,5を設定すると，書込みだけができる。,6を設定すると，読取りと書込みができる。,平成24年秋期 午前問42
Webサーバのコンテンツの改ざんを検知する方法のうち，最も有効なものはどれか。,2,Webサーバのコンテンツの各ファイルの更新日を保管しておき，定期的に各ファイルの更新日と比較する。,Webサーバのコンテンツの各ファイルのハッシュ値を保管しておき，定期的に各ファイルから生成したハッシュ値と比較する。,Webサーバのメモリ使用率を定期的に確認し，バッファオーバフローが発生していないことを確認する。,Webサーバへの通信を監視し，HTTP，HTTPS以外の通信がないことを確認する。,平成24年秋期 午前問41
SQLインジェクションの説明はどれか。,1,Webアプリケーションに問題があるとき，データベースに悪意のある問合せや操作を行う命令文を入力して，データベースのデータを改ざんしたり不正に取得したりする攻撃,悪意のあるスクリプトを埋め込んだWebページを訪問者に閲覧させて，別のWebサイトで，その訪問者が意図しない操作を行わせる攻撃,市販されているDBMSの脆弱性を利用することによって，宿主となるデータベーサーバを探して自己伝染を繰り返し，インターネットのトラフィックを急増させる攻撃,訪問者の入力データをそのまま画面に表示するWebサイトに対して，悪意のあるスクリプトを埋め込んだ入力データを送ることによって，訪問者のブラウザで実行させる攻撃,平成24年秋期 午前問40
バイオメトリクス認証には身体的特徴を抽出して認証する方式と行動的特徴を抽出して認証する方式がある。行動的特徴を用いているものはどれか。,2,血管の分岐点の分岐角度や分岐点間の長さから特徴を抽出して認証する。,署名するときの速度や筆圧から特徴を抽出して認証する。,どう孔から外側に向かって発生するカオス状のしわの特徴を抽出して認証する。,隆線によって形作られる紋様からマニーシャと呼ばれる特徴点を抽出して認証する。,平成24年秋期 午前問39
DNSキャッシュポイズニングに分類される攻撃内容はどれか。,2,DNSサーバのソフトウェアのバージョン情報を入手して，DNSサーバのセキュリティホールを特定する。,PCが参照するDNSサーバに誤ったドメイン情報を注入して，偽装されたWebサーバにPCの利用者を誘導する。,攻撃対象のサービスを妨害するために，攻撃者がDNSサーバを踏み台に利用して再帰的な問合せを大量に行う。,内部情報を入手するために，DNSサーバが保存するゾーン情報をまとめて転送させる。,平成24年秋期 午前問37
2台のPCにIPv4アドレスを割り振りたい。サブネットマスクが255.255.255.240のとき，両PCのIPv4アドレスが同一ネットワークに所属する組合せはどれか。,2,192.168.1.14と192.168.1.17,192.168.1.17と192.168.1.29,192.168.1.29と192.168.1.33,192.168.1.33と192.168.1.49,平成24年秋期 午前問36
ネットワーク機器の一つであるスイッチングハブ(レイヤ2スイッチ)の機能として，適切なものはどれか。,2,LANポートに接続された端末に対して，lPアドレスの動的な割当てを行う。,受信したパケットを，宛先MACアドレスが存在するLANポートだけに転送する。,受信したパケットを，全てのLANポートに転送(ブロードキャスト)する。,受信したパケットを，ネットワーク層で分割(フラグメンテーション)する。,平成24年秋期 午前問35
OSI基本参照モデルにおいて，エンドシステム間のデータ伝送の中継と経路制御の機能をもつ層はどれか。,4,セション層,データリンク層,トランスポート層,ネットワーク層,平成24年秋期 午前問34
通信速度64000ビット／秒の専用線で接続された端末間で，平均1000バイトのファイルを，2秒ごとに転送するときの回線利用率(％)はどれか。ここで，ファイル転送に伴い，転送量の20％の制御情報が付加されるものとする。,3,0.9,6.3,7.5,30.0,平成24年秋期 午前問32
DBMSが，データベースの更新に対して保証すべき原子性(atomicity)の単位はどれか。,4,DBMSの起動から停止まで,チェックポイントから次のチェックポイントまで,データベースのバックアップ取得から媒体障害の発生時点まで,トランザクションの開始からコミット又はロールバックまで,平成24年秋期 午前問30
新たにデータ項目の命名規約を設ける場合，次の命名規約だけでは回避できない問題はどれか。     〔命名規約〕     (1):データ項目名の末尾には必ず"名"，"コード"，"数"，"金額"，"年月日"などの区分語を付与し，区分語ごとに定めたデータ型にする。     (2):データ項目名と意味を登録した辞書を作成し，異音同義語や同音異義語が発生しないようにする。,2,データ項目"受信年月日"のデータ型として，日付型と文字列型が混在する。,データ項目"受注金額"の取り得る値の範囲がテーブルによって異なる。,データ項目"賞与金額"と同じ意味で"ボーナス金額"というデータ項目がある。,データ項目"取引先"が，"取引先コード"か"取引先名"か，判別できない。,平成24年秋期 午前問28
関係データベースの表の列に利用者がインデックスを設定する目的はどれか。,2,外部キーの列の値を別の表の主キーの値に一致させる。,データの格納位置への効率的なアクセスが可能となり，検索速度の向上が期待できる。,一つの大きなテーブルを複数のディスクに分散格納する場合，ディスク容量が節約できる。,列内に重複する値がないようにする。,平成24年秋期 午前問27
E-R図の説明のうち，適切なものはどれか。,1,エンティティタイプ間には，1対多，多対多などのリレーションシップがある。,エンティティタイプ間の関連は，参照側から被参照側への方向の矢印線で表現する。,エンティティタイプには属性をもたせないで，リレーションシップタイプに属性をもたせる。,エンティティタイプの中に関連先のエンティティ名を記述することによって，リレーションシップを表す。,平成24年秋期 午前問26
Webページのスタイルを定義する仕組みはどれか。,2,CMS,CSS,PNG,SVG,平成24年秋期 午前問24
二つの安定状態をもつ順序回路はどれか。,4,NANDゲート,加算器,コンデンサ,フリップフロップ,平成24年秋期 午前問23
ソフトウェアの統合開発環境として提供されているOSSはどれか。,1,Eclipse,GCC,Linux,Tomcat,平成24年秋期 午前問21
プログラムを構成するモジュールの結合を，プログラムの実行時に行う方式はどれか。,4,インタプリタ,オーバレイ,静的リンキング,動的リンキング,平成24年秋期 午前問20
ページング方式の仮想記憶において，ページ置換えアルゴリズムにLRU方式を採用する。主記憶に割り当てられるページ枠が4のとき，ページ1，2，3，4，5，2，1，3，2，6の順にアクセスすると，ページ6をアクセスする時点で置き換えられるページはどれか。ここで，初期状態では主記憶にどのページも存在しないものとする。,4,1,2,4,5,平成24年秋期 午前問19
OSが記憶領域の割当てと解放を繰り返すことによって，細切れの未使用領域が多数できてしまう場合がある。この現象を何というか。,3,コンパクション,スワッピング,フラグメンテーション,ページング,平成24年秋期 午前問18
タスクスケジューリング方式の説明のうち，特定のタスクがCPU資源の割当てを待ち続ける可能性が最も高いものはどれか。,3,各タスクの優先度を決めて，優先度が高い順に実行し，CPU割当てまでの待ち時間の長さに応じて優先度を徐々に上げていく。,各タスクを実行可能待ち行列に置かれた順に実行し，一定時間が経過したら実行を中断して実行可能待ち行列の最後尾に加える。,処理予定時間が最も短いタスクから順に処理を実行する。現在実行中の処理が終了するか，又は何らかの要因によって中断されたとき，次のタスクを開始する。,タスクがシステムに到着した順に実行可能待ち行列の最後尾に加え，常に実行可能待ち行列の先頭のタスクにCPUを割り当てる。,平成24年秋期 午前問17
コンピュータシステムの信頼性に関する記述のうち，適切なものはどれか。,4,システムの遠隔保守は，MTTRを長くし，稼働率を向上させる。,システムの稼働率は，MTTRとMTBFを長くすることで向上する。,システムの構成が複雑なほど，MTBFは長くなる。,システムの予防保守は，MTBFを長くするために行う。,平成24年秋期 午前問16
デュアルシステムの説明として，最も適切なものはどれか。,1,同じ処理を行うシステムを二重に用意し，処理結果を照合することで処理の正しさを確認する。どちらかのシステムに障害が発生した場合は，縮退運転によって処理を継続する。,オンライン処理を行う現用系と，バッチ処理などを行いながら待機させる待機系を用意し，現用系に障害が発生した場合は待機系に切り替え，オンライン処理を続行する。,待機系に現用系のオンライン処理プログラムをロードして待機させておき，現用系に障害が発生した場合は，即時に待機系に切り替えて処理を続行する。,プロセッサ，メモリ，チャネル，電源系などを二重に用意しておき，それぞれの装置で片方に障害が発生した場合でも，処理を継続する。,平成24年秋期 午前問14
3層クライアントサーバシステム構成で実現したWebシステムの特徴として，適切なものはどれか。,3,HTMLで記述されたプログラムをサーバ側で動作させ，クライアントソフトはその結果を画面に表示する。,業務処理の変更のたびに，Webシステムを動作させるための業務処理用アプリケーションを配布し，クライアント端末にインストールする必要がある。,業務処理はサーバ側で実行し，クライアントソフトはHTMLの記述に従って，その結果を画面に表示する。,クライアント端末には，サーバ側からのHTTP要求を待ち受けるサービスを常駐させておく必要がある。,平成24年秋期 午前問13
96dpiのディスプレイに12ポイントの文字をビットマップで表示したい。正方フォントの縦は何ドットになるか。ここで，1ポイントは1／72インチとする。,4,8,9,12,16,平成24年秋期 午前問12
並列にアクセス可能な複数台の磁気ディスクに，各ファイルのデータを一定サイズのブロックに分割して分散配置し，ファイルアクセスの高速化を図る手法はどれか。,3,ディスクアットワンス,ディスクキャッシュ,ディスクストライピング,ディスクミラーリング,平成24年秋期 午前問11
主記憶のアクセス時間が60ナノ秒，キャッシュメモリのアクセス時間が10ナノ秒であるシステムがある。キャッシュメモリを介して主記憶にアクセスする場合の実効アクセス時間が15ナノ秒であるとき，キャッシュメモリのヒット率は幾らか。,4,0.1,0.17,0.83,0.9,平成24年秋期 午前問10
割込み発生時のプロセッサの処理手順はどれか。     ①プログラムレジスタ(プログラムカウンタ)などの退避     ②ユーザモードから特権モードへの移行     ③割込み処理ルーチンの開始番地の決定     ④割込み処理ルーチンの実行,3,① → ③ → ④ → ②,① → ④ → ② → ③,② → ① → ③ → ④,② → ③ → ④ → ①,平成24年秋期 午前問9
XMLの特徴として，最も適切なものはどれか。,2,XMLでは，HTMLにWebページの表示性能の向上を主な目的とした機能を追加している。,XMLでは，ネットワークを介した情報システム間のデータ交換を容易にするために，任意のタグを定義することができる。,XMLで用いることができるスタイル言語は，HTMLと同じものである。,XMLは，SGMLを基に開発されたHTMLとは異なり，独自の仕様として開発された。,平成24年秋期 午前問8
四つのデータA，B，C，Dがこの順に入っているキューと空のスタックがある。手続pop_enq，deq_pushを使ってキューの中のデータをD，C，B，Aの順に並べ替えるとき，deq_pushの実行回数は最小で何回か。ここで，pop_enqはスタックから取り出したデータをキューに入れる操作であり，deq_pushはキューから取り出したデータをスタックに入れる操作である。,2,2,3,4,5,平成24年秋期 午前問5
英字の大文字(A～Z)と数字(0～9)を同一のビット数で一意にコード化するには，少なくとも何ビットが必要か。,2,5,6,7,8,平成24年秋期 午前問4
8ビットの2進数11010000を右に2ビット算術シフトしたものを，00010100から減じた値はどれか。ここで，負の数は2の補数表現によるものとする。,3,00001000,00011111,00100000,11100000,平成24年秋期 午前問1
