CSR調達に該当するものはどれか。,3,コストを最小化するために，最も安価な製品を選ぶ。,災害時に調達が不可能となる事態を避けるために，調達先を複数化する。,自然環境，人権などへの配慮を調達基準として示し，調達先に遵守を求める。,物品の購買に当たってEDIを利用し，迅速かつ正確な調達を行う。,平成28年秋期 午前問65
企業活動におけるBPM(Business Process Management)の目的はどれか。,1,業務プロセスの継続的な改善,経営資源の有効活用,顧客情報の管理，分析,情報資源の分析，有効活用,平成28年秋期 午前問63
エンタープライズアーキテクチャ(EA)を説明したものはどれか。,3,オブジェクト指向設計を支援する様々な手法を統一して標準化したものであり，クラス図などのモデル図によってシステムの分析や設計を行うための技法である。,概念データモデルを，エンティティとリレーションシップで表現することによって，データ構造やデータ項目間の関係を明らかにするための技法である。,各業務と情報システムを，ビジネス，データ，アプリケーション，テクノロジの四つの体系で分析し，全体最適化の観点から見直すための技法である。,企業のビジネスプロセスを，データフロー，プロセス，ファイル，データ源泉／データ吸収の四つの基本要素で抽象化して表現するための技法である。,平成28年秋期 午前問61
事業継続計画(BCP)について監査を実施した結果，適切な状況と判断されるものはどれか。,1,従業員の緊急連絡先リストを作成し，最新版に更新している。,重要書類は複製せずに1か所で集中保管している。,全ての業務について，優先順位なしに同一水準のBCPを策定している。,平時にはBCPを従業員に非公開としている。,平成28年秋期 午前問60
情報セキュリティ監査において，可用性を確認するチェック項目はどれか。,2,外部記憶媒体の無断持出しが禁止されていること,中断時間を定めたSLAの水準が保たれるように管理されていること,データ入力時のエラーチェックが適切に行われていること,データベースが暗号化されていること,平成28年秋期 午前問59
"システム管理基準"に基づいて，システムの信頼性，安全性，効率性を監査する際に，システムが不正な使用から保護されているかどうかという安全性の検証項目として，最も適切なものはどれか。,1,アクセス管理機能の検証,フェールソフト機能の検証,フォールトトレラント機能の検証,リカバリ機能の検証,平成28年秋期 午前問58
ITILでは，可用性管理における重要業績評価指標(KPI)の例として，保守性を表す指標値の短縮を挙げている。この指標に該当するものはどれか。,4,一定期間内での中断の数,平均故障間隔,平均サービス・インシデント間隔,平均サービス回復時間,平成28年秋期 午前問57
JIS Q 20000-1は，サービスマネジメントシステム(SMS)及びサービスのあらゆる場面でPDCA方法論の適用を要求している。SMSの計画(Plan)に含まれる活動はどれか。,2,あらかじめ定めた間隔でのマネジメントレビューの実施とその記録の維持,権限，責任及び，プロセスにおける役割についての枠組みの作成,資金及び予算の割当て及び管理の活動を通じた，SMSの導入及び運用,承認された改善についての計画の作成，改善の実施とその報告,平成28年秋期 午前問56
ITILによれば，サービスデスク組織の特徴のうち，バーチャル・サービスデスクのものはどれか。,1,サービスデスク・スタッフは複数の地域に分散しているが，通信技術を利用することによって，利用者からは単一のサービスデスクのように見える。,専任のサービスデスク・スタッフは置かず，研究や開発，営業などの業務の担当者が兼任で運営する。,費用対効果の向上やコミュニケーション効率の向上を目的として，サービスデスク・スタッフを単一又は少数の場所に集中させる。,利用者の拠点と同じ場所か，物理的に近い場所に存在している。,平成28年秋期 午前問55
ファンクションポイント法で，システムの開発規模を見積もるときに際に必要となる情報はどれか。,2,開発者数,画面数,プログラムステップ数,利用者数,平成28年秋期 午前問53
プロジェクトのスケジュールを短縮するために，アクティビティに割り当てる資源を増やして，アクティビティの所要期間を短縮する技法はどれか。,1,クラッシング,クリティカルチェーン法,ファストトラッキング,モンテカルロ法,平成28年秋期 午前問52
プロジェクトマネジメントのプロセスのうち，計画プロセスグループ内で実施するプロセスはどれか。,1,スコープの定義,ステークホルダの特定,品質保証の実施,プロジェクト憲章の作成,平成28年秋期 午前問51
モデリングツールを使用して，本稼働中のデータベースシステムの定義情報からE-R図などで表現した設計書を生成する手法はどれか。,4,コンカレントエンジニアリング,ソーシャルエンジニアリング,フォワードエンジニアリング,リバースエンジニアリング,平成28年秋期 午前問50
階層構造のモジュール群から成るソフトウェアの結合テストを，上位のモジュールから行う。この場合に使用する，下位モジュールの代替となるテスト用のモジュールはどれか。,3,エミュレータ,シミュレータ,スタブ,ドライバ,平成28年秋期 午前問49
整数1～1000を有効とする入力値が，1～100の場合は処理Aを，101～1000の場合は処理Bを実行する入力処理モジュールを，同値分割法と境界値分析によってテストする。次の条件でテストするとき，テストデータの最小個数は幾つか。     〔条件〕     ①有効同値クラスの1クラスにつき，一つの値をテストデータとする。ただし，テストする値は境界値でないものとする。     ②有効同値クラス，無効同値クラスの全ての境界値をテストデータとする。,4,5,6,7,8,平成28年秋期 午前問48
オブジェクト指向におけるカプセル化を説明したものはどれか。,4,同じ性質をもつ複数のオブジェクトを抽象化して，整理すること,基底クラスの性質を派生クラスに受け継がせること,クラス間に共通する性質を抽出し，基底クラスを作ること,データとそれを操作する手続を一つのオブジェクトにして，データと手続の詳細をオブジェクトの外部から隠蔽すること,平成28年秋期 午前問47
安全性や信頼性を確保するための設計のうち，フールプルーフに該当するものはどれか。,4,装置が故障したときは，システムが安全に停止するようにして，被害を最小限に抑える。,装置が故障したときは，利用できる機能を制限したり，処理能力を低下させたりしても，システムは稼働させる。,装置が故障しても，システム全体の機能に影響がないように，二重化などの冗長な構成とする。,利用者が誤った操作をしても，システムに異常が起こらないようにする。,平成28年秋期 午前問46
PCへの侵入に成功したマルウェアがインターネット上の指令サーバと通信を行う場合に，宛先ポートとしてTCPポート番号80が多く使用される理由はどれか。,3,DNSのゾーン転送に使用されるので，通信がファイアウォールで許可されている可能性が高い。,WebサイトのHTTPS通信での閲覧に使用されることから，侵入検知システムで検知される可能性が低い。,Webサイトの閲覧に使用されることから，通信がファイアウォールで許可されている可能性が高い。,ドメイン名の名前解決に使用されるので，侵入検知システムで検知される可能性が低い。,平成28年秋期 午前問45
別のサービスやシステムから流出したアカウント認証情報を用いて，アカウント認証情報を使い回している利用者のアカウントを乗っ取る攻撃はどれか。,1,パスワードリスト攻撃,ブルートフォース攻撃,リバースブルートフォース攻撃,レインボー攻撃,平成28年秋期 午前問44
ウイルス検出におけるビヘイビア法に分類されるものはどれか。,4,あらかじめ検査対象に付加された，ウイルスに感染していないことを保証する情報と，検査対象から算出した情報とを比較する。,検査対象と安全な場所に保管してあるその原本とを比較する。,検査対象のハッシュ値と既知のウイルスファイルのハッシュ値とを比較する。,検査対象をメモリ上の仮想環境下で実行して，その挙動を監視する。,平成28年秋期 午前問43
WAFの説明はどれか。,1,Webサイトに対するアクセス内容を監視し，攻撃とみなされるパターンを検知したときに当該アクセスを遮断する。,Wi-Fiアライアンスが認定した無線LANの暗号化方式の規格であり，AES暗号に対応している。,様々なシステムの動作ログを一元的に蓄積，管理し，セキュリティ上の脅威となる事象をいち早く検知，分析する。,ファイアウォール機能を有し，ウイルス対策，侵入検知などを連携させ，複数のセキュリティ機能を統合的に管理する。,平成28年秋期 午前問42
サーバにバックドアを作り，サーバ内で侵入の痕跡を隠蔽するなどの機能がパッケージ化された不正なプログラムやツールはどれか。,2,RFID,rootkit,TKIP,web beacon,平成28年秋期 午前問41
ICカードとPINを用いた利用者認証における適切な運用はどれか。,4,ICカードによって個々の利用者を識別できるので，管理負荷を軽減するために全利用者に共通のPINを設定する。,ICカード紛失時には，新たなICカードを発行し，PINを再設定した後で，紛失したICカードの失効処理を行う。,PINには，ICカードの表面に刻印してある数字情報を組み合わせたものを設定する。,PINは，ICカードには同封せず，別経路で利用者に知らせる。,平成28年秋期 午前問40
PKIにおける認証局が，信頼できる第三者機関として果たす役割はどれか。,3,利用者からの要求に対して正確な時刻を返答し，時刻合わせを可能にする。,利用者から要求された電子メールの本文に対して，ディジタル署名を付与する。,利用者やサーバの公開鍵を証明するディジタル証明書を発行する。,利用者やサーバの秘密鍵を証明するディジタル証明書を発行する。,平成28年秋期 午前問39
メッセージ認証符号におけるメッセージダイジェストの利用目的はどれか。,1,メッセージが改ざんされていないことを確認する。,メッセージの暗号化方式を確認する。,メッセージの概要を確認する。,メッセージの秘匿性を確保する。,平成28年秋期 午前問38
情報の"完全性"を脅かす攻撃はどれか。,1,Webページの改ざん,システム内に保管されているデータの不正コピー,システムを過負荷状態にするDoS攻撃,通信内容の盗聴,平成28年秋期 午前問37
人間には読み取ることが可能でも，プログラムでは読み取ることが難しいという差異を利用して，ゆがめたり一部を隠したりした画像から文字を判読させ入力させることで，人間以外による自動入力を排除する技術はどれか。,1,CAPTCHA,QRコード,短縮URL,トラックバックping,平成28年秋期 午前問36
地上から高度約36000kmの静止軌道衛星を中継して，地上のA地点とB地点で通信をする。衛星とA地点，衛星とB地点の距離がどちらも37500kmであり，衛星での中継による遅延を10ミリ秒とするとき，Aから送信し始めたデータがBに到達するまでの伝送遅延時間は何秒か。ここで，電波の伝搬速度は3×10^8m／秒とする。,2,0.13,0.26,0.35,0.52,平成28年秋期 午前問35
2台のPCにIPv4アドレスを割り振りたい。サブネットマスクが255.255.255.240のとき，両PCのIPv4アドレスが同一ネットワークに所属する組合せはどれか。,2,192.168.1.14と192.168.1.17,192.168.1.17と192.168.1.29,192.168.1.29と192.168.1.33,192.168.1.33と192.168.1.49,平成28年秋期 午前問33
TCP/IPネットワークにおいて，IPアドレスを動的に割り当てるプロトコルはどれか。,2,ARP,DHCP,RIP,SMTP,平成28年秋期 午前問32
トランザクションTはチェックポイント取得後に完了したが，その後にシステム障害が発生した。データベースをトランザクションTの終了直後の状態に戻すために用いられる復旧技法はどれか。ここで，チェックポイントの他に，トランザクションログを利用する。,4,2相ロック,シャドウページ,ロールバック,ロールフォワード,平成28年秋期 午前問30
関係代数の演算のうち，関係R，Sの直積(R×S)に対応するSELECT文はどれか。ここで，関係R，Sを表R，Sに対応させ，表R及びSにそれぞれ行の重複はないものとする。,1,SELECT * FROM R，S,SELECT * FROM R EXCEPT SELECT * FROM S,SELECT * FROM R UNION SELECT * FROM S,SELECT * FROM R INTERSECT SELECT * FROM S,平成28年秋期 午前問28
E-R図に関する記述として，適切なものはどれか。,2,関係データベースの表として実装することを前提に表現する。,業務で扱う情報をエンティティ及びエンティテイ間のリレーションシップとして表現する。,データの生成から消滅に至るデータ操作を表現する。,リレーションシップは，業務上の手順を表現する。,平成28年秋期 午前問26
音声のサンプリングを1秒間に11,000回行い，サンプリングした値をそれぞれ8ビットのデータとして記録する。このとき，512×10^6バイトの容量をもつフラッシュメモリに記録できる音声の長さは，最大何分か。,3,77,96,775,969,平成28年秋期 午前問25
メモリセルにフリップフロップ回路を利用したものはどれか。,4,DRAM,EEPROM,SDRAM,SRAM,平成28年秋期 午前問22
格納アドレスが1～6の範囲の直接編成ファイルにおいて，次の条件でデータを格納した場合，アドレス1に格納されているデータのキー値はどれか。     〔条件〕     (1):キー値が3，4，8，13，14，18の順でデータを格納する。     (2):データのキー値を5で割った余りに1を加えた値を格納アドレスにする。     (3):格納アドレスに既にデータがある場合には，次のアドレスに格納する。これを格納できるまで繰り返す。最終アドレスの次は先頭とする。     (4):初期状態では，ファイルは何も格納されていない。,2,8,13,14,18,平成28年秋期 午前問20
LRUアルゴリズムで，ページ置換えの判断基準に用いられる項目はどれか。,1,最後に参照した時刻,最初に参照した時刻,単位時間当たりの参照頻度,累積の参照回数,平成28年秋期 午前問19
仮想記憶システムにおいて主記憶の容量が十分でない場合，プログラムの多重度を増加させるとシステムのオーバヘッドが増加し，アプリケーションのプロセッサ使用率が減少する状態を表すものはどれか。,1,スラッシング,フラグメンテーション,ページング,ボトルネック,平成28年秋期 午前問17
ある時間帯でのジョブの処理状況を計測したところ，次のとおりであった。どのような状況になっているか。     〔ジョブの処理状況〕     (1):多重度3でジョブを実行する。     (2):ジョブは5分間隔で発生し，実行時間は多重度に依存せず20分である。     (3):各ジョブは実行終了後にスプーリング機能を利用して印刷し，印刷時間は15分である。     (4):プリンタは2台使用する。,3,印刷待ちだけが増加している。,実行待ちだけが増加している。,実行待ちと印刷待ちが増加している。,実行待ちも印刷待ちも発生していない。,平成28年秋期 午前問16
ロードバランサを使用した負荷分散クラスタ構成と比較した場合の，ホットスタンバイ形式によるHA(High Availability)クラスタ構成の特徴はどれか。,4,稼働している複数のサーバ間で処理の整合性を取らなければならないので，データベースを共有する必要がある。,障害が発生すると稼働中の他のサーバに処理を分散させるので，稼働中のサーバの負荷が高くなり，スループットが低下する。,処理を均等にサーバに分散できるので，サーバマシンが有効に活用でき，将来の処理量の増大に対して拡張性が確保できる。,待機系サーバとして同一仕様のサーバが必要になるが，障害発生時には待機系サーバに処理を引き継ぐので，障害が発生してもスループットを維持することができる。,平成28年秋期 午前問14
3層クライアントサーバシステム構成で実現したWebシステムの特徴として，適切なものはどれか。,3,HTMLで記述されたプログラムをサーバ側で動作させ，クライアントソフトはその結果を画面に表示する。,業務処理の変更のたびに，Webシステムを動作させるための業務処理用アプリケーションを配布し，クライアント端末にインストールする必要がある。,業務処理はサーバ側で実行し，クライアントソフトはHTMLの記述に従って，その結果を画面に表示する。,クライアント端末には，サーバ側からのHTTP要求を待ち受けるサービスを常駐させておく必要がある。,平成28年秋期 午前問13
データを分散して複数の磁気ディスクに書き込むことによって，データ入出力の高速化を図る方式はどれか。,1,ストライピング,スワッピング,ディスクキャッシュ,ミラーリング,平成28年秋期 午前問12
CPUにおける投機実行の説明はどれか。,4,依存関係にない複数の命令を，プログラム中での出現順序に関係なく実行する。,パイプラインの空き時間を利用して二つのスレッドを実行し，あたかも二つのプロセッサであるかのように見せる。,二つ以上のCPUコアによって複数のスレッドを同時実行する。,分岐命令の分岐先が決まる前に，あらかじめ予測した分岐先の命令の実行を開始する。,平成28年秋期 午前問10
Web環境での動的処理を実現するプログラムであって，Webサーバ上だけで動作するものはどれか。,3,JavaScript,Javaアプレット,Javaサーブレット,VBScript,平成28年秋期 午前問8
標本化，符号化，量子化の三つの工程で，アナログをディジタルに変換する場合の順番として，適切なものはどれか。,1,標本化，量子化，符号化,符号化，量子化，標本化,量子化，標本化，符号化,量子化，符号化，標本化,平成28年秋期 午前問5
32ビットで表現できるビットパターンの個数は，24ビットで表現できる個数の何倍か。,4,8,16,128,256,平成28年秋期 午前問4
ある工場では，同じ製品を独立した二つのラインA，Bで製造している。ラインAでは製品全体の60%を製造し，ラインBでは40%を製造している。ラインAで製造された製品の2%が不良品であり，ラインBで製造された製品の1%が不良品であることが分かっている。いま，この工場で製造された製品の一つを無作為に抽出して調べたところ，それは不良品であった。その製品がラインAで製造された確率は何%か。,4,40,50,60,75,平成28年秋期 午前問2
8ビットのビット列の下位4ビットが変化しない操作はどれか。,3,16進表記 0F のビット列との排他的論理和をとる。,16進表記 0F のビット列との否定論理積をとる。,16進表記 0F のビット列との論理積をとる。,16進表記 0F のビット列との論理和をとる。,平成28年秋期 午前問1
