ソフトウェアやデータに瑕疵(かし)がある場合に，製造物責任法の対象となるものはどれか,1,ROM化したソフトウェアを内蔵した組込み機器,アプリケーションソフトウェアパッケージ,利用者がPCにインストールしたOS,利用者によってネットワークからダウンロードされたデータ,令和元年秋期 午前問80
技術経営におけるプロダクトイノベーションの説明として，適切なものはどれか。,1,新たな商品や他社との差別化ができる商品を開発すること,技術開発の成果によって事業利益を獲得すること,技術を核とするビジネスを戦略的にマネジメントすること,業務プロセスにおいて革新的な改革をすること,令和元年秋期 午前問68
バランススコアカードの内部ビジネスプロセスの視点における戦略目標と業績評価指標の例はどれか。,4,持続的成長が目標であるので，受注残を指標とする。,主要顧客との継続的な関係構築が目標であるので，クレーム件数を指標とする。,製品開発力の向上が目標であるので，製品開発領域の研修受講時間を指標とする。,製品の製造の生産性向上が目標であるので，製造期間短縮日数を指標とする。,令和元年秋期 午前問67
リレーションシップマーケティングの説明はどれか。,1,顧客との良好な関係を維持することで個々の顧客から長期間にわたって安定した売上を獲得することを目指すマーケティング手法,数時間から数日間程度の短期間の時間制限を設け，その時間内だけネット上で商品を販売するマーケティング手法,スマートフォンのGPS機能を利用し，現在地に近い店舗の広告を配信するマーケティング手法,テレビ，新聞，雑誌などの複数のメディアを併用し，消費者への多角的なアプローチを目指すマーケティング手法,令和元年秋期 午前問66
非機能要件の定義で行う作業はどれか。,2,業務を構成する機能間の情報(データ)の流れを明確にする。,システム開発で用いるプログラム言語に合わせた開発基準，標準の技術要件を作成する。,システム機能として実現する範囲を定義する。,他システムとの情報授受などのインタフェースを明確にする。,令和元年秋期 午前問65
システム開発の上流工程において，システム稼働後に発生する可能性がある個人情報の漏えいや目的外利用などのリスクに対する予防的な機能を検討し，その機能をシステムに組み込むものはどれか。,3,情報セキュリティ方針,セキュリティレベル,プライバシーバイデザイン,プライバシーマーク,令和元年秋期 午前問64
企業がマーケティング活動に活用するビッグデータの特徴に沿った取扱いとして，適切なものはどれか。,2,ソーシャルメディアで個人が発信する商品のクレーム情報などの，不特定多数によるデータは処理の対象にすべきではない。,蓄積した静的なデータだけでなく，Webサイトのアクセス履歴などリアルタイム性の高いデータも含めて処理の対象とする。,データ全体から無作為にデータをサンプリングして，それらを分析することによって全体の傾向を推し量る。,データの正規化が難しい非構造化データである音声データや画像データは，処理の対象にすべきではない。,令和元年秋期 午前問63
自社の経営課題である人手不足の解消などを目標とした業務革新を進めるために活用する，RPAの事例はどれか。,1,業務システムなどのデータ入力，照合のような標準化された定型作業を，事務職員の代わりにソフトウェアで自動的に処理する。,製造ラインで部品の組立てに従事していた作業員の代わりに組立作業用ロボットを配置する。,人が接客して販売を行っていた店舗を，ICタグ，画像解析のためのカメラ，電子決済システムによる無人店舗に置き換える。,フォークリフトなどを用いて人の操作で保管商品を搬入・搬出していたものを，コンピュータ制御で無人化した自動倉庫システムに置き換える。,令和元年秋期 午前問62
情報化投資において，リスクや投資価値の類似性でカテゴリ分けし，最適な資源配分を行う際に用いる手法はどれか。,2,3C分析,ITポートフォリオ,エンタープライズアーキテクチャ,ベンチマーキング,令和元年秋期 午前問61
アクセス制御を監査するシステム監査人の行為のうち，適切なものはどれか。,2,ソフトウェアに関するアクセス制御の管理台帳を作成し，保管した。,データに関するアクセス制御の管理規程を閲覧した。,ネットワークに関するアクセス制御の管理方針を制定した。,ハードウェアに関するアクセス制御の運用手続を実施した。,令和元年秋期 午前問60
情報システム部が開発して経理部が運用している会計システムの運用状況を，経営者からの指示で監査することになった。この場合におけるシステム監査人についての記述のうち，最も適切なものはどれか。,4,会計システムは企業会計に関する各種基準に準拠すべきなので，システム監査人を公認会計士とする。,会計システムは機密性の高い情報を扱うので，システム監査人は経理部長直属とする。,システム監査を効率的に行うために，システム監査人は情報システム部長直属とする。,独立性を担保するために，システム監査人は情報システム部にも経理部にも所属しない者とする。,令和元年秋期 午前問59
システムテストの監査におけるチェックポイントのうち，適切なものはどれか。,1,テストケースが網羅的に想定されていること,テスト計画は利用者側の責任者だけで承認されていること,テストは実際に業務が行われている環境で実施されていること,テストは利用者側の担当者だけで行われていること,令和元年秋期 午前問58
事業継続計画で用いられる用語であり，インシデントの発生後，次のいずれかの事項までに要する時間を表すものはどれか。     (1)製品又はサービスが再開される。     (2)事業活動が再開される。     (3)資源が復旧される。,4,MTBF,MTTR,RPO,RTO,令和元年秋期 午前問57
システムの移行計画に関する記述のうち，適切なものはどれか。,1,移行計画書には，移行作業が失敗した場合に旧システムに戻す際の判断基準が必要である。,移行するデータ量が多いほど，切替え直前に一括してデータの移行作業を実施すべきである。,新旧両システムで環境の一部を共有することによって，移行の確認が容易になる。,新旧両システムを並行運用することによって，移行に必要な費用が低減できる。,令和元年秋期 午前問56
サービスマネジメントシステムにPDCA方法論を適用するとき，Actに該当するものはどれか。,2,サービスの設計，移行，提供及び改善のためにサービスマネジメントシステムを導入し，運用する。,サービスマネジメントシステム及びサービスのパフォーマンスを継続的に改善するための処置を実施する。,サービスマネジメントシステムを確立し，文書化し，合意する。,方針，目的，計画及びサービスの要求事項について，サービスマネジメントシステム及びサービスを監視，測定及びレビューし，それらの結果を報告する。,令和元年秋期 午前問55
10人のメンバで構成されているプロジェクトチームにメンバ2人を増員する。次の条件でメンバ同士が打合せを行う場合，打合せの回数は何回増えるか。     〔条件〕     ・打合せは1対1で行う。     ・各メンバが，他の全てのメンバと1回ずつ打合せを行う。,2,12,21,22,42,令和元年秋期 午前問54
ソフトウェア開発の見積方法の一つであるファンクションポイント法の説明として，適切なものはどれか。,3,開発規模が分かっていることを前提として，工数と工期を見積もる方法である。ビジネス分野に限らず，全分野に適用可能である。,過去に経験した類似のソフトウェアについてのデータを基にして，ソフトウェアの相違点を調べ，同じ部分については過去のデータを使い，異なった部分は経験に基づいて，規模と工数を見積もる方法である。,ソフトウェアの機能を入出力データ数やファイル数などによって定量的に計測し，複雑さによる調整を行って，ソフトウェア規模を見積もる方法である。,単位作業項目に適用する作業量の基準値を決めておき，作業項目を単位作業項目まで分解し，基準値を適用して算出した作業量の積算で全体の作業量を見積もる方法である。,令和元年秋期 午前問53
二つのアクティビティが次の関係にあるとき，論理的な依存関係はどれか。     "システム要件定義プロセス"が完了すれば，"システム方式設計プロセス"が開始できる。,2,FF関係(Finish-to-Finish),FS関係(Finish-to-Start),SF関係(Start-to-Finish),SS関係(Start-to-Start),令和元年秋期 午前問51
XP(eXtreme Programming)において，プラクティスとして提唱されているものはどれか。,3,インスペクション,構造化設計,ペアプログラミング,ユースケースの活用,令和元年秋期 午前問50
単一の入り口をもち，入力項目を用いた複数の判断を含むプログラムのテストケースを設計する。命令網羅と判定条件網羅の関係のうち，適切なものはどれか。,2,判定条件網羅を満足しても命令網羅を満足しない場合がある。,判定条件網羅を満足するならば，命令網羅も満足する。,命令網羅を満足しなくても，判定条件網羅を満足する場合がある。,命令網羅を満足するならば，判定条件網羅も満足する。,令和元年秋期 午前問49
テストで使用されるドライバ又はスタブの説明のうち，適切なものはどれか。,4,スタブは，テスト対象のモジュールからの戻り値の表示・印刷を行う。,スタブは，テスト対象モジュールを呼び出すモジュールである。,ドライバは，テスト対象モジュールから呼び出されるモジュールである。,ドライバは，引数を渡してテスト対象モジュールを呼び出す。,令和元年秋期 午前問48
モジュール結合度が最も弱くなるものはどれか。,2,一つのモジュールで，できるだけ多くの機能を実現する。,二つのモジュール間で必要なデータ項目だけを引数として渡す。,他のモジュールとデータ項目を共有するためにグローバルな領域を使用する。,他のモジュールを呼び出すときに，呼び出されたモジュールの論理を制御するための引数を渡す。,令和元年秋期 午前問46
電子メールをドメインAの送信者がドメインBの宛先に送信するとき，送信者をドメインAのメールサーバで認証するためのものはどれか。,4,APOP,POP3S,S/MIME,SMTP-AUTH,令和元年秋期 午前問44
SIEM(Security Information and Event Management)の機能はどれか。,2,隔離された仮想環境でファイルを実行して，C&Cサーバへの通信などの振る舞いを監視する。,様々な機器から集められたログを総合的に分析し，管理者による分析と対応を支援する。,ネットワーク上の様々な通信機器を集中的に制御し，ネットワーク構成やセキュリティ設定などを変更する。,パケットのヘッダ情報の検査だけではなく，通信先のアプリケーショプログラムを識別して通信を制御する。,令和元年秋期 午前問43
1台のファイアウォールによって，外部セグメント，DMZ，内部セグメントの三つのセグメントに分割されたネットワークがあり，このネットワークにおいて，Webサーバと，重要なデータをもつデータベースサーバから成るシステムを使って，利用者向けのWebサービスをインターネットに公開する。インターネットからの不正アクセスから重要なデータを保護するためのサーバの設置方法のうち，最も適切なものはどれか。ここで，Webサーバでは，データベースサーバのフロントエンド処理を行い，ファイアウォールでは，外部セグメントとDMZとの間，及びDMZと内部セグメントとの間の通信は特定のプロトコルだけを許可し，外部セグメントと内部セグメントとの間の直接の通信は許可しないものとする。,3,WebサーバとデータベースサーバをDMZに設置する。,Webサーバとデータベースサーバを内部セグメントに設置する。,WebサーバをDMZに，データベースサーバを内部セグメントに設置する。,Webサーバを外部セグメントに，データベースサーバをDMZに設置する。,令和元年秋期 午前問42
検索サイトの検索結果の上位に悪意のあるサイトが表示されるように細工する攻撃の名称はどれか。,2,DNSキャッシュポイズニング,SEOポイズニング,クロスサイトスクリプティング,ソーシャルエンジニアリング,令和元年秋期 午前問41
ファイルの提供者は，ファイルの作成者が作成したファイルAを受け取り，ファイルAと，ファイルAにSHA-256を適用して算出した値Bとを利用者に送信する。そのとき，利用者が情報セキュリティ上実現できることはどれか。ここで，利用者が受信した値Bはファイルの提供者から事前に電話で直接伝えられた値と同じであり，改ざんされていないことが確認できているものとする。,3,値BにSHA-256を適用して値Bからディジタル署名を算出し，そのディジタル署名を検証することによって，ファイルAの作成者を確認できる。,値BにSHA-256を適用して値Bからディジタル署名を算出し，そのディジタル署名を検証することによって，ファイルAの提供者がファイルAの作成者であるかどうかを確認できる。,ファイルAにSHA-256を適用して値を算出し，その値と値Bを比較することによって，ファイルAの内容が改ざんされていないかどうかを検証できる。,ファイルAの内容が改ざんされていても，ファイルAにSHA-256を適用して値を算出し，その値と値Bの差分を確認することによって，ファイルAの内容のうち改ざんされている部分を修復できる。,令和元年秋期 午前問40
情報セキュリティにおいてバックドアに該当するものはどれか。,1,アクセスする際にパスワード認証などの正規の手続が必要なWebサイトに，当該手続を経ないでアクセス可能なURL,インターネットに公開されているサーバのTCPポートの中からアクティブになっているポートを探して，稼働中のサービスを特定するためのツール,ネットワーク上の通信パケットを取得して通信内容を見るために設けられたスイッチのLANポート,プログラムが確保するメモリ領域に，領域の大きさを超える長さの文字列を入力してあふれさせ，ダウンさせる攻撃,令和元年秋期 午前問39
メッセージにRSA方式のディジタル署名を付与して2者間で送受信する。そのときのディジタル署名の検証鍵と使用方法はどれか。,3,受信者の公開鍵であり，送信者がメッセージダイジェストからディジタル署名を作成する際に使用する。,受信者の秘密鍵であり，受信者がディジタル署名からメッセージダイジェストを算出する際に使用する。,送信者の公開鍵であり，受信者がディジタル署名からメッセージダイジェストを算出する際に使用する。,送信者の秘密鍵であり，送信者がメッセージダイジェストからディジタル署名を作成する際に使用する。,令和元年秋期 午前問38
WPA3はどれか。,4,HTTP通信の暗号化規格,TCP/IP通信の暗号化規格,Webサーバで使用するディジタル証明書の規格,無線LANのセキュリティ規格,令和元年秋期 午前問37
マルウェアの動的解析に該当するものはどれか。,2,検体のハッシュ値を計算し，オンラインデータベースに登録された既知のマルウェアのハッシュ値のリストと照合してマルウェアを特定する。,検体をサンドボックス上で実行し，その動作や外部との通信を観測する。,検体をネットワーク上の通信データから抽出し，さらに，逆コンパイルして取得したコードから検体の機能を調べる。,ハードディスク内のファイルの拡張子とファイルヘッダの内容を基に，拡張子が偽装された不正なプログラムファイルを検出する。,令和元年秋期 午前問36
攻撃者が用意したサーバXのIPアドレスが，A社WebサーバのFQDNに対応するIPアドレスとして，B社DNSキャッシュサーバに記憶された。これによって，意図せずサーバXに誘導されてしまう利用者はどれか。ここで，A社，B社の各従業員は自社のDNSキャッシュサーバを利用して名前解決を行う。,2,A社WebサーバにアクセスしようとするA社従業員,A社WebサーバにアクセスしようとするB社従業員,B社WebサーバにアクセスしようとするA社従業員,B社WebサーバにアクセスしようとするB社従業員,令和元年秋期 午前問35
クライアントAがポート番号8080のHTTPプロキシサーバBを経由してポート番号80のWebサーバCにアクセスしているとき，宛先ポート番号が常に8080になるTCPパケットはどれか。,2,AからBへのHTTP要求及びCからBへのHTTP応答,AからBへのHTTP要求だけ,BからAへのHTTP応答だけ,BからCへのHTTP要求及びCからBへのHTTP応答,令和元年秋期 午前問34
メディアコンバータ，リピータハブ，レイヤ2スイッチ，レイヤ3スイッチのうち，レイヤ3スイッチだけがもつ機能はどれか。,2,データリンク層において，宛先アドレスに従って適切なLANポートにパケットを中継する機能,ネットワーク層において，宛先アドレスに従って適切なLANポートにパケットを中継する機能,物理層において，異なる伝送媒体を接続し，信号を相互に変換する機能,物理層において，入力信号を全てのLANポートに対して中継する機能,令和元年秋期 午前問32
CSMA/CD方式のLANに接続されたノードの送信動作に関する記述として，適切なものはどれか。,2,各ノードに論理的な順位付けを行い，送信権を順次受け渡し，これを受け取ったノードだけが送信を行う。,各ノードは伝送媒体が使用中かどうかを調べ，使用中でなければ送信を行う。衝突を検出したらランダムな時間の経過後に再度送信を行う。,各ノードを環状に接続して，送信権を制御するための特殊なフレームを巡回させ，これを受け取ったノードだけが送信を行う。,タイムスロットを割り当てられたノードだけが送信を行う。,令和元年秋期 午前問31
10Mビット／秒の回線で接続された端末間で，平均1Mバイトのファイルを，10秒ごとに転送するときの回線利用率は何%か。ここで，ファイル転送時には，転送量の20%が制御情報として付加されるものとし，1Mビット＝10^6ビットとする。,4,1.2,6.4,8.0,9.6,令和元年秋期 午前問30
関係モデルにおいて，関係から特定の属性だけを取り出す演算はどれか。,2,結合(join),射影(projection),選択(selection),和(union),令和元年秋期 午前問27
H.264/MPEG-4 AVCの説明として，適切なものはどれか。,4,5.1チャンネルサラウンドシステムで使用されている音声圧縮技術,携帯電話で使用されている音声圧縮技術,ディジタルカメラで使用されている静止画圧縮技術,ワンセグ放送で使用されている動画圧縮技術,令和元年秋期 午前問24
コードから商品の内容が容易に分かるようにしたいとき，どのコード体系を選択するのが適切か。,3,区分コード,桁別コード,表意コード,連番コード,令和元年秋期 午前問23
DRAMの特徴はどれか。,4,書込み及び消去を一括又はブロック単位で行う。,データを保持するためのリフレッシュ操作又はアクセス操作が不要である。,電源が遮断された状態でも，記憶した情報を保持することができる。,メモリセル構造が単純なので高集積化することができ，ビット単価を安くできる。,令和元年秋期 午前問20
バックアップ方式の説明のうち，増分バックアップはどれか。ここで，最初のバックアップでは，全てのファイルのバックアップを取得し，OSが管理しているファイル更新を示す情報はリセットされるものとする。,3,最初のバックアップの後，ファイル更新を示す情報があるファイルだけをバックアップし，ファイル更新を示す情報は変更しないでそのまま残しておく。,最初のバックアップの後，ファイル更新を示す情報にかかわらず，全てのファイルをバックアップし，ファイル更新を示す情報はリセットする。,直前に行ったバックアップの後，ファイル更新を示す情報があるファイルだけをバックアップし，ファイル更新を示す情報はリセットする。,直前に行ったバックアップの後，ファイル更新を示す情報にかかわらず，全てのファイルをバックアップし，ファイル更新を示す情報は変更しないでそのまま残しておく。,令和元年秋期 午前問19
優先度に基づくプリエンプティブなスケジューリングを行うリアルタイムOSで，二つのタスクA，Bをスケジューリングする。Aの方がBより優先度が高い場合にリアルタイムOSが行う動作のうち，適切なものはどれか。,3,Aの実行中にBに起動がかかると，Aを実行可能状態にしてBを実行する。,Aの実行中にBに起動がかかると，Aを待ち状態にしてBを実行する。,Bの実行中にAに起動がかかると，Bを実行可能状態にしてAを実行する。,Bの実行中にAに起動がかかると，Bを待ち状態にしてAを実行する。,令和元年秋期 午前問18
2台の処理装置から成るシステムがある。少なくともいずれか一方が正常に動作すればよいときの稼働率と，2台とも正常に動作しなければならないときの稼働率の差は幾らか。ここで，処理装置の稼働率はいずれも0.9とし，処理装置以外の要因は考慮しないものとする。,3,0.09,0.10,0.18,0.19,令和元年秋期 午前問16
RAIDの分類において，ミラーリングを用いることで信頼性を高め，障害発生時には冗長ディスクを用いてデータ復元を行う方式はどれか。,1,RAID1,RAID2,RAID3,RAID4,令和元年秋期 午前問15
次に示す接続のうち，デイジーチェーン接続と呼ばれる接続方法はどれか。,2,PCと計測機器とをRS-232Cで接続し，PCとプリンタとをUSBを用いて接続する。,Thunderbolt接続コネクタが2口ある4kディスプレイ2台を，PCのThunderbolt接続ポートから1台目のディスプレイにケーブルで接続し，さらに，1台目のディスプレイと2台目のディスプレイとの間をケーブルで接続する。,キーボード，マウス，プリンタをUSBハブにつなぎ，USBハブとPCとを接続する。,数台のネットワークカメラ及びPCをネットワークハブに接続する。,令和元年秋期 午前問14
1GHzのクロックで動作するCPUがある。このCPUは，機械語の1命令を平均0.8クロックで実行できることが分かっている。このCPUは1秒間に平均何万命令を実行できるか。,4,125,250,80000,125000,令和元年秋期 午前問12
自然数nに対して，次のように再帰的に定義される関数f(n)を考える。f(5)の値はどれか。     f(n)：if n≦1 then return 1 else return n＋f(n－1),3,6,9,15,25,令和元年秋期 午前問11
A，C，K，S，Tの順に文字が入力される。スタックを利用して，S，T，A，C，Kという順に文字を出力するために，最小限必要となるスタックは何個か。ここで，どのスタックにおいてもポップ操作が実行されたときには必ず文字を出力する。また，スタック間の文字の移動は行わない。,3,1,2,3,4,令和元年秋期 午前問8
Random(n)は，0以上n未満の整数を一様な確率で返す関数である。整数型の変数A，B及びCに対して次の一連の手続を実行したとき，Cの値が0になる確率はどれか。     A＝Random(10)     B＝Random(10)     C＝A－B,3,1／100,1／20,1／10,1／5,令和元年秋期 午前問6
8ビットの値の全ビットを反転する操作はどれか。,3,16進表記 00 のビット列と排他的論理和をとる。,16進表記 00 のビット列と論理和をとる。,16進表記 FF のビット列と排他的論理和をとる。,16進表記 FF のビット列と論理和をとる。,令和元年秋期 午前問2
