システム監査で実施するヒアリングに関する記述のうち，適切なものはどれか。,2,監査対象業務に精通した被監査部門の管理者の中からヒアリングの対象者を選ぶ。,ヒアリングで被監査部門から得た情報を裏付けるための文書や記録を入手するよう努める。,ヒアリングの中で気が付いた不備事項について，その場で被監査部門に改善を指示する。,複数人でヒアリングを行うと記録内容に相違が出ることがあるので，1人のシステム監査人が行う。,平成25年秋期 午前問60
アクセス制御を監査するシステム監査人がとった行動のうち，適切なものはどれか。,2,ソフトウェアに関するアクセス制御の管理表の作成と保管,データに関するアクセス制御の管理状況の確認,ネットワークに関するアクセス制御の管理方針の制定,ハードウェアに関するアクセス制御の運用管理の実施,平成25年秋期 午前問59
データのバックアップ方法に関する記述のうち，最も適切なものはどれか。,1,業務処理がバックアップ処理と重なるとレスポンスが遅くなる可能性があるので，両方の処理が重ならないようにスケジュールを立てる。,バックアップ作業時間を短くするためには，別のファイル名にしたバックアップデータを同一記憶媒体内に置く。,バックアップデータからの復旧時間を短くするためには，差分バックアップを採用する。,バックアップデータを長期保存するためには，ランダムアクセスが可能な媒体にする。,平成25年秋期 午前問57
SLAを策定する際の方針のうち，適切なものはどれか。,2,考えられる全ての項目に対し，サービスレベルを設定する。,顧客及びサービス提供者のニーズ，並びに費用を考慮して，サービスレベルを設定する。,サービスレベルを設定する全ての項目に対し，ペナルティとしての補償を設定する。,将来にわたって変更が不要なサービスレベルを設定する。,平成25年秋期 午前問56
ファンクションポイント法の説明はどれか。,3,開発するプログラムごとのステップ数を積算し，開発規模を見積もる。,開発プロジェクトで必要な作業のWBSを作成し，各作業の工数を見積もる。,外部入出力や内部論理ファイル，照会，インタフェースなどの個数や特性などから開発規模を見積もる。,過去の類似例を探し，その実績と差異などを分析評価して開発規模を見積もる。,平成25年秋期 午前問55
ソフトウェア開発においてWBS(Work Breakdown Structure)を使用する目的として，適切なものはどれか。,4,開発の所要日数と費用がトレードオフの関係にある場合に，総費用の最適化を図る。,作業の順序関係を明確にして，重点管理すべきクリティカルパスを把握する。,作業の日程を横棒(バー)で表して，作業の開始や終了時点，現時点の進捗を明確にする。,作業を階層に分解して，管理可能な大きさに細分化する。,平成25年秋期 午前問52
プロジェクトの特性はどれか。,3,独自性はあるが，有期性がない。,独自性はないが，有期性がある。,独自性も有期性もある。,独自性も有期性もない。,平成25年秋期 午前問51
トップダウン方式で結合テストを行うとき，特に必要となるものはどれか。,2,エミュレータ,スタブ,デバッガ,ドライバ,平成25年秋期 午前問50
プログラム実行中の特定の時点で成立する変数間の関係や条件を記述した論理式を埋め込んで，そのプログラムの正当性を検証する手法はどれか。,1,アサーションチェック,コード追跡,スナップショットダンプ,テストカバレッジ分析,平成25年秋期 午前問49
オブジェクト指向開発において，オブジェクトのもつ振る舞いを記述したものを何というか。,4,インスタンス,クラス,属性,メソッド,平成25年秋期 午前問48
ソフトウェアの分析・設計技法の特徴のうち，データ中心分析・設計技法の特徴として、最も適切なものどれか。,3,機能の詳細化の過程で，モジュールの独立性が高くなるようにプログラムを分割していく。,システムの開発後の仕様変更は，データ構造や手続を局所的に変更したり追加したりすることによって，比較的容易に実現できる。,対象業務領域のモデル化に当たって，情報資源のデータ構造に着目する。,プログラムが最も効率よくアクセスできるようにデータ構造を設計する。,平成25年秋期 午前問47
利用者情報を管理するデータベースにおいて，利用者情報を検索して表示するアプリケーションがある。このアプリケーションに与えるデータベースへのアクセス権限として，セキュリティ管理上適切なものはどれか。ここで，権限の範囲は次のとおりとする。     〔権限の範囲〕     参照権限: レコードの参照が可能     更新権限: レコードの登録，変更，削除が可能     管理者権限: テーブルの参照，登録，変更，削除が可能,3,管理者権限,更新権限,参照権限,参照権限と更新権限,平成25年秋期 午前問44
コンピュータ犯罪の手口の一つであるサラミ法はどれか。,3,回線の一部に秘密にアクセスして他人のパスワードやIDを盗み出してデータを盗用する方法である。,ネットワークを介して送受信されている音声やデータを不正に傍受する方法である。,不正行為が表面化しない程度に，多数の資産から少しずつ詐取する方法である。,プログラム実行後のコンピュータ内部又はその周囲に残っている情報をひそかに探索して，必要情報を入手する方法である。,平成25年秋期 午前問43
クライアントPCで行うマルウェア対策のうち，適切なものはどれか。,2,PCにおけるウイルスの定期的な手動検査では，ウイルス対策ソフトの定義ファイルを最新化した日時以降に作成したファイルだけを対象にしてスキャンする。,ウイルスがPCの脆(ぜい)弱性を突いて感染しないように，OS及びアプリケーションの修正パッチを適切に適用する。,電子メールに添付されたウイルスに感染しないように，使用しないTCPポート宛ての通信を禁止する。,ワームが侵入しないように，クライアントPCに動的グローバルIPアドレスを付与する。,平成25年秋期 午前問42
クライアントとWebサーバの間において，クライアントからWebサーバに送信されたデータを検査して，SQLインジェクションなどの攻撃を遮断するためのものはどれか。,2,SSL-VPN機能,WAF,クラスタ構成,ロードバランシング機能,平成25年秋期 午前問41
BYOD(Bring Your Own Device)の説明はどれか。,4,従業員が企業から貸与された情報端末を，客先などへの移動中に業務に利用することであり，ショルダハッキングなどのセキュリティリスクが増大する。,従業員が企業から貸与された情報端末を，自宅に持ち帰って私的に利用することであり，機密情報の漏えいなどのセキュリティリスクが増大する。,従業員が私的に保有する情報端末を，職場での休憩時間などに私的に利用することであり，社内でのセキュリティ意識の低下などのセキュリティリスクが増大する。,従業員が私的に保有する情報端末を業務に利用することであり，セキュリティ設定の不備に起因するウイルス感染などのセキュリティリスクが増大する。,平成25年秋期 午前問40
リスク共有(リスク移転)に該当するものはどれか。,2,損失の発生率を低下させること,保険への加入などで，他者との間でリスクを分散すること,リスクの原因を除去すること,リスクを扱いやすい単位に分解するか集約すること,平成25年秋期 午前問39
ディジタル署名などに用いるハッシュ関数の特徴はどれか。,3,同じメッセージダイジェストを出力する異なる二つのメッセージは容易に求められる。,メッセージが異なっていても，メッセージダイジェストは全て同じである。,メッセージダイジェストからメッセージを復元することは困難である。,メッセージダイジェストの長さはメッセージの長さによって異なる。,平成25年秋期 午前問38
1個のTCPパケットをイーサネットに送出したとき，イーサネットフレームに含まれる宛先情報の，送出順序はどれか。,3,宛先IPアドレス，宛先MACアドレス，宛先ポート番号,宛先IPアドレス，宛先ポート番号，宛先MACアドレス,宛先MACアドレス，宛先IPアドレス，宛先ポート番号,宛先MACアドレス，宛先ポート番号，宛先IPアドレス,平成25年秋期 午前問37
電子メールで，静止画，動画，音声などの様々な情報を送ることができる仕組みはどれか。,2,FTP,MIME,POP,TELNET,平成25年秋期 午前問36
IPv4においてIPアドレスからMACアドレスを取得するために用いるプロトコルはどれか。,1,ARP,DHCP,ICMP,RARP,平成25年秋期 午前問35
LAN間をOSI基本参照モデルの物理層で相互に接続する装置はどれか。,3,ゲートウェイ,ブリッジ,リピータ,ルータ,平成25年秋期 午前問34
64kビット／秒の回線を用いて10^6バイトのファイルを送信するとき，伝送におよそ何秒掛かるか。ここで，回線の伝送効率は80%とする。,4,19.6,100,125,156,平成25年秋期 午前問33
関係データベースの主キー制約の条件として，キー値が重複していないことの他に，主キーを構成する列に必要な条件はどれか。,1,キー値が空でないこと,構成する列が一つであること,表の先頭に定義されている列であること,別の表の候補キーとキー値が一致していること,平成25年秋期 午前問30
関係データベースのデータ構造の説明として，適切なものはどれか。,4,親レコードと子レコードをポインタで結合する。,タグを用いてデータの構造と意味を表す。,データと手続を一体化(カプセル化)してもつ。,データを2次元の表によって表現する。,平成25年秋期 午前問29
クライアントサーバシステムにおいて，利用頻度の高い命令群をあらかじめサーバ上のDBMSに用意しておくことによって，データベースアクセスのネットワーク負荷を軽減する仕組みはどれか。,4,2相コミットメント,グループコミットメント,サーバプロセスのマルチスレッド化,ストアドプロシージャ,平成25年秋期 午前問28
コンピュータアニメーション技法のうち，モーフィングの説明はどれか。,1,画像A，Bを対象として，AからBへ滑らかに変化していく様子を表現するために，その中間を補うための画像を複数作成する。,実際の身体の動きをディジタルデータとして収集して，これを基にリアルな動きをもつ画像を複数作成する。,背景とは別に，動きがある部分を視点から遠い順に重ねて画像を作成することによって，奥行きが感じられる2次元アニメーションを生成する。,人手によって描かれた線画をスキャナで読み取り，その閉領域を同一色で彩色処理する。,平成25年秋期 午前問27
定格出力電力500Wで効率80%の電源ユニットがある。この電源ユニットから500Wの出力電力を得るのに最低限必要な入力電力の大きさは何Wか。,3,100,400,625,900,平成25年秋期 午前問24
DRAMの説明として，適切なものはどれか。,4,1バイト単位でデータの消去及び書込みが可能な不揮発性のメモリであり，電源遮断時もデータ保持が必要な用途に用いられる。,不揮発性のメモリでNAND型又はNOR型があり，SSDに用いられる。,メモリセルはフリップフロップで構成され，キャッシュメモリに用いられる。,リフレッシュ動作が必要なメモリであり，PCの主記憶として用いられる。,平成25年秋期 午前問23
分解能が8ビットのD/A変換器に，ディジタル値0を入力したときの出力電圧が0Vとなり，ディジタル値128を入力したときの出力電圧が2.5Vとなるとき，最下位の1ビットの変化によるこのD/A変換器の出力電圧の変化は何Vか。,1,2.5／128,2.5／255,2.5／256,2.5／512,平成25年秋期 午前問22
GPLの下で公開されたOSSを使い，ソースコードを公開しなかった場合にライセンス違反となるものはどれか。,3,OSSとアプリケーションソフトウェアとのインタフェースを開発し，販売している。,OSSの改変を他社に委託し，自社内で使用している。,OSSの入手，改変，販売をすべて自社で行っている。,OSSを利用して性能テストを行った自社開発ソフトウェアを販売している。,平成25年秋期 午前問21
コンパイル済みのオブジェクトコードがサーバに格納されていて，クライアントからの要求によってクライアントへ転送されて実行されるプログラムはどれか。,1,アプレット,サーブレット,スクリプト,スレッド,平成25年秋期 午前問20
直接編成ファイルにおけるレコードのキー値を格納アドレスに変換したハッシュ値の分布として，理想的なものはどれか。,1,一様分布,幾何分布,二項分布,ポアソン分布,平成25年秋期 午前問19
優先度に基づくプリエンプティブなスケジューリングを行うリアルタイムOSで，二つのタスクA，Bをスケジューリングする。Aの方がBより優先度が高い場合にリアルタイムOSが行う動作のうち，適切なものはどれか。,3,Aの実行中にBに起動がかかると，Aを実行可能状態にしてBを実行する。,Aの実行中にBに起動がかかると，Aを待ち状態にしてBを実行する。,Bの実行中にAに起動がかかると，Bを実行可能状態にしてAを実行する。,Bの実行中にAに起動がかかると，Bを待ち状態にしてAを実行する。,平成25年秋期 午前問18
メモリリークの説明として，適切なものはどれか。,1,OSやアプリケーションのバグなどが原因で，動作中に確保した主記憶が解放されないことであり，これが発生すると主記憶中の利用可能な部分が減少する。,アプリケーションの同時実行数を増やした場合に，主記憶容量が不足し，処理時間のほとんどがページングに費やされ，スループットの極端な低下を招くことである。,実行時のプログラム領域の大きさに制限があるときに，必要になったモジュールを主記憶に取り込む手法である。,主記憶で利用可能な空き領域の総量は足りているのに，主記憶中に不連続で散在しているので，大きなプログラムをロードする領域が確保できないことである。,平成25年秋期 午前問17
コンピュータシステムのベンチマークテストの説明として，最も適切なものはどれか。,4,1命令の実行に要する平均時間から，コンピュータの性能を測る。,システムが連続して稼働する時間の割合を測定し，他の製品と比較する。,想定されるトランザクション量にシステムが耐えられるかどうかを判定する。,測定用のソフトウェアを実行し，システムの処理性能を数値化して，他の製品と比較する。,平成25年秋期 午前問16
キャパシティプランニングにおける作業を，実施する順序に並べたものはどれか。     〔作業項目〕     ①CPU増設，磁気ディスク増設，メモリ増設などを検討する。     ②応答時間，システム資源の要求量などの増加から，システム能力の限界時期を検討する。     ③稼働状況データ，磁気ディスク使用量，トランザクション数などの基礎数値を把握する。     ④端末増設計画，利用者数の増加などを検討する。,3,②，④，③，①,③，②，④，①,③，④，②，①,④，②，①，③,平成25年秋期 午前問15
MTBFが21万時間の磁気ディスク装置がある。この装置100台から成る磁気ディスクシステムを1週間に140時間運転したとすると，平均何週間に1回の割合で故障を起こすか。ここで，磁気ディスクシステムは，信頼性を上げるための冗長構成は採っていないものとする。,2,13,15,105,300,平成25年秋期 午前問14
フォールトトレラントシステムの実現方法の記述のうち，最も適切なものはどれか。,1,システムを1台のコンピュータではなく，複数台のコンピュータで多重化する。,システムをフェールソフト構造ではなく，フェールセーフ構造にする。,装置や機器を二重化するのではなく，重要な処理を稼働率が高い装置で処理する。,ハードウェアではなく，ソフトウェアによってフォールトトレラントを実現する。,平成25年秋期 午前問13
静電容量方式タッチパネルの記述として，適切なものはどれか。,2,タッチすることによって，赤外線ビームが遮られて起こる赤外線反射の変化を捉えて位置を検出する。,タッチパネルの表面に電界が形成され，タッチした部分の表面電荷の変化を捉えて位置を検出する。,抵抗膜に電圧を加え，タッチした部分の抵抗値の変化を捉えて位置を検出する。,マトリックス状に電極スイッチが並んでおり，押された部分の電極で位置を検出する。,平成25年秋期 午前問12
1文字が，縦48ドット，横32ドットで表される2値ビットマップのフォントがある。文字データが8192種類あるとき，文字データ全体を保存するために必要な領域は何バイトか。ここで，1Mバイト＝1024kバイト，1kバイト＝1024バイトとし，文字データは圧縮しないものとする。,2,192k,1.5M,12M,96M,平成25年秋期 午前問11
プロセッサにデータを読み込む時にキャッシュメモリがヒットしなかった場合，キャッシュメモリ制御装置が行う動作はどれか。,3,キャッシュメモリから所要のデータをブロック転送し，磁気ディスクに書き込む。,磁気ディスクから所要のデータをブロック転送し，キャッシュメモリに読み込む。,主記憶から所要のデータをブロック転送し，キャッシュメモリに読み込む。,ディスクキャッシュから所要のデータをブロック転送し，主記憶に読み込む。,平成25年秋期 午前問10
1件のトランザクションについて80万ステップの命令実行を必要とするシステムがある。プロセッサの性能が200MIPSで，プロセッサの使用率が80%のときのトランザクションの処理能力(件／秒)は幾らか。,2,20,200,250,313,平成25年秋期 午前問9
リストは，配列で実現する場合とポインタで実現する場合とがある。リストを配列で実現した場合の特徴として，適切なものはどれか。,1,リストにある実際の要素数にかかわらず，リストの最大長に対応した領域を確保し，実際には使用されない領域が発生する可能性がある。,リストにある実際の要素数にかかわらず，リストへの挿入と削除は一定時間で行うことができる。,リストの中間要素を参照するには，リストの先頭から順番に要素をたどっていくので，要素数に比例した時間が必要となる。,リストの要素を格納する領域の他に，次の要素を指し示すための領域が別途必要となる。,平成25年秋期 午前問6
PCM伝送方式によって音声をサンプリング(標本化)して8ビットのディジタルデータに変換し、圧縮処理をしないで転送したところ、転送速度は64000ビット／秒であった。このときサンプリング間隔は何マイクロ秒か。,3,15.6,46.8,125,128,平成25年秋期 午前問4
32ビットのレジスタに16進数ABCDが入っているとき，2ビットだけ右に論理シフトしたときの値はどれか。,1,2AF3,6AF3,AF34,EAF3,平成25年秋期 午前問2
